区分１,区分２,度数計,割合計,メールが原因で友達等とトラブルになった_度数,メールが原因で友達等とトラブルになった_割合,無料アプリやコミュニケーションアプリが原因で、友達等とトラブルになった_度数,無料アプリやコミュニケーションアプリが原因で、友達等とトラブルになった_割合,メールで誹謗中傷、チェーンメールなどが届いた_度数,メールで誹謗中傷、チェーンメールなどが届いた_割合,身に覚えのない料金請求のメールが届いた_度数,身に覚えのない料金請求のメールが届いた_割合,無断で携帯・スマホ向けの有料ゲームを利用する等により、多額の請求が届いた_度数,無断で携帯・スマホ向けの有料ゲームを利用する等により、多額の請求が届いた_割合,歩きスマホ等により何らかのトラブルにあった_度数,歩きスマホ等により何らかのトラブルにあった_割合,個人情報を知られた（盗まれた）_度数,個人情報を知られた（盗まれた）_割合,掲示板等に個人の誹謗中傷などの書き込みをされた_度数,掲示板等に個人の誹謗中傷などの書き込みをされた_割合,下着姿や裸の写真を撮ったり送ったりしていた_度数,下着姿や裸の写真を撮ったり送ったりしていた_割合,ネット上で知り合った人と会う約束をしたり、実際に会う等していた_度数,ネット上で知り合った人と会う約束をしたり、実際に会う等していた_割合,その他_度数,その他_割合,トラブルに遭ったことはない_度数,トラブルに遭ったことはない_割合,わからない_度数,わからない_割合
全体,全体,1500,100,69,4.6,74,4.9,63,4.2,46,3.1,25,1.7,28,1.9,9,0.6,14,0.9,5,0.3,13,0.9,9,0.6,1052,70.1,206,13.7
児童・生徒別,小学生,500,100,24,4.8,23,4.6,17,3.4,12,2.4,6,1.2,9,1.8,3,0.6,4,0.8,2,0.4,2,0.4,6,1.2,395,79,37,7.4
児童・生徒別,中学生,500,100,23,4.6,30,6,26,5.2,19,3.8,11,2.2,14,2.8,5,1,6,1.2,2,0.4,4,0.8,2,0.4,335,67,73,14.6
児童・生徒別,高校生,500,100,22,4.4,21,4.2,20,4,15,3,8,1.6,5,1,1,0.2,4,0.8,1,0.2,7,1.4,1,0.2,322,64.4,96,19.2
子供の性別,男子,763,100,40,5.2,38,5,27,3.5,29,3.8,17,2.2,21,2.8,6,0.8,7,0.9,4,0.5,6,0.8,6,0.8,527,69.1,104,13.6
子供の性別,女子,737,100,29,3.9,36,4.9,36,4.9,17,2.3,8,1.1,7,0.9,3,0.4,7,0.9,1,0.1,7,0.9,3,0.4,525,71.2,102,13.8
児童・生徒×子供の性別,小学生男子,236,100,11,4.7,14,5.9,7,3,6,2.5,4,1.7,6,2.5,1,0.4,1,0.4,1,0.4,0,0,4,1.7,179,75.8,18,7.6
児童・生徒×子供の性別,小学生女子,264,100,13,4.9,9,3.4,10,3.8,6,2.3,2,0.8,3,1.1,2,0.8,3,1.1,1,0.4,2,0.8,2,0.8,216,81.8,19,7.2
児童・生徒×子供の性別,中学生男子,262,100,17,6.5,17,6.5,13,5,13,5,10,3.8,11,4.2,4,1.5,5,1.9,2,0.8,3,1.1,2,0.8,168,64.1,39,14.9
児童・生徒×子供の性別,中学生女子,238,100,6,2.5,13,5.5,13,5.5,6,2.5,1,0.4,3,1.3,1,0.4,1,0.4,0,0,1,0.4,0,0,167,70.2,34,14.3
児童・生徒×子供の性別,高校生男子,265,100,12,4.5,7,2.6,7,2.6,10,3.8,3,1.1,4,1.5,1,0.4,1,0.4,1,0.4,3,1.1,0,0,180,67.9,47,17.7
児童・生徒×子供の性別,高校生女子,235,100,10,4.3,14,6,13,5.5,5,2.1,5,2.1,1,0.4,0,0,3,1.3,0,0,4,1.7,1,0.4,142,60.4,49,20.9
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,48,5,43,4.5,41,4.3,31,3.3,17,1.8,19,2,5,0.5,7,0.7,4,0.4,5,0.5,3,0.3,684,71.8,120,12.6
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,7,8.3,8,9.5,4,4.8,8,9.5,1,1.2,2,2.4,2,2.4,2,2.4,1,1.2,2,2.4,1,1.2,54,64.3,10,11.9
携帯電話の購入所別,家電量販店,282,100,10,3.5,15,5.3,14,5,6,2.1,5,1.8,4,1.4,2,0.7,4,1.4,0,0,3,1.1,3,1.1,194,68.8,39,13.8
携帯電話の購入所別,インターネット販売,109,100,4,3.7,7,6.4,1,0.9,1,0.9,1,0.9,2,1.8,0,0,1,0.9,0,0,2,1.8,2,1.8,76,69.7,14,12.8
携帯電話の購入所別,その他,43,100,0,0,1,2.3,3,7,0,0,1,2.3,1,2.3,0,0,0,0,0,0,1,2.3,0,0,31,72.1,7,16.3
携帯電話の購入所別,わからない,29,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,44.8,16,55.2
フィルタリングサービスの加入状況別,加入している,539,100,37,6.9,42,7.8,29,5.4,17,3.2,10,1.9,16,3,5,0.9,6,1.1,3,0.6,4,0.7,2,0.4,377,69.9,54,10
フィルタリングサービスの加入状況別,加入している,523,100,22,4.2,25,4.8,27,5.2,22,4.2,10,1.9,9,1.7,3,0.6,6,1.1,2,0.4,9,1.7,3,0.6,363,69.4,65,12.4
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,6,3.2,2,1.1,2,1.1,3,1.6,2,1.1,2,1.1,1,0.5,1,0.5,0,0,0,0,4,2.2,153,82.7,11,5.9
フィルタリングサービスの加入状況別,わからない,253,100,4,1.6,5,2,5,2,4,1.6,3,1.2,1,0.4,0,0,1,0.4,0,0,0,0,0,0,159,62.8,76,30
利用制限サービスの加入状況別,加入している,366,100,23,6.3,32,8.7,23,6.3,10,2.7,5,1.4,12,3.3,3,0.8,6,1.6,2,0.5,3,0.8,1,0.3,254,69.4,36,9.8
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,16,9.6,18,10.8,18,10.8,12,7.2,7,4.2,6,3.6,4,2.4,5,3,1,0.6,2,1.2,1,0.6,105,62.9,9,5.4
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,12,3.4,13,3.7,14,4,16,4.6,3,0.9,4,1.1,2,0.6,3,0.9,1,0.3,7,2,3,0.9,237,67.5,55,15.7
利用制限サービスの加入状況別,わからない,87,100,2,2.3,2,2.3,1,1.1,2,2.3,1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,53,60.9,27,31
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,25,4.5,21,3.8,22,4,8,1.5,6,1.1,10,1.8,5,0.9,4,0.7,2,0.4,2,0.4,3,0.5,452,82.2,32,5.8
