区分１,区分２,度数計,割合計,30分未満_度数,30分未満_割合,30分以上１時間未満_度数,30分以上１時間未満_割合,１時間以上２時間未満_度数,１時間以上２時間未満_割合,２時間以上３時間未満_度数,２時間以上３時間未満_割合,３時間以上４時間未満_度数,３時間以上４時間未満_割合,４時間以上５時間未満_度数,４時間以上５時間未満_割合,５時間以上_度数,５時間以上_割合,わからない_度数,わからない_割合
全体,全体,1500,100,439,29.3,194,12.9,297,19.8,210,14,91,6.1,33,2.2,54,3.6,182,12.1
児童・生徒別,小学生,500,100,313,62.6,63,12.6,65,13,26,5.2,10,2,4,0.8,4,0.8,15,3
児童・生徒別,中学生,500,100,94,18.8,85,17,122,24.4,84,16.8,39,7.8,9,1.8,16,3.2,51,10.2
児童・生徒別,高校生,500,100,32,6.4,46,9.2,110,22,100,20,42,8.4,20,4,34,6.8,116,23.2
子供の性別,男子,763,100,207,27.1,100,13.1,159,20.8,100,13.1,45,5.9,19,2.5,28,3.7,105,13.8
子供の性別,女子,737,100,232,31.5,94,12.8,138,18.7,110,14.9,46,6.2,14,1.9,26,3.5,77,10.4
児童・生徒×子供の性別,小学生男子,236,100,138,58.5,31,13.1,36,15.3,11,4.7,5,2.1,3,1.3,2,0.8,10,4.2
児童・生徒×子供の性別,小学生女子,264,100,175,66.3,32,12.1,29,11,15,5.7,5,1.9,1,0.4,2,0.8,5,1.9
児童・生徒×子供の性別,中学生男子,262,100,55,21,42,16,60,22.9,40,15.3,19,7.3,3,1.1,12,4.6,31,11.8
児童・生徒×子供の性別,中学生女子,238,100,39,16.4,43,18.1,62,26.1,44,18.5,20,8.4,6,2.5,4,1.7,20,8.4
児童・生徒×子供の性別,高校生男子,265,100,14,5.3,27,10.2,63,23.8,49,18.5,21,7.9,13,4.9,14,5.3,64,24.2
児童・生徒×子供の性別,高校生女子,235,100,18,7.7,19,8.1,47,20,51,21.7,21,8.9,7,3,20,8.5,52,22.1
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,307,32.2,113,11.9,186,19.5,134,14.1,53,5.6,24,2.5,34,3.6,102,10.7
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,19,22.6,16,19,17,20.2,18,21.4,3,3.6,3,3.6,2,2.4,6,7.1
携帯電話の購入所別,家電量販店,282,100,70,24.8,40,14.2,65,23,36,12.8,23,8.2,4,1.4,13,4.6,31,11
携帯電話の購入所別,インターネット販売,109,100,23,21.1,20,18.3,24,22,18,16.5,3,2.8,1,0.9,3,2.8,17,15.6
携帯電話の購入所別,その他,43,100,17,39.5,5,11.6,5,11.6,3,7,9,20.9,1,2.3,0,0,3,7
携帯電話の購入所別,わからない,29,100,3,10.3,0,0,0,0,1,3.4,0,0,0,0,2,6.9,23,79.3
フィルタリングサービスの加入状況別,加入している,539,100,115,21.3,90,16.7,141,26.2,86,16,34,6.3,10,1.9,11,2,52,9.6
フィルタリングサービスの加入状況別,加入している,523,100,107,20.5,67,12.8,119,22.8,87,16.6,39,7.5,18,3.4,29,5.5,57,10.9
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,151,81.6,13,7,9,4.9,5,2.7,2,1.1,0,0,0,0,5,2.7
フィルタリングサービスの加入状況別,わからない,253,100,66,26.1,24,9.5,28,11.1,32,12.6,16,6.3,5,2,14,5.5,68,26.9
利用制限サービスの加入状況別,加入している,366,100,36,9.8,68,18.6,117,32,72,19.7,24,6.6,6,1.6,9,2.5,34,9.3
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,16,9.6,30,18,52,31.1,35,21,14,8.4,5,3,4,2.4,11,6.6
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,26,7.4,41,11.7,86,24.5,71,20.2,34,9.7,16,4.6,30,8.5,47,13.4
利用制限サービスの加入状況別,わからない,87,100,3,3.4,11,12.6,10,11.5,15,17.2,12,13.8,5,5.7,7,8,24,27.6
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,252,45.8,63,11.5,100,18.2,59,10.7,18,3.3,10,1.8,11,2,37,6.7
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,130,20.3,94,14.7,146,22.8,117,18.3,55,8.6,14,2.2,23,3.6,60,9.4
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,28,13.5,23,11.1,41,19.7,26,12.5,14,6.7,9,4.3,16,7.7,51,24.5
利用状況の管理状態別,子供の利用状況に関心がない,98,100,26,26.5,14,14.3,10,10.2,7,7.1,4,4.1,0,0,4,4.1,33,33.7
利用状況の管理状態別,その他,5,100,3,60,0,0,0,0,1,20,0,0,0,0,0,0,1,20
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,142,30.1,72,15.3,88,18.7,66,14,31,6.6,14,3,15,3.2,43,9.1
説明・学習経験別,インターネットで調べた,482,100,117,24.3,85,17.6,110,22.8,79,16.4,35,7.3,5,1,15,3.1,36,7.5
説明・学習経験別,学校から配布される資料等を読んだ,537,100,166,30.9,74,13.8,116,21.6,70,13,36,6.7,19,3.5,19,3.5,37,6.9
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,83,25.2,49,14.8,69,20.9,53,16.1,31,9.4,7,2.1,9,2.7,29,8.8
説明・学習経験別,知識のある知人から説明を受けた,74,100,17,23,15,20.3,10,13.5,12,16.2,5,6.8,1,1.4,6,8.1,8,10.8
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,24,21.2,21,18.6,23,20.4,21,18.6,5,4.4,2,1.8,3,2.7,14,12.4
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,10,27,4,10.8,6,16.2,5,13.5,3,8.1,2,5.4,2,5.4,5,13.5
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,99,29.1,26,7.6,61,17.9,39,11.5,17,5,5,1.5,15,4.4,78,22.9
説明・学習経験別,その他,9,100,4,44.4,0,0,0,0,1,11.1,1,11.1,0,0,0,0,3,33.3
