区分１,区分２,度数計,割合計,知っている_度数,知っている_割合,知らない_度数,知らない_割合
全体,全体,1500,100,165,11,1335,89
児童・生徒別,小学生,500,100,69,13.8,431,86.2
児童・生徒別,中学生,500,100,52,10.4,448,89.6
児童・生徒別,高校生,500,100,44,8.8,456,91.2
子供の性別,男子,763,100,99,13,664,87
子供の性別,女子,737,100,66,9,671,91
児童・生徒×子供の性別,小学生男子,236,100,45,19.1,191,80.9
児童・生徒×子供の性別,小学生女子,264,100,24,9.1,240,90.9
児童・生徒×子供の性別,中学生男子,262,100,33,12.6,229,87.4
児童・生徒×子供の性別,中学生女子,238,100,19,8,219,92
児童・生徒×子供の性別,高校生男子,265,100,21,7.9,244,92.1
児童・生徒×子供の性別,高校生女子,235,100,23,9.8,212,90.2
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,121,12.7,832,87.3
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,17,20.2,67,79.8
携帯電話の購入所別,家電量販店,282,100,19,6.7,263,93.3
携帯電話の購入所別,インターネット販売,109,100,5,4.6,104,95.4
携帯電話の購入所別,その他,43,100,2,4.7,41,95.3
携帯電話の購入所別,わからない,29,100,1,3.4,28,96.6
フィルタリングサービスの加入状況別,加入している,539,100,93,17.3,446,82.7
フィルタリングサービスの加入状況別,加入している,523,100,45,8.6,478,91.4
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,18,9.7,167,90.3
フィルタリングサービスの加入状況別,わからない,253,100,9,3.6,244,96.4
利用制限サービスの加入状況別,加入している,366,100,70,19.1,296,80.9
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,30,18,137,82
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,14,4,337,96
利用制限サービスの加入状況別,わからない,87,100,4,4.6,83,95.4
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,80,14.5,470,85.5
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,69,10.8,570,89.2
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,9,4.3,199,95.7
利用状況の管理状態別,子供の利用状況に関心がない,98,100,7,7.1,91,92.9
利用状況の管理状態別,その他,5,100,0,0,5,100
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,69,14.6,402,85.4
説明・学習経験別,インターネットで調べた,482,100,74,15.4,408,84.6
説明・学習経験別,学校から配布される資料等を読んだ,537,100,72,13.4,465,86.6
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,47,14.2,283,85.8
説明・学習経験別,知識のある知人から説明を受けた,74,100,15,20.3,59,79.7
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,17,15,96,85
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,10,27,27,73
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,19,5.6,321,94.4
説明・学習経験別,その他,9,100,0,0,9,100
