区分１,区分２,度数計,割合計,作っている_度数,作っている_割合,作っていない_度数,作っていない_割合
全体,全体,1075,100,546,50.8,529,49.2
児童・生徒別,小学生,372,100,203,54.6,169,45.4
児童・生徒別,中学生,404,100,231,57.2,173,42.8
児童・生徒別,高校生,299,100,112,37.5,187,62.5
子供の性別,男子,547,100,276,50.5,271,49.5
子供の性別,女子,528,100,270,51.1,258,48.9
児童・生徒×子供の性別,小学生男子,171,100,95,55.6,76,44.4
児童・生徒×子供の性別,小学生女子,201,100,108,53.7,93,46.3
児童・生徒×子供の性別,中学生男子,216,100,130,60.2,86,39.8
児童・生徒×子供の性別,中学生女子,188,100,101,53.7,87,46.3
児童・生徒×子供の性別,高校生男子,160,100,51,31.9,109,68.1
児童・生徒×子供の性別,高校生女子,139,100,61,43.9,78,56.1
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,684,100,351,51.3,333,48.7
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,69,100,40,58,29,42
携帯電話の購入所別,家電量販店,196,100,95,48.5,101,51.5
携帯電話の購入所別,インターネット販売,86,100,41,47.7,45,52.3
携帯電話の購入所別,その他,30,100,14,46.7,16,53.3
携帯電話の購入所別,わからない,10,100,5,50,5,50
フィルタリングサービスの加入状況別,加入している,467,100,280,60,187,40
フィルタリングサービスの加入状況別,加入している,357,100,167,46.8,190,53.2
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,129,100,50,38.8,79,61.2
フィルタリングサービスの加入状況別,わからない,122,100,49,40.2,73,59.8
利用制限サービスの加入状況別,加入している,322,100,190,59,132,41
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,154,100,96,62.3,58,37.7
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,237,100,95,40.1,142,59.9
利用制限サービスの加入状況別,わからない,47,100,18,38.3,29,61.7
利用状況の管理状態別,利用状況の把握及び監督もできている,427,100,250,58.5,177,41.5
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,516,100,257,49.8,259,50.2
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,106,100,34,32.1,72,67.9
利用状況の管理状態別,子供の利用状況に関心がない,23,100,4,17.4,19,82.6
利用状況の管理状態別,その他,3,100,1,33.3,2,66.7
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,383,100,210,54.8,173,45.2
説明・学習経験別,インターネットで調べた,402,100,240,59.7,162,40.3
説明・学習経験別,学校から配布される資料等を読んだ,474,100,251,53,223,47
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,282,100,149,52.8,133,47.2
説明・学習経験別,知識のある知人から説明を受けた,62,100,47,75.8,15,24.2
説明・学習経験別,販売店等から詳しく説明をうけた,89,100,61,68.5,28,31.5
説明・学習経験別,公共施設などで開催された講座に参加した,26,100,15,57.7,11,42.3
説明・学習経験別,特に説明をうけたり学習したりしたことはない,156,100,52,33.3,104,66.7
説明・学習経験別,その他,7,100,2,28.6,5,71.4
