区分１,区分２,度数計,割合計,携帯電話（ガラホ、ＰＨＳ、キッズケータイも含む）_度数,携帯電話（ガラホ、ＰＨＳ、キッズケータイも含む）_割合,スマートフォン_度数,スマートフォン_割合,両方利用している_度数,両方利用している_割合
全体,全体,1500,100,396,26.4,1088,72.5,16,1.1
児童・生徒別,小学生,500,100,291,58.2,202,40.4,7,1.4
児童・生徒別,中学生,500,100,75,15,418,83.6,7,1.4
児童・生徒別,高校生,500,100,30,6,468,93.6,2,0.4
子供の性別,男子,763,100,192,25.2,565,74,6,0.8
子供の性別,女子,737,100,204,27.7,523,71,10,1.4
児童・生徒×子供の性別,小学生男子,236,100,132,55.9,103,43.6,1,0.4
児童・生徒×子供の性別,小学生女子,264,100,159,60.2,99,37.5,6,2.3
児童・生徒×子供の性別,中学生男子,262,100,44,16.8,214,81.7,4,1.5
児童・生徒×子供の性別,中学生女子,238,100,31,13,204,85.7,3,1.3
児童・生徒×子供の性別,高校生男子,265,100,16,6,248,93.6,1,0.4
児童・生徒×子供の性別,高校生女子,235,100,14,6,220,93.6,1,0.4
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,302,31.7,644,67.6,7,0.7
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,15,17.9,68,81,1,1.2
携帯電話の購入所別,家電量販店,282,100,60,21.3,220,78,2,0.7
携帯電話の購入所別,インターネット販売,109,100,5,4.6,100,91.7,4,3.7
携帯電話の購入所別,その他,43,100,9,20.9,33,76.7,1,2.3
携帯電話の購入所別,わからない,29,100,5,17.2,23,79.3,1,3.4
フィルタリングサービスの加入状況別,加入している,539,100,85,15.8,449,83.3,5,0.9
フィルタリングサービスの加入状況別,加入している,523,100,94,18,422,80.7,7,1.3
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,160,86.5,24,13,1,0.5
フィルタリングサービスの加入状況別,わからない,253,100,57,22.5,193,76.3,3,1.2
利用制限サービスの加入状況別,加入している,366,100,0,0,360,98.4,6,1.6
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,0,0,163,97.6,4,2.4
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,0,0,347,98.9,4,1.1
利用制限サービスの加入状況別,わからない,87,100,0,0,87,100,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,216,39.3,328,59.6,6,1.1
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,119,18.6,512,80.1,8,1.3
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,32,15.4,175,84.1,1,0.5
利用状況の管理状態別,子供の利用状況に関心がない,98,100,28,28.6,70,71.4,0,0
利用状況の管理状態別,その他,5,100,1,20,3,60,1,20
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,141,29.9,321,68.2,9,1.9
説明・学習経験別,インターネットで調べた,482,100,116,24.1,355,73.7,11,2.3
説明・学習経験別,学校から配布される資料等を読んだ,537,100,136,25.3,396,73.7,5,0.9
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,68,20.6,257,77.9,5,1.5
説明・学習経験別,知識のある知人から説明を受けた,74,100,16,21.6,56,75.7,2,2.7
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,23,20.4,88,77.9,2,1.8
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,9,24.3,24,64.9,4,10.8
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,91,26.8,249,73.2,0,0
説明・学習経験別,その他,9,100,4,44.4,5,55.6,0,0
