区分１,区分２,度数計,割合計,インターネットの使い方について、子供を信用しているから_度数,インターネットの使い方について、子供を信用しているから_割合,子供がインターネット上の有害情報を見ないよう、保護者として適切に管理できるから_度数,子供がインターネット上の有害情報を見ないよう、保護者として適切に管理できるから_割合,フィルタリングサービスを利用すると、子供の日常生活に不便が生じるから_度数,フィルタリングサービスを利用すると、子供の日常生活に不便が生じるから_割合,フィルタリングサービスの利用方法がわからない_度数,フィルタリングサービスの利用方法がわからない_割合,フィルタリングサービスの必要性がわからない_度数,フィルタリングサービスの必要性がわからない_割合,子供にフィルタリング設定をしないようせがまれて、仕方なく_度数,子供にフィルタリング設定をしないようせがまれて、仕方なく_割合,フィルタリングサービス自体を知らない_度数,フィルタリングサービス自体を知らない_割合,無料サービスのものがあることを知らず、お金がかかると思った_度数,無料サービスのものがあることを知らず、お金がかかると思った_割合,購入時に説明を受けなかったから_度数,購入時に説明を受けなかったから_割合,キッズ携帯等で、インターネットを利用させていないから_度数,キッズ携帯等で、インターネットを利用させていないから_割合,その他_度数,その他_割合
全体,全体,523,100,240,45.9,80,15.3,27,5.2,39,7.5,24,4.6,9,1.7,9,1.7,24,4.6,14,2.7,46,8.8,11,2.1
児童・生徒別,小学生,129,100,37,28.7,24,18.6,5,3.9,6,4.7,6,4.7,1,0.8,2,1.6,6,4.7,3,2.3,37,28.7,2,1.6
児童・生徒別,中学生,167,100,72,43.1,30,18,6,3.6,20,12,8,4.8,2,1.2,5,3,6,3.6,6,3.6,6,3.6,6,3.6
児童・生徒別,高校生,227,100,131,57.7,26,11.5,16,7,13,5.7,10,4.4,6,2.6,2,0.9,12,5.3,5,2.2,3,1.3,3,1.3
子供の性別,男子,265,100,121,45.7,38,14.3,14,5.3,17,6.4,19,7.2,5,1.9,4,1.5,12,4.5,10,3.8,20,7.5,5,1.9
子供の性別,女子,258,100,119,46.1,42,16.3,13,5,22,8.5,5,1.9,4,1.6,5,1.9,12,4.7,4,1.6,26,10.1,6,2.3
児童・生徒×子供の性別,小学生男子,57,100,18,31.6,9,15.8,2,3.5,2,3.5,4,7,1,1.8,0,0,2,3.5,3,5.3,15,26.3,1,1.8
児童・生徒×子供の性別,小学生女子,72,100,19,26.4,15,20.8,3,4.2,4,5.6,2,2.8,0,0,2,2.8,4,5.6,0,0,22,30.6,1,1.4
児童・生徒×子供の性別,中学生男子,80,100,26,32.5,17,21.3,4,5,10,12.5,5,6.3,2,2.5,3,3.8,3,3.8,3,3.8,4,5,3,3.8
児童・生徒×子供の性別,中学生女子,87,100,46,52.9,13,14.9,2,2.3,10,11.5,3,3.4,0,0,2,2.3,3,3.4,3,3.4,2,2.3,3,3.4
児童・生徒×子供の性別,高校生男子,128,100,77,60.2,12,9.4,8,6.3,5,3.9,10,7.8,2,1.6,1,0.8,7,5.5,4,3.1,1,0.8,1,0.8
児童・生徒×子供の性別,高校生女子,99,100,54,54.5,14,14.1,8,8.1,8,8.1,0,0,4,4,1,1,5,5.1,1,1,2,2,2,2
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,294,100,137,46.6,47,16,20,6.8,16,5.4,10,3.4,7,2.4,4,1.4,13,4.4,6,2,28,9.5,6,2
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,40,100,18,45,7,17.5,2,5,3,7.5,5,12.5,0,0,1,2.5,1,2.5,0,0,2,5,1,2.5
携帯電話の購入所別,家電量販店,105,100,47,44.8,10,9.5,5,4.8,15,14.3,7,6.7,1,1,2,1.9,4,3.8,1,1,11,10.5,2,1.9
携帯電話の購入所別,インターネット販売,55,100,26,47.3,11,20,0,0,4,7.3,1,1.8,1,1.8,2,3.6,4,7.3,4,7.3,0,0,2,3.6
携帯電話の購入所別,その他,23,100,10,43.5,4,17.4,0,0,1,4.3,1,4.3,0,0,0,0,2,8.7,3,13,2,8.7,0,0
携帯電話の購入所別,わからない,6,100,2,33.3,1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,0,0
フィルタリングサービスの加入状況別,加入している,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フィルタリングサービスの加入状況別,加入している,523,100,240,45.9,80,15.3,27,5.2,39,7.5,24,4.6,9,1.7,9,1.7,24,4.6,14,2.7,46,8.8,11,2.1
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フィルタリングサービスの加入状況別,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
利用制限サービスの加入状況別,加入している,29,100,14,48.3,8,27.6,1,3.4,2,6.9,0,0,0,0,0,0,1,3.4,0,0,1,3.4,2,6.9
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,75,100,24,32,27,36,7,9.3,5,6.7,2,2.7,2,2.7,0,0,4,5.3,3,4,0,0,1,1.3
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,278,100,147,52.9,30,10.8,16,5.8,24,8.6,16,5.8,7,2.5,7,2.5,13,4.7,8,2.9,2,0.7,8,2.9
利用制限サービスの加入状況別,わからない,20,100,12,60,5,25,0,0,1,5,1,5,0,0,0,0,0,0,0,0,1,5,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,172,100,74,43,35,20.3,6,3.5,4,2.3,10,5.8,0,0,4,2.3,7,4.1,2,1.2,27,15.7,3,1.7
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,241,100,115,47.7,42,17.4,14,5.8,21,8.7,11,4.6,6,2.5,3,1.2,7,2.9,7,2.9,10,4.1,5,2.1
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,80,100,33,41.3,3,3.8,5,6.3,12,15,3,3.8,3,3.8,1,1.3,10,12.5,4,5,4,5,2,2.5
利用状況の管理状態別,子供の利用状況に関心がない,29,100,18,62.1,0,0,2,6.9,2,6.9,0,0,0,0,1,3.4,0,0,1,3.4,4,13.8,1,3.4
利用状況の管理状態別,その他,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,143,100,63,44.1,27,18.9,4,2.8,13,9.1,5,3.5,6,4.2,1,0.7,6,4.2,5,3.5,10,7,3,2.1
説明・学習経験別,インターネットで調べた,179,100,74,41.3,43,24,4,2.2,12,6.7,11,6.1,4,2.2,1,0.6,11,6.1,6,3.4,10,5.6,3,1.7
説明・学習経験別,学校から配布される資料等を読んだ,164,100,67,40.9,33,20.1,12,7.3,15,9.1,5,3,2,1.2,2,1.2,7,4.3,5,3,11,6.7,5,3
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,105,100,41,39,23,21.9,6,5.7,12,11.4,3,2.9,3,2.9,2,1.9,4,3.8,4,3.8,4,3.8,3,2.9
説明・学習経験別,知識のある知人から説明を受けた,27,100,10,37,7,25.9,1,3.7,4,14.8,3,11.1,0,0,0,0,1,3.7,0,0,1,3.7,0,0
説明・学習経験別,販売店等から詳しく説明をうけた,25,100,13,52,5,20,0,0,3,12,1,4,1,4,0,0,1,4,0,0,1,4,0,0
説明・学習経験別,公共施設などで開催された講座に参加した,9,100,0,0,3,33.3,0,0,1,11.1,0,0,1,11.1,0,0,2,22.2,2,22.2,0,0,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,145,100,75,51.7,11,7.6,4,2.8,10,6.9,9,6.2,1,0.7,5,3.4,7,4.8,4,2.8,17,11.7,2,1.4
説明・学習経験別,その他,2,100,0,0,1,50,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0
