区分１,区分２,度数計,割合計,家庭のルール作りを推進する講座の開催_度数,家庭のルール作りを推進する講座の開催_割合,学校・地域（家庭外）のルール作りを推進する講座の開催_度数,学校・地域（家庭外）のルール作りを推進する講座の開催_割合,インターネットの危険性について啓発する講演会・イベントの開催_度数,インターネットの危険性について啓発する講演会・イベントの開催_割合,ネットトラブル相談の充実化_度数,ネットトラブル相談の充実化_割合,ネットに潜む危険性に関する、より一層の広報_度数,ネットに潜む危険性に関する、より一層の広報_割合,学校の授業等で、ネットの危険性について取り扱う_度数,学校の授業等で、ネットの危険性について取り扱う_割合,子供の有害にならないよう、事業者を規制すべき_度数,子供の有害にならないよう、事業者を規制すべき_割合,各家庭で小学生に携帯電話・スマートフォンを持たせないようにする_度数,各家庭で小学生に携帯電話・スマートフォンを持たせないようにする_割合,各家庭で中学生にスマートフォンを持たせないようにする_度数,各家庭で中学生にスマートフォンを持たせないようにする_割合,小中学校への携帯電話・スマートフォンの持ち込みを厳禁にする_度数,小中学校への携帯電話・スマートフォンの持ち込みを厳禁にする_割合,特に必要ない_度数,特に必要ない_割合,その他_度数,その他_割合
全体,全体,1500,100,303,20.2,232,15.5,302,20.1,192,12.8,237,15.8,462,30.8,172,11.5,47,3.1,41,2.7,96,6.4,246,16.4,12,0.8
児童・生徒別,小学生,500,100,105,21,97,19.4,104,20.8,54,10.8,76,15.2,177,35.4,59,11.8,19,3.8,13,2.6,37,7.4,62,12.4,3,0.6
児童・生徒別,中学生,500,100,107,21.4,71,14.2,92,18.4,65,13,96,19.2,155,31,59,11.8,11,2.2,12,2.4,31,6.2,79,15.8,3,0.6
児童・生徒別,高校生,500,100,91,18.2,64,12.8,106,21.2,73,14.6,65,13,130,26,54,10.8,17,3.4,16,3.2,28,5.6,105,21,6,1.2
子供の性別,男子,763,100,151,19.8,123,16.1,157,20.6,103,13.5,107,14,237,31.1,76,10,19,2.5,20,2.6,51,6.7,130,17,7,0.9
子供の性別,女子,737,100,152,20.6,109,14.8,145,19.7,89,12.1,130,17.6,225,30.5,96,13,28,3.8,21,2.8,45,6.1,116,15.7,5,0.7
児童・生徒×子供の性別,小学生男子,236,100,47,19.9,44,18.6,53,22.5,28,11.9,33,14,77,32.6,24,10.2,5,2.1,3,1.3,20,8.5,32,13.6,2,0.8
児童・生徒×子供の性別,小学生女子,264,100,58,22,53,20.1,51,19.3,26,9.8,43,16.3,100,37.9,35,13.3,14,5.3,10,3.8,17,6.4,30,11.4,1,0.4
児童・生徒×子供の性別,中学生男子,262,100,62,23.7,43,16.4,51,19.5,29,11.1,43,16.4,85,32.4,27,10.3,4,1.5,6,2.3,17,6.5,40,15.3,2,0.8
児童・生徒×子供の性別,中学生女子,238,100,45,18.9,28,11.8,41,17.2,36,15.1,53,22.3,70,29.4,32,13.4,7,2.9,6,2.5,14,5.9,39,16.4,1,0.4
児童・生徒×子供の性別,高校生男子,265,100,42,15.8,36,13.6,53,20,46,17.4,31,11.7,75,28.3,25,9.4,10,3.8,11,4.2,14,5.3,58,21.9,3,1.1
児童・生徒×子供の性別,高校生女子,235,100,49,20.9,28,11.9,53,22.6,27,11.5,34,14.5,55,23.4,29,12.3,7,3,5,2.1,14,6,47,20,3,1.3
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,202,21.2,162,17,200,21,121,12.7,150,15.7,299,31.4,109,11.4,25,2.6,21,2.2,62,6.5,145,15.2,9,0.9
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,14,16.7,12,14.3,17,20.2,9,10.7,13,15.5,27,32.1,12,14.3,1,1.2,3,3.6,6,7.1,12,14.3,2,2.4
携帯電話の購入所別,家電量販店,282,100,55,19.5,38,13.5,57,20.2,35,12.4,51,18.1,86,30.5,28,9.9,14,5,7,2.5,18,6.4,44,15.6,0,0
携帯電話の購入所別,インターネット販売,109,100,22,20.2,15,13.8,20,18.3,19,17.4,19,17.4,31,28.4,15,13.8,3,2.8,6,5.5,5,4.6,20,18.3,1,0.9
携帯電話の購入所別,その他,43,100,6,14,4,9.3,6,14,6,14,3,7,13,30.2,7,16.3,3,7,3,7,3,7,10,23.3,0,0
携帯電話の購入所別,わからない,29,100,4,13.8,1,3.4,2,6.9,2,6.9,1,3.4,6,20.7,1,3.4,1,3.4,1,3.4,2,6.9,15,51.7,0,0
フィルタリングサービスの加入状況別,加入している,539,100,143,26.5,95,17.6,128,23.7,81,15,104,19.3,166,30.8,62,11.5,17,3.2,15,2.8,33,6.1,53,9.8,3,0.6
フィルタリングサービスの加入状況別,加入している,523,100,84,16.1,79,15.1,107,20.5,74,14.1,66,12.6,145,27.7,55,10.5,16,3.1,14,2.7,32,6.1,109,20.8,7,1.3
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,30,16.2,33,17.8,35,18.9,17,9.2,31,16.8,90,48.6,26,14.1,8,4.3,5,2.7,16,8.6,11,5.9,1,0.5
フィルタリングサービスの加入状況別,わからない,253,100,46,18.2,25,9.9,32,12.6,20,7.9,36,14.2,61,24.1,29,11.5,6,2.4,7,2.8,15,5.9,73,28.9,1,0.4
利用制限サービスの加入状況別,加入している,366,100,92,25.1,77,21,82,22.4,56,15.3,72,19.7,124,33.9,40,10.9,10,2.7,8,2.2,23,6.3,33,9,2,0.5
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,37,22.2,21,12.6,59,35.3,26,15.6,37,22.2,49,29.3,19,11.4,5,3,4,2.4,8,4.8,10,6,3,1.8
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,53,15.1,41,11.7,65,18.5,49,14,46,13.1,107,30.5,47,13.4,13,3.7,11,3.1,18,5.1,72,20.5,4,1.1
利用制限サービスの加入状況別,わからない,87,100,17,19.5,7,8,10,11.5,17,19.5,12,13.8,21,24.1,14,16.1,0,0,2,2.3,3,3.4,19,21.8,1,1.1
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,131,23.8,83,15.1,116,21.1,54,9.8,81,14.7,178,32.4,64,11.6,16,2.9,15,2.7,32,5.8,95,17.3,4,0.7
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,130,20.3,118,18.5,132,20.7,107,16.7,119,18.6,212,33.2,78,12.2,26,4.1,21,3.3,46,7.2,63,9.9,4,0.6
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,29,13.9,24,11.5,46,22.1,28,13.5,28,13.5,55,26.4,28,13.5,3,1.4,3,1.4,12,5.8,37,17.8,3,1.4
利用状況の管理状態別,子供の利用状況に関心がない,98,100,13,13.3,7,7.1,8,8.2,3,3.1,7,7.1,13,13.3,2,2,1,1,2,2,6,6.1,50,51,1,1
利用状況の管理状態別,その他,5,100,0,0,0,0,0,0,0,0,2,40,4,80,0,0,1,20,0,0,0,0,1,20,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,118,25.1,109,23.1,104,22.1,69,14.6,87,18.5,164,34.8,64,13.6,11,2.3,9,1.9,23,4.9,39,8.3,6,1.3
説明・学習経験別,インターネットで調べた,482,100,133,27.6,100,20.7,120,24.9,81,16.8,79,16.4,144,29.9,46,9.5,12,2.5,8,1.7,20,4.1,47,9.8,4,0.8
説明・学習経験別,学校から配布される資料等を読んだ,537,100,97,18.1,92,17.1,133,24.8,83,15.5,117,21.8,244,45.4,85,15.8,18,3.4,13,2.4,28,5.2,29,5.4,8,1.5
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,61,18.5,57,17.3,93,28.2,49,14.8,67,20.3,145,43.9,58,17.6,17,5.2,8,2.4,20,6.1,12,3.6,4,1.2
説明・学習経験別,知識のある知人から説明を受けた,74,100,18,24.3,21,28.4,14,18.9,17,23,17,23,19,25.7,5,6.8,3,4.1,2,2.7,4,5.4,5,6.8,0,0
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,35,31,26,23,26,23,14,12.4,25,22.1,31,27.4,13,11.5,5,4.4,2,1.8,7,6.2,11,9.7,1,0.9
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,12,32.4,9,24.3,3,8.1,5,13.5,8,21.6,10,27,2,5.4,2,5.4,1,2.7,5,13.5,3,8.1,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,40,11.8,21,6.2,43,12.6,27,7.9,31,9.1,60,17.6,32,9.4,9,2.6,14,4.1,28,8.2,148,43.5,1,0.3
説明・学習経験別,その他,9,100,2,22.2,0,0,2,22.2,1,11.1,1,11.1,6,66.7,1,11.1,0,0,1,11.1,1,11.1,1,11.1,0,0
