区分１,区分２,度数計,割合計,作っている_度数,作っている_割合,作っていない_度数,作っていない_割合,わからない_度数,わからない_割合
全体,全体,1500,100,242,16.1,636,42.4,622,41.5
児童・生徒別,小学生,500,100,119,23.8,240,48,141,28.2
児童・生徒別,中学生,500,100,78,15.6,186,37.2,236,47.2
児童・生徒別,高校生,500,100,45,9,210,42,245,49
子供の性別,男子,763,100,120,15.7,321,42.1,322,42.2
子供の性別,女子,737,100,122,16.6,315,42.7,300,40.7
児童・生徒×子供の性別,小学生男子,236,100,55,23.3,124,52.5,57,24.2
児童・生徒×子供の性別,小学生女子,264,100,64,24.2,116,43.9,84,31.8
児童・生徒×子供の性別,中学生男子,262,100,46,17.6,86,32.8,130,49.6
児童・生徒×子供の性別,中学生女子,238,100,32,13.4,100,42,106,44.5
児童・生徒×子供の性別,高校生男子,265,100,19,7.2,111,41.9,135,50.9
児童・生徒×子供の性別,高校生女子,235,100,26,11.1,99,42.1,110,46.8
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,159,16.7,413,43.3,381,40
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,19,22.6,32,38.1,33,39.3
携帯電話の購入所別,家電量販店,282,100,43,15.2,122,43.3,117,41.5
携帯電話の購入所別,インターネット販売,109,100,11,10.1,39,35.8,59,54.1
携帯電話の購入所別,その他,43,100,5,11.6,22,51.2,16,37.2
携帯電話の購入所別,わからない,29,100,5,17.2,8,27.6,16,55.2
フィルタリングサービスの加入状況別,加入している,539,100,127,23.6,195,36.2,217,40.3
フィルタリングサービスの加入状況別,加入している,523,100,74,14.1,242,46.3,207,39.6
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,22,11.9,104,56.2,59,31.9
フィルタリングサービスの加入状況別,わからない,253,100,19,7.5,95,37.5,139,54.9
利用制限サービスの加入状況別,加入している,366,100,79,21.6,139,38,148,40.4
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,40,24,64,38.3,63,37.7
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,39,11.1,159,45.3,153,43.6
利用制限サービスの加入状況別,わからない,87,100,7,8,28,32.2,52,59.8
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,141,25.6,238,43.3,171,31.1
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,81,12.7,265,41.5,293,45.9
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,12,5.8,87,41.8,109,52.4
利用状況の管理状態別,子供の利用状況に関心がない,98,100,8,8.2,44,44.9,46,46.9
利用状況の管理状態別,その他,5,100,0,0,2,40,3,60
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,109,23.1,169,35.9,193,41
説明・学習経験別,インターネットで調べた,482,100,107,22.2,200,41.5,175,36.3
説明・学習経験別,学校から配布される資料等を読んだ,537,100,99,18.4,226,42.1,212,39.5
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,67,20.3,117,35.5,146,44.2
説明・学習経験別,知識のある知人から説明を受けた,74,100,30,40.5,17,23,27,36.5
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,26,23,41,36.3,46,40.7
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,13,35.1,14,37.8,10,27
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,23,6.8,158,46.5,159,46.8
説明・学習経験別,その他,9,100,0,0,3,33.3,6,66.7
