区分１,区分２,度数計,割合計,インターネットや携帯電話等について、子供に教育できる十分な知識を身につけること_度数,インターネットや携帯電話等について、子供に教育できる十分な知識を身につけること_割合,子供の使用状況について、保護者がもっと関心を払うこと_度数,子供の使用状況について、保護者がもっと関心を払うこと_割合,親子のコミュニケーションを緊密にすること_度数,親子のコミュニケーションを緊密にすること_割合,他の子供の保護者等ともっと情報交換をすること_度数,他の子供の保護者等ともっと情報交換をすること_割合,携帯電話等の使い方について、家庭のルールを作る_度数,携帯電話等の使い方について、家庭のルールを作る_割合,携帯電話等の使い方について、友達の間でのルールを作るサポートをする_度数,携帯電話等の使い方について、友達の間でのルールを作るサポートをする_割合,今のままで問題ない_度数,今のままで問題ない_割合,その他_度数,その他_割合
全体,全体,1500,100,653,43.5,464,30.9,561,37.4,58,3.9,274,18.3,65,4.3,219,14.6,5,0.3
児童・生徒別,小学生,500,100,227,45.4,175,35,203,40.6,13,2.6,118,23.6,30,6,50,10,2,0.4
児童・生徒別,中学生,500,100,216,43.2,171,34.2,179,35.8,28,5.6,94,18.8,15,3,62,12.4,0,0
児童・生徒別,高校生,500,100,210,42,118,23.6,179,35.8,17,3.4,62,12.4,20,4,107,21.4,3,0.6
子供の性別,男子,763,100,328,43,224,29.4,278,36.4,35,4.6,137,18,27,3.5,115,15.1,4,0.5
子供の性別,女子,737,100,325,44.1,240,32.6,283,38.4,23,3.1,137,18.6,38,5.2,104,14.1,1,0.1
児童・生徒×子供の性別,小学生男子,236,100,100,42.4,80,33.9,91,38.6,4,1.7,56,23.7,14,5.9,27,11.4,2,0.8
児童・生徒×子供の性別,小学生女子,264,100,127,48.1,95,36,112,42.4,9,3.4,62,23.5,16,6.1,23,8.7,0,0
児童・生徒×子供の性別,中学生男子,262,100,110,42,93,35.5,88,33.6,19,7.3,45,17.2,6,2.3,33,12.6,0,0
児童・生徒×子供の性別,中学生女子,238,100,106,44.5,78,32.8,91,38.2,9,3.8,49,20.6,9,3.8,29,12.2,0,0
児童・生徒×子供の性別,高校生男子,265,100,118,44.5,51,19.2,99,37.4,12,4.5,36,13.6,7,2.6,55,20.8,2,0.8
児童・生徒×子供の性別,高校生女子,235,100,92,39.1,67,28.5,80,34,5,2.1,26,11.1,13,5.5,52,22.1,1,0.4
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,422,44.3,298,31.3,381,40,35,3.7,172,18,45,4.7,129,13.5,5,0.5
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,43,51.2,30,35.7,31,36.9,4,4.8,16,19,1,1.2,8,9.5,0,0
携帯電話の購入所別,家電量販店,282,100,107,37.9,88,31.2,90,31.9,14,5,59,20.9,13,4.6,48,17,0,0
携帯電話の購入所別,インターネット販売,109,100,57,52.3,31,28.4,38,34.9,4,3.7,18,16.5,5,4.6,11,10.1,0,0
携帯電話の購入所別,その他,43,100,18,41.9,14,32.6,13,30.2,1,2.3,7,16.3,0,0,8,18.6,0,0
携帯電話の購入所別,わからない,29,100,6,20.7,3,10.3,8,27.6,0,0,2,6.9,1,3.4,15,51.7,0,0
フィルタリングサービスの加入状況別,加入している,539,100,267,49.5,199,36.9,226,41.9,27,5,104,19.3,23,4.3,38,7.1,1,0.2
フィルタリングサービスの加入状況別,加入している,523,100,235,44.9,143,27.3,193,36.9,17,3.3,70,13.4,17,3.3,95,18.2,3,0.6
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,79,42.7,68,36.8,72,38.9,6,3.2,56,30.3,10,5.4,14,7.6,1,0.5
フィルタリングサービスの加入状況別,わからない,253,100,72,28.5,54,21.3,70,27.7,8,3.2,44,17.4,15,5.9,72,28.5,0,0
利用制限サービスの加入状況別,加入している,366,100,171,46.7,136,37.2,159,43.4,21,5.7,66,18,13,3.6,28,7.7,1,0.3
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,84,50.3,60,35.9,70,41.9,10,6,39,23.4,11,6.6,6,3.6,0,0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,153,43.6,95,27.1,126,35.9,12,3.4,54,15.4,15,4.3,55,15.7,3,0.9
利用制限サービスの加入状況別,わからない,87,100,26,29.9,21,24.1,29,33.3,3,3.4,11,12.6,1,1.1,24,27.6,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,281,51.1,184,33.5,214,38.9,14,2.5,112,20.4,22,4,57,10.4,1,0.2
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,292,45.7,212,33.2,268,41.9,27,4.2,125,19.6,27,4.2,62,9.7,1,0.2
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,62,29.8,59,28.4,65,31.3,12,5.8,27,13,14,6.7,40,19.2,3,1.4
利用状況の管理状態別,子供の利用状況に関心がない,98,100,16,16.3,7,7.1,12,12.2,5,5.1,8,8.2,2,2,59,60.2,0,0
利用状況の管理状態別,その他,5,100,2,40,2,40,2,40,0,0,2,40,0,0,1,20,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,259,55,174,36.9,203,43.1,14,3,103,21.9,19,4,23,4.9,3,0.6
説明・学習経験別,インターネットで調べた,482,100,272,56.4,175,36.3,197,40.9,22,4.6,82,17,22,4.6,23,4.8,1,0.2
説明・学習経験別,学校から配布される資料等を読んだ,537,100,259,48.2,209,38.9,270,50.3,25,4.7,140,26.1,23,4.3,18,3.4,3,0.6
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,160,48.5,130,39.4,160,48.5,19,5.8,83,25.2,16,4.8,12,3.6,2,0.6
説明・学習経験別,知識のある知人から説明を受けた,74,100,42,56.8,30,40.5,24,32.4,7,9.5,18,24.3,4,5.4,4,5.4,0,0
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,63,55.8,41,36.3,49,43.4,7,6.2,28,24.8,7,6.2,7,6.2,1,0.9
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,20,54.1,10,27,8,21.6,2,5.4,9,24.3,5,13.5,5,13.5,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,92,27.1,54,15.9,80,23.5,6,1.8,40,11.8,14,4.1,147,43.2,1,0.3
説明・学習経験別,その他,9,100,6,66.7,4,44.4,4,44.4,0,0,2,22.2,0,0,1,11.1,0,0
