区分１,区分２,度数計,割合計,携帯電話（ガラホ、ＰＨＳ、キッズケータイを含む）_度数,携帯電話（ガラホ、ＰＨＳ、キッズケータイを含む）_割合,スマートフォン_度数,スマートフォン_割合,携帯ゲーム機_度数,携帯ゲーム機_割合,タブレット型携帯端末_度数,タブレット型携帯端末_割合,携帯音楽プレーヤー_度数,携帯音楽プレーヤー_割合,いずれも利用していない_度数,いずれも利用していない_割合
全体,全体,1500,100,412,27.5,1104,73.6,463,30.9,211,14.1,251,16.7,0,0
児童・生徒別,小学生,500,100,298,59.6,209,41.8,182,36.4,96,19.2,48,9.6,0,0
児童・生徒別,中学生,500,100,82,16.4,425,85,168,33.6,64,12.8,95,19,0,0
児童・生徒別,高校生,500,100,32,6.4,470,94,113,22.6,51,10.2,108,21.6,0,0
子供の性別,男子,763,100,198,26,571,74.8,265,34.7,109,14.3,112,14.7,0,0
子供の性別,女子,737,100,214,29,533,72.3,198,26.9,102,13.8,139,18.9,0,0
児童・生徒×子供の性別,小学生男子,236,100,133,56.4,104,44.1,93,39.4,45,19.1,18,7.6,0,0
児童・生徒×子供の性別,小学生女子,264,100,165,62.5,105,39.8,89,33.7,51,19.3,30,11.4,0,0
児童・生徒×子供の性別,中学生男子,262,100,48,18.3,218,83.2,100,38.2,38,14.5,45,17.2,0,0
児童・生徒×子供の性別,中学生女子,238,100,34,14.3,207,87,68,28.6,26,10.9,50,21,0,0
児童・生徒×子供の性別,高校生男子,265,100,17,6.4,249,94,72,27.2,26,9.8,49,18.5,0,0
児童・生徒×子供の性別,高校生女子,235,100,15,6.4,221,94,41,17.4,25,10.6,59,25.1,0,0
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,309,32.4,651,68.3,289,30.3,128,13.4,159,16.7,0,0
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,16,19,69,82.1,27,32.1,15,17.9,12,14.3,0,0
携帯電話の購入所別,家電量販店,282,100,62,22,222,78.7,88,31.2,37,13.1,52,18.4,0,0
携帯電話の購入所別,インターネット販売,109,100,9,8.3,104,95.4,39,35.8,20,18.3,20,18.3,0,0
携帯電話の購入所別,その他,43,100,10,23.3,34,79.1,14,32.6,10,23.3,7,16.3,0,0
携帯電話の購入所別,わからない,29,100,6,20.7,24,82.8,6,20.7,1,3.4,1,3.4,0,0
フィルタリングサービスの加入状況別,加入している,539,100,90,16.7,454,84.2,193,35.8,75,13.9,105,19.5,0,0
フィルタリングサービスの加入状況別,加入している,523,100,101,19.3,429,82,157,30,86,16.4,99,18.9,0,0
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,161,87,25,13.5,62,33.5,26,14.1,17,9.2,0,0
フィルタリングサービスの加入状況別,わからない,253,100,60,23.7,196,77.5,51,20.2,24,9.5,30,11.9,0,0
利用制限サービスの加入状況別,加入している,366,100,6,1.6,366,100,137,37.4,58,15.8,74,20.2,0,0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,4,2.4,167,100,55,32.9,22,13.2,44,26.3,0,0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,4,1.1,351,100,105,29.9,47,13.4,74,21.1,0,0
利用制限サービスの加入状況別,わからない,87,100,0,0,87,100,23,26.4,8,9.2,11,12.6,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,222,40.4,334,60.7,182,33.1,92,16.7,85,15.5,0,0
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,127,19.9,520,81.4,207,32.4,86,13.5,120,18.8,0,0
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,33,15.9,176,84.6,58,27.9,23,11.1,33,15.9,0,0
利用状況の管理状態別,子供の利用状況に関心がない,98,100,28,28.6,70,71.4,16,16.3,10,10.2,12,12.2,0,0
利用状況の管理状態別,その他,5,100,2,40,4,80,0,0,0,0,1,20,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,150,31.8,330,70.1,181,38.4,83,17.6,105,22.3,0,0
説明・学習経験別,インターネットで調べた,482,100,127,26.3,366,75.9,182,37.8,81,16.8,101,21,0,0
説明・学習経験別,学校から配布される資料等を読んだ,537,100,141,26.3,401,74.7,207,38.5,94,17.5,118,22,0,0
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,73,22.1,262,79.4,125,37.9,58,17.6,71,21.5,0,0
説明・学習経験別,知識のある知人から説明を受けた,74,100,18,24.3,58,78.4,32,43.2,14,18.9,22,29.7,0,0
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,25,22.1,90,79.6,50,44.2,20,17.7,41,36.3,0,0
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,13,35.1,28,75.7,18,48.6,11,29.7,11,29.7,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,91,26.8,249,73.2,73,21.5,47,13.8,39,11.5,0,0
説明・学習経験別,その他,9,100,4,44.4,5,55.6,0,0,3,33.3,0,0,0,0
