区分１,区分２,度数計,割合計,守られている_度数,守られている_割合,だいたい守られている_度数,だいたい守られている_割合,あまり守られていない_度数,あまり守られていない_割合,守られていない_度数,守られていない_割合,守られているかどうか分からない_度数,守られているかどうか分からない_割合
全体,全体,1075,100,298,27.7,495,46,159,14.8,63,5.9,60,5.6
児童・生徒別,小学生,372,100,146,39.2,159,42.7,38,10.2,12,3.2,17,4.6
児童・生徒別,中学生,404,100,81,20,192,47.5,88,21.8,27,6.7,16,4
児童・生徒別,高校生,299,100,71,23.7,144,48.2,33,11,24,8,27,9
子供の性別,男子,547,100,141,25.8,244,44.6,94,17.2,35,6.4,33,6
子供の性別,女子,528,100,157,29.7,251,47.5,65,12.3,28,5.3,27,5.1
児童・生徒×子供の性別,小学生男子,171,100,64,37.4,75,43.9,21,12.3,7,4.1,4,2.3
児童・生徒×子供の性別,小学生女子,201,100,82,40.8,84,41.8,17,8.5,5,2.5,13,6.5
児童・生徒×子供の性別,中学生男子,216,100,44,20.4,90,41.7,56,25.9,16,7.4,10,4.6
児童・生徒×子供の性別,中学生女子,188,100,37,19.7,102,54.3,32,17,11,5.9,6,3.2
児童・生徒×子供の性別,高校生男子,160,100,33,20.6,79,49.4,17,10.6,12,7.5,19,11.9
児童・生徒×子供の性別,高校生女子,139,100,38,27.3,65,46.8,16,11.5,12,8.6,8,5.8
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,684,100,211,30.8,305,44.6,95,13.9,39,5.7,34,5
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,69,100,18,26.1,31,44.9,15,21.7,5,7.2,0,0
携帯電話の購入所別,家電量販店,196,100,41,20.9,95,48.5,31,15.8,11,5.6,18,9.2
携帯電話の購入所別,インターネット販売,86,100,24,27.9,40,46.5,10,11.6,5,5.8,7,8.1
携帯電話の購入所別,その他,30,100,4,13.3,17,56.7,5,16.7,3,10,1,3.3
携帯電話の購入所別,わからない,10,100,0,0,7,70,3,30,0,0,0,0
フィルタリングサービスの加入状況別,加入している,467,100,149,31.9,213,45.6,70,15,18,3.9,17,3.6
フィルタリングサービスの加入状況別,加入している,357,100,79,22.1,181,50.7,49,13.7,29,8.1,19,5.3
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,129,100,48,37.2,51,39.5,15,11.6,6,4.7,9,7
フィルタリングサービスの加入状況別,わからない,122,100,22,18,50,41,25,20.5,10,8.2,15,12.3
利用制限サービスの加入状況別,加入している,322,100,92,28.6,148,46,56,17.4,15,4.7,11,3.4
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,154,100,31,20.1,85,55.2,27,17.5,7,4.5,4,2.6
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,237,100,48,20.3,115,48.5,31,13.1,25,10.5,18,7.6
利用制限サービスの加入状況別,わからない,47,100,8,17,20,42.6,11,23.4,3,6.4,5,10.6
利用状況の管理状態別,利用状況の把握及び監督もできている,427,100,199,46.6,182,42.6,24,5.6,8,1.9,14,3.3
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,516,100,81,15.7,277,53.7,103,20,30,5.8,25,4.8
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,106,100,12,11.3,29,27.4,26,24.5,23,21.7,16,15.1
利用状況の管理状態別,子供の利用状況に関心がない,23,100,6,26.1,5,21.7,5,21.7,2,8.7,5,21.7
利用状況の管理状態別,その他,3,100,0,0,2,66.7,1,33.3,0,0,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,383,100,121,31.6,188,49.1,48,12.5,17,4.4,9,2.3
説明・学習経験別,インターネットで調べた,402,100,104,25.9,198,49.3,64,15.9,22,5.5,14,3.5
説明・学習経験別,学校から配布される資料等を読んだ,474,100,145,30.6,221,46.6,70,14.8,25,5.3,13,2.7
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,282,100,73,25.9,133,47.2,50,17.7,15,5.3,11,3.9
説明・学習経験別,知識のある知人から説明を受けた,62,100,21,33.9,27,43.5,10,16.1,3,4.8,1,1.6
説明・学習経験別,販売店等から詳しく説明をうけた,89,100,31,34.8,40,44.9,15,16.9,3,3.4,0,0
説明・学習経験別,公共施設などで開催された講座に参加した,26,100,8,30.8,8,30.8,4,15.4,5,19.2,1,3.8
説明・学習経験別,特に説明をうけたり学習したりしたことはない,156,100,34,21.8,65,41.7,21,13.5,12,7.7,24,15.4
説明・学習経験別,その他,7,100,3,42.9,3,42.9,0,0,0,0,1,14.3
