区分１,区分２,度数計,割合計,ＬＩＮＥ_度数,ＬＩＮＥ_割合,Ｔｗｉｔｔｅｒ_度数,Ｔｗｉｔｔｅｒ_割合,Ｆａｃｅｂｏｏｋ_度数,Ｆａｃｅｂｏｏｋ_割合,Ｉｎｓｔａｇｒａｍ_度数,Ｉｎｓｔａｇｒａｍ_割合,その他（Ｇｏｏｇｌｅ＋　など）_度数,その他（Ｇｏｏｇｌｅ＋　など）_割合,わからない_度数,わからない_割合
全体,全体,886,100,863,97.4,304,34.3,130,14.7,192,21.7,38,4.3,4,0.5
児童・生徒別,小学生,136,100,131,96.3,19,14,16,11.8,19,14,6,4.4,0,0
児童・生徒別,中学生,359,100,349,97.2,80,22.3,39,10.9,57,15.9,17,4.7,1,0.3
児童・生徒別,高校生,391,100,383,98,205,52.4,75,19.2,116,29.7,15,3.8,3,0.8
子供の性別,男子,440,100,431,98,146,33.2,62,14.1,68,15.5,16,3.6,1,0.2
子供の性別,女子,446,100,432,96.9,158,35.4,68,15.2,124,27.8,22,4.9,3,0.7
児童・生徒×子供の性別,小学生男子,59,100,58,98.3,9,15.3,6,10.2,10,16.9,2,3.4,0,0
児童・生徒×子供の性別,小学生女子,77,100,73,94.8,10,13,10,13,9,11.7,4,5.2,0,0
児童・生徒×子供の性別,中学生男子,177,100,172,97.2,34,19.2,20,11.3,22,12.4,5,2.8,0,0
児童・生徒×子供の性別,中学生女子,182,100,177,97.3,46,25.3,19,10.4,35,19.2,12,6.6,1,0.5
児童・生徒×子供の性別,高校生男子,204,100,201,98.5,103,50.5,36,17.6,36,17.6,9,4.4,1,0.5
児童・生徒×子供の性別,高校生女子,187,100,182,97.3,102,54.5,39,20.9,80,42.8,6,3.2,2,1.1
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,536,100,522,97.4,197,36.8,89,16.6,122,22.8,24,4.5,3,0.6
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,54,100,52,96.3,20,37,8,14.8,13,24.1,1,1.9,0,0
携帯電話の購入所別,家電量販店,177,100,174,98.3,53,29.9,21,11.9,38,21.5,6,3.4,1,0.6
携帯電話の購入所別,インターネット販売,85,100,82,96.5,29,34.1,9,10.6,17,20,7,8.2,0,0
携帯電話の購入所別,その他,24,100,24,100,4,16.7,2,8.3,2,8.3,0,0,0,0
携帯電話の購入所別,わからない,10,100,9,90,1,10,1,10,0,0,0,0,0,0
フィルタリングサービスの加入状況別,加入している,383,100,372,97.1,101,26.4,50,13.1,66,17.2,18,4.7,2,0.5
フィルタリングサービスの加入状況別,加入している,370,100,358,96.8,154,41.6,56,15.1,89,24.1,12,3.2,2,0.5
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,11,100,11,100,4,36.4,4,36.4,3,27.3,1,9.1,0,0
フィルタリングサービスの加入状況別,わからない,122,100,122,100,45,36.9,20,16.4,34,27.9,7,5.7,0,0
利用制限サービスの加入状況別,加入している,331,100,321,97,79,23.9,43,13,55,16.6,16,4.8,1,0.3
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,149,100,142,95.3,51,34.2,22,14.8,34,22.8,10,6.7,0,0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,327,100,322,98.5,143,43.7,56,17.1,90,27.5,11,3.4,2,0.6
利用制限サービスの加入状況別,わからない,79,100,78,98.7,31,39.2,9,11.4,13,16.5,1,1.3,1,1.3
利用状況の管理状態別,利用状況の把握及び監督もできている,276,100,264,95.7,64,23.2,38,13.8,61,22.1,16,5.8,2,0.7
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,445,100,437,98.2,180,40.4,69,15.5,103,23.1,17,3.8,0,0
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,134,100,131,97.8,51,38.1,23,17.2,24,17.9,4,3,2,1.5
利用状況の管理状態別,子供の利用状況に関心がない,29,100,29,100,8,27.6,0,0,4,13.8,0,0,0,0
利用状況の管理状態別,その他,2,100,2,100,1,50,0,0,0,0,1,50,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,293,100,284,96.9,124,42.3,60,20.5,85,29,20,6.8,1,0.3
説明・学習経験別,インターネットで調べた,305,100,294,96.4,110,36.1,58,19,76,24.9,18,5.9,0,0
説明・学習経験別,学校から配布される資料等を読んだ,346,100,336,97.1,132,38.2,56,16.2,79,22.8,22,6.4,1,0.3
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,228,100,222,97.4,85,37.3,31,13.6,57,25,13,5.7,1,0.4
説明・学習経験別,知識のある知人から説明を受けた,47,100,46,97.9,25,53.2,15,31.9,18,38.3,6,12.8,0,0
説明・学習経験別,販売店等から詳しく説明をうけた,68,100,67,98.5,20,29.4,13,19.1,16,23.5,8,11.8,0,0
説明・学習経験別,公共施設などで開催された講座に参加した,22,100,21,95.5,12,54.5,8,36.4,13,59.1,5,22.7,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,184,100,181,98.4,51,27.7,24,13,33,17.9,4,2.2,1,0.5
説明・学習経験別,その他,3,100,2,66.7,0,0,0,0,0,0,0,0,1,33.3
