区分１,区分２,度数計,割合計,利用時間（夜10時まで等）を決めている_度数,利用時間（夜10時まで等）を決めている_割合,利用する際のマナー（誹謗中傷することは書かない等）_度数,利用する際のマナー（誹謗中傷することは書かない等）_割合,友達の画像をサイト等にアップする時は、本人の許可をもらう_度数,友達の画像をサイト等にアップする時は、本人の許可をもらう_割合,相手が誤解しそうな紛らわしい言葉は使わない_度数,相手が誤解しそうな紛らわしい言葉は使わない_割合,既読スルーされても気にしない（相手の都合を考える）_度数,既読スルーされても気にしない（相手の都合を考える）_割合,その他_度数,その他_割合
全体,全体,242,100,156,64.5,112,46.3,66,27.3,58,24,52,21.5,7,2.9
児童・生徒別,小学生,119,100,85,71.4,56,47.1,33,27.7,29,24.4,27,22.7,2,1.7
児童・生徒別,中学生,78,100,45,57.7,34,43.6,22,28.2,20,25.6,20,25.6,2,2.6
児童・生徒別,高校生,45,100,26,57.8,22,48.9,11,24.4,9,20,5,11.1,3,6.7
子供の性別,男子,120,100,72,60,48,40,33,27.5,20,16.7,24,20,4,3.3
子供の性別,女子,122,100,84,68.9,64,52.5,33,27,38,31.1,28,23,3,2.5
児童・生徒×子供の性別,小学生男子,55,100,35,63.6,22,40,18,32.7,10,18.2,13,23.6,1,1.8
児童・生徒×子供の性別,小学生女子,64,100,50,78.1,34,53.1,15,23.4,19,29.7,14,21.9,1,1.6
児童・生徒×子供の性別,中学生男子,46,100,27,58.7,17,37,12,26.1,9,19.6,9,19.6,2,4.3
児童・生徒×子供の性別,中学生女子,32,100,18,56.3,17,53.1,10,31.3,11,34.4,11,34.4,0,0
児童・生徒×子供の性別,高校生男子,19,100,10,52.6,9,47.4,3,15.8,1,5.3,2,10.5,1,5.3
児童・生徒×子供の性別,高校生女子,26,100,16,61.5,13,50,8,30.8,8,30.8,3,11.5,2,7.7
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,159,100,106,66.7,77,48.4,47,29.6,42,26.4,35,22,4,2.5
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,19,100,12,63.2,10,52.6,5,26.3,5,26.3,4,21.1,0,0
携帯電話の購入所別,家電量販店,43,100,27,62.8,15,34.9,10,23.3,8,18.6,10,23.3,1,2.3
携帯電話の購入所別,インターネット販売,11,100,7,63.6,5,45.5,4,36.4,2,18.2,3,27.3,1,9.1
携帯電話の購入所別,その他,5,100,1,20,2,40,0,0,1,20,0,0,1,20
携帯電話の購入所別,わからない,5,100,3,60,3,60,0,0,0,0,0,0,0,0
フィルタリングサービスの加入状況別,加入している,127,100,86,67.7,66,52,43,33.9,30,23.6,32,25.2,2,1.6
フィルタリングサービスの加入状況別,加入している,74,100,45,60.8,32,43.2,15,20.3,14,18.9,10,13.5,3,4.1
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,22,100,13,59.1,7,31.8,4,18.2,5,22.7,5,22.7,2,9.1
フィルタリングサービスの加入状況別,わからない,19,100,12,63.2,7,36.8,4,21.1,9,47.4,5,26.3,0,0
利用制限サービスの加入状況別,加入している,79,100,52,65.8,47,59.5,26,32.9,19,24.1,22,27.8,0,0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,40,100,26,65,20,50,16,40,16,40,11,27.5,1,2.5
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,39,100,24,61.5,10,25.6,7,17.9,8,20.5,4,10.3,2,5.1
利用制限サービスの加入状況別,わからない,7,100,4,57.1,3,42.9,0,0,0,0,1,14.3,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,141,100,108,76.6,65,46.1,40,28.4,39,27.7,32,22.7,4,2.8
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,81,100,41,50.6,45,55.6,23,28.4,14,17.3,16,19.8,2,2.5
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,12,100,5,41.7,1,8.3,2,16.7,2,16.7,1,8.3,1,8.3
利用状況の管理状態別,子供の利用状況に関心がない,8,100,2,25,1,12.5,1,12.5,3,37.5,3,37.5,0,0
利用状況の管理状態別,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,109,100,77,70.6,54,49.5,36,33,24,22,29,26.6,1,0.9
説明・学習経験別,インターネットで調べた,107,100,66,61.7,61,57,34,31.8,27,25.2,23,21.5,1,0.9
説明・学習経験別,学校から配布される資料等を読んだ,99,100,66,66.7,56,56.6,32,32.3,30,30.3,30,30.3,5,5.1
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,67,100,40,59.7,39,58.2,20,29.9,23,34.3,25,37.3,5,7.5
説明・学習経験別,知識のある知人から説明を受けた,30,100,24,80,19,63.3,13,43.3,14,46.7,13,43.3,0,0
説明・学習経験別,販売店等から詳しく説明をうけた,26,100,19,73.1,19,73.1,14,53.8,11,42.3,14,53.8,1,3.8
説明・学習経験別,公共施設などで開催された講座に参加した,13,100,8,61.5,9,69.2,8,61.5,8,61.5,7,53.8,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,23,100,18,78.3,12,52.2,5,21.7,4,17.4,5,21.7,0,0
説明・学習経験別,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0
