区分１,区分２,度数計,割合計,利用状況の把握及び監督もできている_度数,利用状況の把握及び監督もできている_割合,利用状況は把握しているが、監督まではできていない_度数,利用状況は把握しているが、監督まではできていない_割合,利用状況を把握しておらず、監督もできていない_度数,利用状況を把握しておらず、監督もできていない_割合,子供の利用状況に関心がない_度数,子供の利用状況に関心がない_割合,その他_度数,その他_割合
全体,全体,1500,100,550,36.7,639,42.6,208,13.9,98,6.5,5,0.3
児童・生徒別,小学生,500,100,291,58.2,151,30.2,30,6,27,5.4,1,0.2
児童・生徒別,中学生,500,100,158,31.6,243,48.6,76,15.2,21,4.2,2,0.4
児童・生徒別,高校生,500,100,101,20.2,245,49,102,20.4,50,10,2,0.4
子供の性別,男子,763,100,252,33,335,43.9,117,15.3,55,7.2,4,0.5
子供の性別,女子,737,100,298,40.4,304,41.2,91,12.3,43,5.8,1,0.1
児童・生徒×子供の性別,小学生男子,236,100,126,53.4,73,30.9,20,8.5,16,6.8,1,0.4
児童・生徒×子供の性別,小学生女子,264,100,165,62.5,78,29.5,10,3.8,11,4.2,0,0
児童・生徒×子供の性別,中学生男子,262,100,85,32.4,116,44.3,46,17.6,13,5,2,0.8
児童・生徒×子供の性別,中学生女子,238,100,73,30.7,127,53.4,30,12.6,8,3.4,0,0
児童・生徒×子供の性別,高校生男子,265,100,41,15.5,146,55.1,51,19.2,26,9.8,1,0.4
児童・生徒×子供の性別,高校生女子,235,100,60,25.5,99,42.1,51,21.7,24,10.2,1,0.4
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,355,37.3,399,41.9,128,13.4,68,7.1,3,0.3
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,35,41.7,37,44,10,11.9,2,2.4,0,0
携帯電話の購入所別,家電量販店,282,100,92,32.6,130,46.1,42,14.9,17,6,1,0.4
携帯電話の購入所別,インターネット販売,109,100,36,33,53,48.6,14,12.8,6,5.5,0,0
携帯電話の購入所別,その他,43,100,20,46.5,17,39.5,5,11.6,0,0,1,2.3
携帯電話の購入所別,わからない,29,100,12,41.4,3,10.3,9,31,5,17.2,0,0
フィルタリングサービスの加入状況別,加入している,539,100,216,40.1,262,48.6,46,8.5,12,2.2,3,0.6
フィルタリングサービスの加入状況別,加入している,523,100,172,32.9,241,46.1,80,15.3,29,5.5,1,0.2
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,107,57.8,48,25.9,19,10.3,10,5.4,1,0.5
フィルタリングサービスの加入状況別,わからない,253,100,55,21.7,88,34.8,63,24.9,47,18.6,0,0
利用制限サービスの加入状況別,加入している,366,100,141,38.5,187,51.1,29,7.9,7,1.9,2,0.5
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,57,34.1,89,53.3,16,9.6,5,3,0,0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,88,25.1,171,48.7,76,21.7,16,4.6,0,0
利用制限サービスの加入状況別,わからない,87,100,21,24.1,37,42.5,21,24.1,8,9.2,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,550,100,0,0,0,0,0,0,0,0
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,0,0,639,100,0,0,0,0,0,0
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,0,0,0,0,208,100,0,0,0,0
利用状況の管理状態別,子供の利用状況に関心がない,98,100,0,0,0,0,0,0,98,100,0,0
利用状況の管理状態別,その他,5,100,0,0,0,0,0,0,0,0,5,100
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,200,42.5,207,43.9,49,10.4,13,2.8,2,0.4
説明・学習経験別,インターネットで調べた,482,100,186,38.6,245,50.8,36,7.5,13,2.7,2,0.4
説明・学習経験別,学校から配布される資料等を読んだ,537,100,216,40.2,252,46.9,55,10.2,10,1.9,4,0.7
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,111,33.6,171,51.8,36,10.9,9,2.7,3,0.9
説明・学習経験別,知識のある知人から説明を受けた,74,100,25,33.8,35,47.3,10,13.5,4,5.4,0,0
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,44,38.9,52,46,11,9.7,6,5.3,0,0
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,14,37.8,10,27,7,18.9,6,16.2,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,100,29.4,114,33.5,78,22.9,48,14.1,0,0
説明・学習経験別,その他,9,100,5,55.6,2,22.2,1,11.1,1,11.1,0,0
