区分１,区分２,度数計,割合計,男子_度数,男子_割合,女子_度数,女子_割合
全体,全体,1500,100,763,50.9,737,49.1
児童・生徒別,小学生,500,100,236,47.2,264,52.8
児童・生徒別,中学生,500,100,262,52.4,238,47.6
児童・生徒別,高校生,500,100,265,53,235,47
子供の性別,男子,763,100,763,100,0,0
子供の性別,女子,737,100,0,0,737,100
児童・生徒×子供の性別,小学生男子,236,100,236,100,0,0
児童・生徒×子供の性別,小学生女子,264,100,0,0,264,100
児童・生徒×子供の性別,中学生男子,262,100,262,100,0,0
児童・生徒×子供の性別,中学生女子,238,100,0,0,238,100
児童・生徒×子供の性別,高校生男子,265,100,265,100,0,0
児童・生徒×子供の性別,高校生女子,235,100,0,0,235,100
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,487,51.1,466,48.9
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,52,61.9,32,38.1
携帯電話の購入所別,家電量販店,282,100,137,48.6,145,51.4
携帯電話の購入所別,インターネット販売,109,100,51,46.8,58,53.2
携帯電話の購入所別,その他,43,100,24,55.8,19,44.2
携帯電話の購入所別,わからない,29,100,12,41.4,17,58.6
フィルタリングサービスの加入状況別,加入している,539,100,286,53.1,253,46.9
フィルタリングサービスの加入状況別,加入している,523,100,265,50.7,258,49.3
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,89,48.1,96,51.9
フィルタリングサービスの加入状況別,わからない,253,100,123,48.6,130,51.4
利用制限サービスの加入状況別,加入している,366,100,198,54.1,168,45.9
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,82,49.1,85,50.9
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,175,49.9,176,50.1
利用制限サービスの加入状況別,わからない,87,100,41,47.1,46,52.9
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,252,45.8,298,54.2
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,335,52.4,304,47.6
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,117,56.3,91,43.8
利用状況の管理状態別,子供の利用状況に関心がない,98,100,55,56.1,43,43.9
利用状況の管理状態別,その他,5,100,4,80,1,20
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,234,49.7,237,50.3
説明・学習経験別,インターネットで調べた,482,100,254,52.7,228,47.3
説明・学習経験別,学校から配布される資料等を読んだ,537,100,253,47.1,284,52.9
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,162,49.1,168,50.9
説明・学習経験別,知識のある知人から説明を受けた,74,100,40,54.1,34,45.9
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,50,44.2,63,55.8
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,26,70.3,11,29.7
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,166,48.8,174,51.2
説明・学習経験別,その他,9,100,6,66.7,3,33.3
