区分１,区分２,度数計,割合計,各携帯電話会社の販売店（ドコモショップ等）_度数,各携帯電話会社の販売店（ドコモショップ等）_割合,全携帯電話等会社の機種を扱う販売代理店_度数,全携帯電話等会社の機種を扱う販売代理店_割合,家電量販店_度数,家電量販店_割合,インターネット販売_度数,インターネット販売_割合,その他_度数,その他_割合,わからない_度数,わからない_割合
全体,全体,1500,100,953,63.5,84,5.6,282,18.8,109,7.3,43,2.9,29,1.9
児童・生徒別,小学生,500,100,328,65.6,27,5.4,84,16.8,35,7,19,3.8,7,1.4
児童・生徒別,中学生,500,100,300,60,37,7.4,101,20.2,36,7.2,17,3.4,9,1.8
児童・生徒別,高校生,500,100,325,65,20,4,97,19.4,38,7.6,7,1.4,13,2.6
子供の性別,男子,763,100,487,63.8,52,6.8,137,18,51,6.7,24,3.1,12,1.6
子供の性別,女子,737,100,466,63.2,32,4.3,145,19.7,58,7.9,19,2.6,17,2.3
児童・生徒×子供の性別,小学生男子,236,100,157,66.5,16,6.8,36,15.3,15,6.4,11,4.7,1,0.4
児童・生徒×子供の性別,小学生女子,264,100,171,64.8,11,4.2,48,18.2,20,7.6,8,3,6,2.3
児童・生徒×子供の性別,中学生男子,262,100,152,58,24,9.2,52,19.8,20,7.6,10,3.8,4,1.5
児童・生徒×子供の性別,中学生女子,238,100,148,62.2,13,5.5,49,20.6,16,6.7,7,2.9,5,2.1
児童・生徒×子供の性別,高校生男子,265,100,178,67.2,12,4.5,49,18.5,16,6,3,1.1,7,2.6
児童・生徒×子供の性別,高校生女子,235,100,147,62.6,8,3.4,48,20.4,22,9.4,4,1.7,6,2.6
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,953,100,0,0,0,0,0,0,0,0,0,0
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,0,0,84,100,0,0,0,0,0,0,0,0
携帯電話の購入所別,家電量販店,282,100,0,0,0,0,282,100,0,0,0,0,0,0
携帯電話の購入所別,インターネット販売,109,100,0,0,0,0,0,0,109,100,0,0,0,0
携帯電話の購入所別,その他,43,100,0,0,0,0,0,0,0,0,43,100,0,0
携帯電話の購入所別,わからない,29,100,0,0,0,0,0,0,0,0,0,0,29,100
フィルタリングサービスの加入状況別,加入している,366,100,239,65.3,25,6.8,71,19.4,24,6.6,4,1.1,3,0.8
フィルタリングサービスの加入状況別,加入している,167,100,102,61.1,10,6,30,18,19,11.4,6,3.6,0,0
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,351,100,183,52.1,27,7.7,74,21.1,48,13.7,16,4.6,3,0.9
フィルタリングサービスの加入状況別,わからない,87,100,55,63.2,1,1.1,21,24.1,2,2.3,2,2.3,6,6.9
利用制限サービスの加入状況別,加入している,539,100,369,68.5,27,5,100,18.6,32,5.9,7,1.3,4,0.7
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,523,100,294,56.2,40,7.6,105,20.1,55,10.5,23,4.4,6,1.1
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,185,100,130,70.3,10,5.4,29,15.7,8,4.3,7,3.8,1,0.5
利用制限サービスの加入状況別,わからない,253,100,160,63.2,7,2.8,48,19,14,5.5,6,2.4,18,7.1
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,355,64.5,35,6.4,92,16.7,36,6.5,20,3.6,12,2.2
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,399,62.4,37,5.8,130,20.3,53,8.3,17,2.7,3,0.5
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,128,61.5,10,4.8,42,20.2,14,6.7,5,2.4,9,4.3
利用状況の管理状態別,子供の利用状況に関心がない,98,100,68,69.4,2,2,17,17.3,6,6.1,0,0,5,5.1
利用状況の管理状態別,その他,5,100,3,60,0,0,1,20,0,0,1,20,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,310,65.8,29,6.2,88,18.7,27,5.7,12,2.5,5,1.1
説明・学習経験別,インターネットで調べた,482,100,297,61.6,21,4.4,92,19.1,45,9.3,22,4.6,5,1
説明・学習経験別,学校から配布される資料等を読んだ,537,100,358,66.7,37,6.9,92,17.1,39,7.3,9,1.7,2,0.4
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,223,67.6,20,6.1,60,18.2,20,6.1,5,1.5,2,0.6
説明・学習経験別,知識のある知人から説明を受けた,74,100,47,63.5,9,12.2,12,16.2,4,5.4,1,1.4,1,1.4
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,73,64.6,3,2.7,34,30.1,2,1.8,0,0,1,0.9
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,26,70.3,3,8.1,6,16.2,1,2.7,0,0,1,2.7
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,200,58.8,14,4.1,68,20,26,7.6,14,4.1,18,5.3
説明・学習経験別,その他,9,100,4,44.4,2,22.2,1,11.1,1,11.1,0,0,1,11.1
