区分１,区分２,度数計,割合計,携帯電話（ガラホ、ＰＨＳも含む）_度数,携帯電話（ガラホ、ＰＨＳも含む）_割合,スマートフォン_度数,スマートフォン_割合,両方持っている_度数,両方持っている_割合,携帯電話・スマートフォンを持っていない_度数,携帯電話・スマートフォンを持っていない_割合
全体,全体,1500,100,167,11.1,1239,82.6,81,5.4,13,0.9
児童・生徒別,小学生,500,100,52,10.4,416,83.2,27,5.4,5,1
児童・生徒別,中学生,500,100,51,10.2,422,84.4,24,4.8,3,0.6
児童・生徒別,高校生,500,100,64,12.8,401,80.2,30,6,5,1
子供の性別,男子,763,100,83,10.9,628,82.3,45,5.9,7,0.9
子供の性別,女子,737,100,84,11.4,611,82.9,36,4.9,6,0.8
児童・生徒×子供の性別,小学生男子,236,100,25,10.6,194,82.2,13,5.5,4,1.7
児童・生徒×子供の性別,小学生女子,264,100,27,10.2,222,84.1,14,5.3,1,0.4
児童・生徒×子供の性別,中学生男子,262,100,29,11.1,216,82.4,15,5.7,2,0.8
児童・生徒×子供の性別,中学生女子,238,100,22,9.2,206,86.6,9,3.8,1,0.4
児童・生徒×子供の性別,高校生男子,265,100,29,10.9,218,82.3,17,6.4,1,0.4
児童・生徒×子供の性別,高校生女子,235,100,35,14.9,183,77.9,13,5.5,4,1.7
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,119,12.5,783,82.2,43,4.5,8,0.8
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,8,9.5,70,83.3,6,7.1,0,0
携帯電話の購入所別,家電量販店,282,100,23,8.2,244,86.5,13,4.6,2,0.7
携帯電話の購入所別,インターネット販売,109,100,6,5.5,89,81.7,12,11,2,1.8
携帯電話の購入所別,その他,43,100,6,14,32,74.4,5,11.6,0,0
携帯電話の購入所別,わからない,29,100,5,17.2,21,72.4,2,6.9,1,3.4
フィルタリングサービスの加入状況別,加入している,539,100,48,8.9,471,87.4,19,3.5,1,0.2
フィルタリングサービスの加入状況別,加入している,523,100,62,11.9,419,80.1,40,7.6,2,0.4
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,28,15.1,141,76.2,12,6.5,4,2.2
フィルタリングサービスの加入状況別,わからない,253,100,29,11.5,208,82.2,10,4,6,2.4
利用制限サービスの加入状況別,加入している,366,100,17,4.6,334,91.3,14,3.8,1,0.3
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,10,6,139,83.2,16,9.6,2,1.2
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,26,7.4,300,85.5,24,6.8,1,0.3
利用制限サービスの加入状況別,わからない,87,100,9,10.3,77,88.5,1,1.1,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,57,10.4,460,83.6,31,5.6,2,0.4
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,69,10.8,534,83.6,35,5.5,1,0.2
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,26,12.5,165,79.3,11,5.3,6,2.9
利用状況の管理状態別,子供の利用状況に関心がない,98,100,15,15.3,76,77.6,3,3.1,4,4.1
利用状況の管理状態別,その他,5,100,0,0,4,80,1,20,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,62,13.2,383,81.3,24,5.1,2,0.4
説明・学習経験別,インターネットで調べた,482,100,41,8.5,404,83.8,35,7.3,2,0.4
説明・学習経験別,学校から配布される資料等を読んだ,537,100,47,8.8,463,86.2,26,4.8,1,0.2
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,24,7.3,289,87.6,14,4.2,3,0.9
説明・学習経験別,知識のある知人から説明を受けた,74,100,8,10.8,57,77,7,9.5,2,2.7
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,13,11.5,89,78.8,11,9.7,0,0
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,5,13.5,28,75.7,4,10.8,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,44,12.9,270,79.4,22,6.5,4,1.2
説明・学習経験別,その他,9,100,1,11.1,6,66.7,2,22.2,0,0
