区分１,区分２,度数計,割合計,契約時から未加入_度数,契約時から未加入_割合,当初は加入していたが、解除した_度数,当初は加入していたが、解除した_割合,わからない_度数,わからない_割合
全体,全体,523,100,346,66.2,57,10.9,120,22.9
児童・生徒別,小学生,129,100,75,58.1,17,13.2,37,28.7
児童・生徒別,中学生,167,100,118,70.7,10,6,39,23.4
児童・生徒別,高校生,227,100,153,67.4,30,13.2,44,19.4
子供の性別,男子,265,100,176,66.4,35,13.2,54,20.4
子供の性別,女子,258,100,170,65.9,22,8.5,66,25.6
児童・生徒×子供の性別,小学生男子,57,100,30,52.6,12,21.1,15,26.3
児童・生徒×子供の性別,小学生女子,72,100,45,62.5,5,6.9,22,30.6
児童・生徒×子供の性別,中学生男子,80,100,58,72.5,7,8.8,15,18.8
児童・生徒×子供の性別,中学生女子,87,100,60,69,3,3.4,24,27.6
児童・生徒×子供の性別,高校生男子,128,100,88,68.8,16,12.5,24,18.8
児童・生徒×子供の性別,高校生女子,99,100,65,65.7,14,14.1,20,20.2
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,294,100,184,62.6,38,12.9,72,24.5
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,40,100,24,60,7,17.5,9,22.5
携帯電話の購入所別,家電量販店,105,100,80,76.2,9,8.6,16,15.2
携帯電話の購入所別,インターネット販売,55,100,41,74.5,3,5.5,11,20
携帯電話の購入所別,その他,23,100,15,65.2,0,0,8,34.8
携帯電話の購入所別,わからない,6,100,2,33.3,0,0,4,66.7
フィルタリングサービスの加入状況別,加入している,0,0,0,0,0,0,0,0
フィルタリングサービスの加入状況別,加入している,523,100,346,66.2,57,10.9,120,22.9
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,0,0,0,0,0,0,0,0
フィルタリングサービスの加入状況別,わからない,0,0,0,0,0,0,0,0
利用制限サービスの加入状況別,加入している,29,100,17,58.6,3,10.3,9,31
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,75,100,54,72,8,10.7,13,17.3
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,278,100,194,69.8,28,10.1,56,20.1
利用制限サービスの加入状況別,わからない,20,100,15,75,1,5,4,20
利用状況の管理状態別,利用状況の把握及び監督もできている,172,100,126,73.3,14,8.1,32,18.6
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,241,100,153,63.5,28,11.6,60,24.9
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,80,100,49,61.3,10,12.5,21,26.3
利用状況の管理状態別,子供の利用状況に関心がない,29,100,17,58.6,5,17.2,7,24.1
利用状況の管理状態別,その他,1,100,1,100,0,0,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,143,100,100,69.9,13,9.1,30,21
説明・学習経験別,インターネットで調べた,179,100,130,72.6,18,10.1,31,17.3
説明・学習経験別,学校から配布される資料等を読んだ,164,100,118,72,18,11,28,17.1
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,105,100,77,73.3,9,8.6,19,18.1
説明・学習経験別,知識のある知人から説明を受けた,27,100,18,66.7,3,11.1,6,22.2
説明・学習経験別,販売店等から詳しく説明をうけた,25,100,15,60,5,20,5,20
説明・学習経験別,公共施設などで開催された講座に参加した,9,100,7,77.8,2,22.2,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,145,100,94,64.8,9,6.2,42,29
説明・学習経験別,その他,2,100,0,0,1,50,1,50
