区分１,区分２,度数計,割合計,ＬＩＮＥ_度数,ＬＩＮＥ_割合,Ｔｗｉｔｔｅｒ_度数,Ｔｗｉｔｔｅｒ_割合,Ｆａｃｅｂｏｏｋ_度数,Ｆａｃｅｂｏｏｋ_割合,Ｉｎｓｔａｇｒａｍ_度数,Ｉｎｓｔａｇｒａｍ_割合,その他（Ｇｏｏｇｌｅ＋　など）_度数,その他（Ｇｏｏｇｌｅ＋　など）_割合
全体,全体,341,100,315,92.4,123,36.1,150,44,105,30.8,8,2.3
児童・生徒別,小学生,116,100,102,87.9,46,39.7,53,45.7,44,37.9,3,2.6
児童・生徒別,中学生,113,100,109,96.5,32,28.3,48,42.5,27,23.9,2,1.8
児童・生徒別,高校生,112,100,104,92.9,45,40.2,49,43.8,34,30.4,3,2.7
子供の性別,男子,169,100,155,91.7,70,41.4,77,45.6,44,26,5,3
子供の性別,女子,172,100,160,93,53,30.8,73,42.4,61,35.5,3,1.7
児童・生徒×子供の性別,小学生男子,58,100,49,84.5,24,41.4,23,39.7,18,31,2,3.4
児童・生徒×子供の性別,小学生女子,58,100,53,91.4,22,37.9,30,51.7,26,44.8,1,1.7
児童・生徒×子供の性別,中学生男子,56,100,55,98.2,20,35.7,29,51.8,13,23.2,1,1.8
児童・生徒×子供の性別,中学生女子,57,100,54,94.7,12,21.1,19,33.3,14,24.6,1,1.8
児童・生徒×子供の性別,高校生男子,55,100,51,92.7,26,47.3,25,45.5,13,23.6,2,3.6
児童・生徒×子供の性別,高校生女子,57,100,53,93,19,33.3,24,42.1,21,36.8,1,1.8
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,231,100,213,92.2,84,36.4,108,46.8,83,35.9,7,3
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,15,100,14,93.3,8,53.3,9,60,3,20,0,0
携帯電話の購入所別,家電量販店,56,100,53,94.6,15,26.8,21,37.5,11,19.6,0,0
携帯電話の購入所別,インターネット販売,28,100,24,85.7,14,50,9,32.1,6,21.4,1,3.6
携帯電話の購入所別,その他,8,100,8,100,2,25,2,25,2,25,0,0
携帯電話の購入所別,わからない,3,100,3,100,0,0,1,33.3,0,0,0,0
フィルタリングサービスの加入状況別,加入している,129,100,123,95.3,50,38.8,51,39.5,39,30.2,4,3.1
フィルタリングサービスの加入状況別,加入している,127,100,115,90.6,50,39.4,58,45.7,35,27.6,2,1.6
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,34,100,30,88.2,12,35.3,22,64.7,15,44.1,1,2.9
フィルタリングサービスの加入状況別,わからない,51,100,47,92.2,11,21.6,19,37.3,16,31.4,1,2
利用制限サービスの加入状況別,加入している,94,100,89,94.7,47,50,45,47.9,35,37.2,3,3.2
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,55,100,45,81.8,21,38.2,21,38.2,16,29.1,2,3.6
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,84,100,80,95.2,24,28.6,37,44,20,23.8,1,1.2
利用制限サービスの加入状況別,わからない,25,100,24,96,6,24,7,28,6,24,1,4
利用状況の管理状態別,利用状況の把握及び監督もできている,119,100,111,93.3,44,37,56,47.1,40,33.6,3,2.5
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,154,100,142,92.2,63,40.9,64,41.6,50,32.5,4,2.6
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,47,100,43,91.5,12,25.5,22,46.8,10,21.3,0,0
利用状況の管理状態別,子供の利用状況に関心がない,19,100,17,89.5,4,21.1,6,31.6,4,21.1,1,5.3
利用状況の管理状態別,その他,2,100,2,100,0,0,2,100,1,50,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,109,100,102,93.6,48,44,47,43.1,48,44,2,1.8
説明・学習経験別,インターネットで調べた,117,100,108,92.3,56,47.9,57,48.7,45,38.5,5,4.3
説明・学習経験別,学校から配布される資料等を読んだ,137,100,127,92.7,53,38.7,62,45.3,51,37.2,3,2.2
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,85,100,80,94.1,27,31.8,40,47.1,33,38.8,2,2.4
説明・学習経験別,知識のある知人から説明を受けた,20,100,20,100,11,55,12,60,12,60,0,0
説明・学習経験別,販売店等から詳しく説明をうけた,34,100,34,100,15,44.1,16,47.1,11,32.4,1,2.9
説明・学習経験別,公共施設などで開催された講座に参加した,6,100,6,100,4,66.7,3,50,2,33.3,1,16.7
説明・学習経験別,特に説明をうけたり学習したりしたことはない,69,100,66,95.7,15,21.7,30,43.5,17,24.6,1,1.4
説明・学習経験別,その他,1,100,0,0,1,100,0,0,0,0,0,0
