区分１,区分２,度数計,割合計,ある_度数,ある_割合,ない_度数,ない_割合,わからない_度数,わからない_割合
全体,全体,1500,100,237,15.8,880,58.7,383,25.5
児童・生徒別,小学生,500,100,69,13.8,387,77.4,44,8.8
児童・生徒別,中学生,500,100,85,17,295,59,120,24
児童・生徒別,高校生,500,100,83,16.6,198,39.6,219,43.8
子供の性別,男子,763,100,134,17.6,412,54,217,28.4
子供の性別,女子,737,100,103,14,468,63.5,166,22.5
児童・生徒×子供の性別,小学生男子,236,100,46,19.5,168,71.2,22,9.3
児童・生徒×子供の性別,小学生女子,264,100,23,8.7,219,83,22,8.3
児童・生徒×子供の性別,中学生男子,262,100,47,17.9,144,55,71,27.1
児童・生徒×子供の性別,中学生女子,238,100,38,16,151,63.4,49,20.6
児童・生徒×子供の性別,高校生男子,265,100,41,15.5,100,37.7,124,46.8
児童・生徒×子供の性別,高校生女子,235,100,42,17.9,98,41.7,95,40.4
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,147,15.4,563,59.1,243,25.5
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,19,22.6,51,60.7,14,16.7
携帯電話の購入所別,家電量販店,282,100,44,15.6,161,57.1,77,27.3
携帯電話の購入所別,インターネット販売,109,100,20,18.3,61,56,28,25.7
携帯電話の購入所別,その他,43,100,5,11.6,30,69.8,8,18.6
携帯電話の購入所別,わからない,29,100,2,6.9,14,48.3,13,44.8
フィルタリングサービスの加入状況別,加入している,539,100,97,18,327,60.7,115,21.3
フィルタリングサービスの加入状況別,加入している,523,100,95,18.2,286,54.7,142,27.2
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,21,11.4,151,81.6,13,7
フィルタリングサービスの加入状況別,わからない,253,100,24,9.5,116,45.8,113,44.7
利用制限サービスの加入状況別,加入している,366,100,68,18.6,222,60.7,76,20.8
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,39,23.4,95,56.9,33,19.8
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,77,21.9,154,43.9,120,34.2
利用制限サービスの加入状況別,わからない,87,100,6,6.9,30,34.5,51,58.6
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,76,13.8,413,75.1,61,11.1
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,116,18.2,337,52.7,186,29.1
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,35,16.8,79,38,94,45.2
利用状況の管理状態別,子供の利用状況に関心がない,98,100,10,10.2,47,48,41,41.8
利用状況の管理状態別,その他,5,100,0,0,4,80,1,20
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,78,16.6,280,59.4,113,24
説明・学習経験別,インターネットで調べた,482,100,97,20.1,272,56.4,113,23.4
説明・学習経験別,学校から配布される資料等を読んだ,537,100,95,17.7,343,63.9,99,18.4
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,57,17.3,194,58.8,79,23.9
説明・学習経験別,知識のある知人から説明を受けた,74,100,14,18.9,42,56.8,18,24.3
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,28,24.8,67,59.3,18,15.9
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,12,32.4,21,56.8,4,10.8
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,34,10,180,52.9,126,37.1
説明・学習経験別,その他,9,100,0,0,6,66.7,3,33.3
