区分１,区分２,度数計,割合計,高額のゲーム代（アイテム購入代など）の請求が届いた_度数,高額のゲーム代（アイテム購入代など）の請求が届いた_割合,アイテム交換等をすると言ってだまされた_度数,アイテム交換等をすると言ってだまされた_割合,個人情報を知られた（盗まれた）_度数,個人情報を知られた（盗まれた）_割合,掲示板等に個人の誹謗中傷などの書き込みをされた_度数,掲示板等に個人の誹謗中傷などの書き込みをされた_割合,使い過ぎによる体調不良や成績の落ち込み_度数,使い過ぎによる体調不良や成績の落ち込み_割合,その他_度数,その他_割合,トラブルにあったことはない_度数,トラブルにあったことはない_割合,わからない_度数,わからない_割合
全体,全体,1500,100,43,2.9,38,2.5,30,2,17,1.1,67,4.5,4,0.3,1198,79.9,143,9.5
児童・生徒別,小学生,500,100,15,3,22,4.4,11,2.2,7,1.4,22,4.4,1,0.2,409,81.8,31,6.2
児童・生徒別,中学生,500,100,20,4,9,1.8,10,2,7,1.4,27,5.4,1,0.2,403,80.6,41,8.2
児童・生徒別,高校生,500,100,8,1.6,7,1.4,9,1.8,3,0.6,18,3.6,2,0.4,386,77.2,71,14.2
子供の性別,男子,763,100,30,3.9,26,3.4,20,2.6,13,1.7,43,5.6,2,0.3,590,77.3,68,8.9
子供の性別,女子,737,100,13,1.8,12,1.6,10,1.4,4,0.5,24,3.3,2,0.3,608,82.5,75,10.2
児童・生徒×子供の性別,小学生男子,236,100,10,4.2,13,5.5,8,3.4,4,1.7,14,5.9,0,0,182,77.1,14,5.9
児童・生徒×子供の性別,小学生女子,264,100,5,1.9,9,3.4,3,1.1,3,1.1,8,3,1,0.4,227,86,17,6.4
児童・生徒×子供の性別,中学生男子,262,100,15,5.7,9,3.4,8,3.1,7,2.7,22,8.4,1,0.4,193,73.7,24,9.2
児童・生徒×子供の性別,中学生女子,238,100,5,2.1,0,0,2,0.8,0,0,5,2.1,0,0,210,88.2,17,7.1
児童・生徒×子供の性別,高校生男子,265,100,5,1.9,4,1.5,4,1.5,2,0.8,7,2.6,1,0.4,215,81.1,30,11.3
児童・生徒×子供の性別,高校生女子,235,100,3,1.3,3,1.3,5,2.1,1,0.4,11,4.7,1,0.4,171,72.8,41,17.4
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,28,2.9,23,2.4,19,2,10,1,44,4.6,4,0.4,762,80,90,9.4
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,5,6,5,6,4,4.8,3,3.6,4,4.8,0,0,65,77.4,5,6
携帯電話の購入所別,家電量販店,282,100,8,2.8,5,1.8,7,2.5,4,1.4,12,4.3,0,0,226,80.1,25,8.9
携帯電話の購入所別,インターネット販売,109,100,2,1.8,3,2.8,0,0,0,0,6,5.5,0,0,92,84.4,7,6.4
携帯電話の購入所別,その他,43,100,0,0,1,2.3,0,0,0,0,1,2.3,0,0,38,88.4,3,7
携帯電話の購入所別,わからない,29,100,0,0,1,3.4,0,0,0,0,0,0,0,0,15,51.7,13,44.8
フィルタリングサービスの加入状況別,加入している,539,100,30,5.6,22,4.1,12,2.2,7,1.3,30,5.6,3,0.6,434,80.5,27,5
フィルタリングサービスの加入状況別,加入している,523,100,11,2.1,10,1.9,11,2.1,8,1.5,18,3.4,1,0.2,440,84.1,36,6.9
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,1,0.5,4,2.2,5,2.7,2,1.1,10,5.4,0,0,154,83.2,11,5.9
フィルタリングサービスの加入状況別,わからない,253,100,1,0.4,2,0.8,2,0.8,0,0,9,3.6,0,0,170,67.2,69,27.3
利用制限サービスの加入状況別,加入している,366,100,21,5.7,15,4.1,9,2.5,4,1.1,23,6.3,3,0.8,295,80.6,15,4.1
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,4,2.4,14,8.4,10,6,7,4.2,6,3.6,0,0,131,78.4,5,3
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,5,1.4,2,0.6,5,1.4,3,0.9,15,4.3,1,0.3,300,85.5,25,7.1
利用制限サービスの加入状況別,わからない,87,100,1,1.1,0,0,0,0,0,0,5,5.7,0,0,60,69,22,25.3
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,24,4.4,14,2.5,4,0.7,6,1.1,22,4,0,0,484,88,15,2.7
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,13,2,18,2.8,19,3,7,1.1,33,5.2,4,0.6,509,79.7,50,7.8
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,6,2.9,6,2.9,4,1.9,4,1.9,12,5.8,0,0,141,67.8,42,20.2
利用状況の管理状態別,子供の利用状況に関心がない,98,100,0,0,0,0,3,3.1,0,0,0,0,0,0,59,60.2,36,36.7
利用状況の管理状態別,その他,5,100,0,0,0,0,0,0,0,0,0,0,0,0,5,100,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,30,6.4,21,4.5,11,2.3,10,2.1,32,6.8,1,0.2,375,79.6,24,5.1
説明・学習経験別,インターネットで調べた,482,100,22,4.6,24,5,21,4.4,10,2.1,32,6.6,2,0.4,371,77,27,5.6
説明・学習経験別,学校から配布される資料等を読んだ,537,100,23,4.3,18,3.4,14,2.6,11,2,35,6.5,2,0.4,447,83.2,18,3.4
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,10,3,13,3.9,7,2.1,8,2.4,27,8.2,2,0.6,274,83,12,3.6
説明・学習経験別,知識のある知人から説明を受けた,74,100,7,9.5,6,8.1,5,6.8,5,6.8,7,9.5,1,1.4,50,67.6,9,12.2
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,7,6.2,6,5.3,4,3.5,2,1.8,8,7.1,1,0.9,87,77,7,6.2
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,6,16.2,9,24.3,3,8.1,5,13.5,7,18.9,1,2.7,19,51.4,5,13.5
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,1,0.3,0,0,0,0,0,0,7,2.1,2,0.6,267,78.5,64,18.8
説明・学習経験別,その他,9,100,0,0,0,0,0,0,0,0,0,0,0,0,7,77.8,2,22.2
