区分１,区分２,度数計,割合計,子供といつでも連絡が取れるようにするため_度数,子供といつでも連絡が取れるようにするため_割合,子供の所在地がわかるようにするため_度数,子供の所在地がわかるようにするため_割合,子供にせがまれたため仕方なく持たせた_度数,子供にせがまれたため仕方なく持たせた_割合,持たせた方が、メディアリテラシーや情報処理能力がつくと思ったため_度数,持たせた方が、メディアリテラシーや情報処理能力がつくと思ったため_割合,子供の要望ではないが友達が持っており、仲間はずれにされないか心配なため_度数,子供の要望ではないが友達が持っており、仲間はずれにされないか心配なため_割合,お祝い等で、親戚等からもらったため_度数,お祝い等で、親戚等からもらったため_割合,子供の疾病等があり、大切なコミュニケーション手段として活用するため_度数,子供の疾病等があり、大切なコミュニケーション手段として活用するため_割合,その他_度数,その他_割合
全体,全体,412,100,353,85.7,212,51.5,10,2.4,12,2.9,6,1.5,7,1.7,8,1.9,10,2.4
児童・生徒別,小学生,298,100,260,87.2,177,59.4,6,2,6,2,3,1,4,1.3,4,1.3,6,2
児童・生徒別,中学生,82,100,67,81.7,27,32.9,3,3.7,4,4.9,1,1.2,1,1.2,2,2.4,2,2.4
児童・生徒別,高校生,32,100,26,81.3,8,25,1,3.1,2,6.3,2,6.3,2,6.3,2,6.3,2,6.3
子供の性別,男子,198,100,164,82.8,101,51,3,1.5,8,4,2,1,4,2,6,3,4,2
子供の性別,女子,214,100,189,88.3,111,51.9,7,3.3,4,1.9,4,1.9,3,1.4,2,0.9,6,2.8
児童・生徒×子供の性別,小学生男子,133,100,114,85.7,78,58.6,1,0.8,3,2.3,1,0.8,2,1.5,2,1.5,2,1.5
児童・生徒×子供の性別,小学生女子,165,100,146,88.5,99,60,5,3,3,1.8,2,1.2,2,1.2,2,1.2,4,2.4
児童・生徒×子供の性別,中学生男子,48,100,36,75,18,37.5,2,4.2,4,8.3,0,0,1,2.1,2,4.2,2,4.2
児童・生徒×子供の性別,中学生女子,34,100,31,91.2,9,26.5,1,2.9,0,0,1,2.9,0,0,0,0,0,0
児童・生徒×子供の性別,高校生男子,17,100,14,82.4,5,29.4,0,0,1,5.9,1,5.9,1,5.9,2,11.8,0,0
児童・生徒×子供の性別,高校生女子,15,100,12,80,3,20,1,6.7,1,6.7,1,6.7,1,6.7,0,0,2,13.3
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,309,100,270,87.4,170,55,6,1.9,7,2.3,4,1.3,6,1.9,4,1.3,6,1.9
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,16,100,14,87.5,10,62.5,1,6.3,1,6.3,0,0,0,0,1,6.3,0,0
携帯電話の購入所別,家電量販店,62,100,50,80.6,28,45.2,3,4.8,2,3.2,2,3.2,1,1.6,1,1.6,1,1.6
携帯電話の購入所別,インターネット販売,9,100,8,88.9,3,33.3,0,0,1,11.1,0,0,0,0,0,0,0,0
携帯電話の購入所別,その他,10,100,7,70,1,10,0,0,0,0,0,0,0,0,1,10,3,30
携帯電話の購入所別,わからない,6,100,4,66.7,0,0,0,0,1,16.7,0,0,0,0,1,16.7,0,0
フィルタリングサービスの加入状況別,加入している,90,100,75,83.3,47,52.2,3,3.3,5,5.6,2,2.2,2,2.2,2,2.2,0,0
フィルタリングサービスの加入状況別,加入している,101,100,86,85.1,41,40.6,2,2,5,5,4,4,3,3,3,3,3,3
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,161,100,141,87.6,104,64.6,4,2.5,1,0.6,0,0,0,0,1,0.6,5,3.1
フィルタリングサービスの加入状況別,わからない,60,100,51,85,20,33.3,1,1.7,1,1.7,0,0,2,3.3,2,3.3,2,3.3
利用制限サービスの加入状況別,加入している,6,100,6,100,3,50,0,0,1,16.7,0,0,0,0,1,16.7,0,0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,4,100,4,100,4,100,1,25,1,25,1,25,1,25,1,25,0,0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,4,100,3,75,1,25,0,0,1,25,0,0,0,0,0,0,0,0
利用制限サービスの加入状況別,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,222,100,199,89.6,131,59,2,0.9,5,2.3,1,0.5,0,0,3,1.4,6,2.7
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,127,100,108,85,63,49.6,4,3.1,5,3.9,4,3.1,4,3.1,3,2.4,2,1.6
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,33,100,27,81.8,8,24.2,3,9.1,1,3,0,0,2,6.1,1,3,0,0
利用状況の管理状態別,子供の利用状況に関心がない,28,100,18,64.3,9,32.1,1,3.6,1,3.6,1,3.6,1,3.6,1,3.6,1,3.6
利用状況の管理状態別,その他,2,100,1,50,1,50,0,0,0,0,0,0,0,0,0,0,1,50
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,150,100,123,82,89,59.3,4,2.7,7,4.7,1,0.7,3,2,5,3.3,5,3.3
説明・学習経験別,インターネットで調べた,127,100,108,85,76,59.8,5,3.9,7,5.5,3,2.4,4,3.1,2,1.6,2,1.6
