区分１,区分２,度数計,割合計,使い方は個人の問題だから_度数,使い方は個人の問題だから_割合,家庭のルールがあれば十分だ_度数,家庭のルールがあれば十分だ_割合,子供同士でルールを決めても守らないと思う_度数,子供同士でルールを決めても守らないと思う_割合,友達同士でコミュニケーションをとっていれば、ルールなんて不要だと思う_度数,友達同士でコミュニケーションをとっていれば、ルールなんて不要だと思う_割合,ルールで子供をしばりたくない_度数,ルールで子供をしばりたくない_割合,子供同士も失敗の中で経験を積むべきだ_度数,子供同士も失敗の中で経験を積むべきだ_割合,その他_度数,その他_割合
全体,全体,344,100,171,49.7,119,34.6,59,17.2,40,11.6,30,8.7,65,18.9,7,2
児童・生徒別,小学生,84,100,37,44,33,39.3,14,16.7,7,8.3,8,9.5,23,27.4,2,2.4
児童・生徒別,中学生,96,100,47,49,44,45.8,22,22.9,12,12.5,10,10.4,12,12.5,1,1
児童・生徒別,高校生,164,100,87,53,42,25.6,23,14,21,12.8,12,7.3,30,18.3,4,2.4
子供の性別,男子,185,100,91,49.2,56,30.3,25,13.5,20,10.8,15,8.1,39,21.1,5,2.7
子供の性別,女子,159,100,80,50.3,63,39.6,34,21.4,20,12.6,15,9.4,26,16.4,2,1.3
児童・生徒×子供の性別,小学生男子,47,100,19,40.4,13,27.7,7,14.9,4,8.5,4,8.5,17,36.2,2,4.3
児童・生徒×子供の性別,小学生女子,37,100,18,48.6,20,54.1,7,18.9,3,8.1,4,10.8,6,16.2,0,0
児童・生徒×子供の性別,中学生男子,44,100,19,43.2,17,38.6,10,22.7,4,9.1,3,6.8,6,13.6,1,2.3
児童・生徒×子供の性別,中学生女子,52,100,28,53.8,27,51.9,12,23.1,8,15.4,7,13.5,6,11.5,0,0
児童・生徒×子供の性別,高校生男子,94,100,53,56.4,26,27.7,8,8.5,12,12.8,8,8.5,16,17,2,2.1
児童・生徒×子供の性別,高校生女子,70,100,34,48.6,16,22.9,15,21.4,9,12.9,4,5.7,14,20,2,2.9
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,209,100,103,49.3,77,36.8,39,18.7,24,11.5,15,7.2,39,18.7,5,2.4
