区分１,区分２,度数計,割合計,ほとんど把握している_度数,ほとんど把握している_割合,ある程度把握している_度数,ある程度把握している_割合,ほとんど把握していない_度数,ほとんど把握していない_割合,全く把握していない_度数,全く把握していない_割合
全体,全体,1500,100,385,25.7,553,36.9,324,21.6,238,15.9
児童・生徒別,小学生,500,100,267,53.4,151,30.2,33,6.6,49,9.8
児童・生徒別,中学生,500,100,85,17,228,45.6,124,24.8,63,12.6
児童・生徒別,高校生,500,100,33,6.6,174,34.8,167,33.4,126,25.2
子供の性別,男子,763,100,172,22.5,272,35.6,191,25,128,16.8
子供の性別,女子,737,100,213,28.9,281,38.1,133,18,110,14.9
児童・生徒×子供の性別,小学生男子,236,100,121,51.3,70,29.7,18,7.6,27,11.4
児童・生徒×子供の性別,小学生女子,264,100,146,55.3,81,30.7,15,5.7,22,8.3
児童・生徒×子供の性別,中学生男子,262,100,44,16.8,111,42.4,72,27.5,35,13.4
児童・生徒×子供の性別,中学生女子,238,100,41,17.2,117,49.2,52,21.8,28,11.8
児童・生徒×子供の性別,高校生男子,265,100,7,2.6,91,34.3,101,38.1,66,24.9
児童・生徒×子供の性別,高校生女子,235,100,26,11.1,83,35.3,66,28.1,60,25.5
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,270,28.3,337,35.4,191,20,155,16.3
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,16,19,37,44,21,25,10,11.9
携帯電話の購入所別,家電量販店,282,100,61,21.6,107,37.9,74,26.2,40,14.2
携帯電話の購入所別,インターネット販売,109,100,22,20.2,48,44,26,23.9,13,11.9
携帯電話の購入所別,その他,43,100,12,27.9,19,44.2,6,14,6,14
携帯電話の購入所別,わからない,29,100,4,13.8,5,17.2,6,20.7,14,48.3
フィルタリングサービスの加入状況別,加入している,539,100,150,27.8,236,43.8,104,19.3,49,9.1
フィルタリングサービスの加入状況別,加入している,523,100,92,17.6,211,40.3,141,27,79,15.1
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,109,58.9,41,22.2,14,7.6,21,11.4
フィルタリングサービスの加入状況別,わからない,253,100,34,13.4,65,25.7,65,25.7,89,35.2
利用制限サービスの加入状況別,加入している,366,100,90,24.6,164,44.8,84,23,28,7.7
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,30,18,96,57.5,29,17.4,12,7.2
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,30,8.5,144,41,114,32.5,63,17.9
利用制限サービスの加入状況別,わからない,87,100,5,5.7,25,28.7,25,28.7,32,36.8
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,271,49.3,191,34.7,36,6.5,52,9.5
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,90,14.1,311,48.7,174,27.2,64,10
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,6,2.9,35,16.8,92,44.2,75,36.1
利用状況の管理状態別,子供の利用状況に関心がない,98,100,16,16.3,15,15.3,21,21.4,46,46.9
利用状況の管理状態別,その他,5,100,2,40,1,20,1,20,1,20
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,146,31,176,37.4,96,20.4,53,11.3
説明・学習経験別,インターネットで調べた,482,100,133,27.6,203,42.1,102,21.2,44,9.1
説明・学習経験別,学校から配布される資料等を読んだ,537,100,158,29.4,220,41,110,20.5,49,9.1
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,96,29.1,134,40.6,68,20.6,32,9.7
説明・学習経験別,知識のある知人から説明を受けた,74,100,16,21.6,34,45.9,17,23,7,9.5
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,31,27.4,49,43.4,21,18.6,12,10.6
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,11,29.7,13,35.1,10,27,3,8.1
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,56,16.5,94,27.6,85,25,105,30.9
説明・学習経験別,その他,9,100,4,44.4,3,33.3,1,11.1,1,11.1
