区分１,区分２,度数計,割合計,加入している_度数,加入している_割合,加入していない_度数,加入していない_割合,インターネットが使えない機種・設定になっている_度数,インターネットが使えない機種・設定になっている_割合,わからない_度数,わからない_割合
全体,全体,1500,100,539,35.9,523,34.9,185,12.3,253,16.9
児童・生徒別,小学生,500,100,158,31.6,129,25.8,148,29.6,65,13
児童・生徒別,中学生,500,100,228,45.6,167,33.4,26,5.2,79,15.8
児童・生徒別,高校生,500,100,153,30.6,227,45.4,11,2.2,109,21.8
子供の性別,男子,763,100,286,37.5,265,34.7,89,11.7,123,16.1
子供の性別,女子,737,100,253,34.3,258,35,96,13,130,17.6
児童・生徒×子供の性別,小学生男子,236,100,82,34.7,57,24.2,67,28.4,30,12.7
児童・生徒×子供の性別,小学生女子,264,100,76,28.8,72,27.3,81,30.7,35,13.3
児童・生徒×子供の性別,中学生男子,262,100,125,47.7,80,30.5,18,6.9,39,14.9
児童・生徒×子供の性別,中学生女子,238,100,103,43.3,87,36.6,8,3.4,40,16.8
児童・生徒×子供の性別,高校生男子,265,100,79,29.8,128,48.3,4,1.5,54,20.4
児童・生徒×子供の性別,高校生女子,235,100,74,31.5,99,42.1,7,3,55,23.4
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,369,38.7,294,30.8,130,13.6,160,16.8
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,27,32.1,40,47.6,10,11.9,7,8.3
携帯電話の購入所別,家電量販店,282,100,100,35.5,105,37.2,29,10.3,48,17
携帯電話の購入所別,インターネット販売,109,100,32,29.4,55,50.5,8,7.3,14,12.8
携帯電話の購入所別,その他,43,100,7,16.3,23,53.5,7,16.3,6,14
携帯電話の購入所別,わからない,29,100,4,13.8,6,20.7,1,3.4,18,62.1
フィルタリングサービスの加入状況別,加入している,539,100,539,100,0,0,0,0,0,0
フィルタリングサービスの加入状況別,加入している,523,100,0,0,523,100,0,0,0,0
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,0,0,0,0,185,100,0,0
フィルタリングサービスの加入状況別,わからない,253,100,0,0,0,0,0,0,253,100
利用制限サービスの加入状況別,加入している,366,100,317,86.6,29,7.9,3,0.8,17,4.6
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,62,37.1,75,44.9,7,4.2,23,13.8
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,25,7.1,278,79.2,7,2,41,11.7
利用制限サービスの加入状況別,わからない,87,100,12,13.8,20,23,2,2.3,53,60.9
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,216,39.3,172,31.3,107,19.5,55,10
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,262,41,241,37.7,48,7.5,88,13.8
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,46,22.1,80,38.5,19,9.1,63,30.3
利用状況の管理状態別,子供の利用状況に関心がない,98,100,12,12.2,29,29.6,10,10.2,47,48
利用状況の管理状態別,その他,5,100,3,60,1,20,1,20,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,209,44.4,143,30.4,62,13.2,57,12.1
説明・学習経験別,インターネットで調べた,482,100,210,43.6,179,37.1,53,11,40,8.3
説明・学習経験別,学校から配布される資料等を読んだ,537,100,237,44.1,164,30.5,76,14.2,60,11.2
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,147,44.5,105,31.8,42,12.7,36,10.9
説明・学習経験別,知識のある知人から説明を受けた,74,100,30,40.5,27,36.5,7,9.5,10,13.5
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,71,62.8,25,22.1,4,3.5,13,11.5
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,14,37.8,9,24.3,5,13.5,9,24.3
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,65,19.1,145,42.6,30,8.8,100,29.4
説明・学習経験別,その他,9,100,1,11.1,2,22.2,4,44.4,2,22.2
