区分１,区分２,度数計,割合計,相談機関（公的・民間含む）に相談した_度数,相談機関（公的・民間含む）に相談した_割合,インターネットで解決方法を検索した（質問サイトに相談した）_度数,インターネットで解決方法を検索した（質問サイトに相談した）_割合,知り合いに相談した_度数,知り合いに相談した_割合,保護者・子どものみで解決した_度数,保護者・子どものみで解決した_割合,何もしていない_度数,何もしていない_割合
全体,全体,242,100,45,18.6,62,25.6,37,15.3,126,52.1,22,9.1
児童・生徒別,小学生,68,100,20,29.4,26,38.2,16,23.5,23,33.8,4,5.9
児童・生徒別,中学生,92,100,15,16.3,22,23.9,12,13,55,59.8,7,7.6
児童・生徒別,高校生,82,100,10,12.2,14,17.1,9,11,48,58.5,11,13.4
子供の性別,男子,132,100,32,24.2,41,31.1,21,15.9,56,42.4,13,9.8
子供の性別,女子,110,100,13,11.8,21,19.1,16,14.5,70,63.6,9,8.2
児童・生徒×子供の性別,小学生男子,39,100,15,38.5,15,38.5,9,23.1,10,25.6,2,5.1
児童・生徒×子供の性別,小学生女子,29,100,5,17.2,11,37.9,7,24.1,13,44.8,2,6.9
児童・生徒×子供の性別,中学生男子,55,100,10,18.2,16,29.1,9,16.4,29,52.7,4,7.3
児童・生徒×子供の性別,中学生女子,37,100,5,13.5,6,16.2,3,8.1,26,70.3,3,8.1
児童・生徒×子供の性別,高校生男子,38,100,7,18.4,10,26.3,3,7.9,17,44.7,7,18.4
児童・生徒×子供の性別,高校生女子,44,100,3,6.8,4,9.1,6,13.6,31,70.5,4,9.1
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,149,100,31,20.8,40,26.8,27,18.1,77,51.7,9,6
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,20,100,4,20,9,45,3,15,8,40,3,15
携帯電話の購入所別,家電量販店,49,100,5,10.2,11,22.4,6,12.2,26,53.1,7,14.3
携帯電話の購入所別,インターネット販売,19,100,5,26.3,1,5.3,1,5.3,11,57.9,3,15.8
携帯電話の購入所別,その他,5,100,0,0,1,20,0,0,4,80,0,0
携帯電話の購入所別,わからない,0,0,0,0,0,0,0,0,0,0,0,0
フィルタリングサービスの加入状況別,加入している,108,100,26,24.1,36,33.3,22,20.4,55,50.9,4,3.7
フィルタリングサービスの加入状況別,加入している,95,100,14,14.7,18,18.9,10,10.5,50,52.6,14,14.7
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,21,100,5,23.8,5,23.8,3,14.3,9,42.9,2,9.5
フィルタリングサービスの加入状況別,わからない,18,100,0,0,3,16.7,2,11.1,12,66.7,2,11.1
利用制限サービスの加入状況別,加入している,76,100,15,19.7,26,34.2,14,18.4,42,55.3,2,2.6
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,53,100,8,15.1,17,32.1,12,22.6,25,47.2,4,7.5
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,59,100,9,15.3,6,10.2,3,5.1,34,57.6,11,18.6
利用制限サービスの加入状況別,わからない,7,100,0,0,0,0,0,0,6,85.7,1,14.3
利用状況の管理状態別,利用状況の把握及び監督もできている,66,100,19,28.8,24,36.4,13,19.7,32,48.5,3,4.5
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,132,100,22,16.7,29,22,17,12.9,74,56.1,11,8.3
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,36,100,4,11.1,7,19.4,5,13.9,17,47.2,7,19.4
利用状況の管理状態別,子供の利用状況に関心がない,8,100,0,0,2,25,2,25,3,37.5,1,12.5
利用状況の管理状態別,その他,0,0,0,0,0,0,0,0,0,0,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,92,100,26,28.3,27,29.3,17,18.5,49,53.3,6,6.5
説明・学習経験別,インターネットで調べた,122,100,25,20.5,42,34.4,20,16.4,63,51.6,6,4.9
説明・学習経験別,学校から配布される資料等を読んだ,103,100,25,24.3,26,25.2,22,21.4,61,59.2,6,5.8
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,57,100,20,35.1,18,31.6,16,28.1,29,50.9,4,7
説明・学習経験別,知識のある知人から説明を受けた,18,100,9,50,8,44.4,12,66.7,10,55.6,0,0
説明・学習経験別,販売店等から詳しく説明をうけた,28,100,9,32.1,10,35.7,8,28.6,17,60.7,0,0
説明・学習経験別,公共施設などで開催された講座に参加した,11,100,9,81.8,9,81.8,10,90.9,2,18.2,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,18,100,0,0,1,5.6,1,5.6,10,55.6,6,33.3
説明・学習経験別,その他,1,100,0,0,0,0,0,0,1,100,0,0
