区分１,区分２,度数計,割合計,30分未満_度数,30分未満_割合,30分以上１時間未満_度数,30分以上１時間未満_割合,１時間以上２時間未満_度数,１時間以上２時間未満_割合,２時間以上３時間未満_度数,２時間以上３時間未満_割合,３時間以上４時間未満_度数,３時間以上４時間未満_割合,４時間以上５時間未満_度数,４時間以上５時間未満_割合,５時間以上_度数,５時間以上_割合
全体,全体,1487,100,302,20.3,359,24.1,456,30.7,230,15.5,69,4.6,30,2,41,2.8
児童・生徒別,小学生,495,100,93,18.8,124,25.1,157,31.7,77,15.6,18,3.6,8,1.6,18,3.6
児童・生徒別,中学生,497,100,99,19.9,107,21.5,154,31,80,16.1,31,6.2,12,2.4,14,2.8
児童・生徒別,高校生,495,100,110,22.2,128,25.9,145,29.3,73,14.7,20,4,10,2,9,1.8
子供の性別,男子,756,100,157,20.8,184,24.3,234,31,104,13.8,34,4.5,19,2.5,24,3.2
子供の性別,女子,731,100,145,19.8,175,23.9,222,30.4,126,17.2,35,4.8,11,1.5,17,2.3
児童・生徒×子供の性別,小学生男子,232,100,47,20.3,54,23.3,81,34.9,29,12.5,8,3.4,4,1.7,9,3.9
児童・生徒×子供の性別,小学生女子,263,100,46,17.5,70,26.6,76,28.9,48,18.3,10,3.8,4,1.5,9,3.4
児童・生徒×子供の性別,中学生男子,260,100,51,19.6,57,21.9,80,30.8,37,14.2,17,6.5,6,2.3,12,4.6
児童・生徒×子供の性別,中学生女子,237,100,48,20.3,50,21.1,74,31.2,43,18.1,14,5.9,6,2.5,2,0.8
児童・生徒×子供の性別,高校生男子,264,100,59,22.3,73,27.7,73,27.7,38,14.4,9,3.4,9,3.4,3,1.1
児童・生徒×子供の性別,高校生女子,231,100,51,22.1,55,23.8,72,31.2,35,15.2,11,4.8,1,0.4,6,2.6
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,945,100,201,21.3,222,23.5,295,31.2,145,15.3,40,4.2,17,1.8,25,2.6
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,12,14.3,25,29.8,24,28.6,13,15.5,8,9.5,2,2.4,0,0
携帯電話の購入所別,家電量販店,280,100,45,16.1,73,26.1,86,30.7,50,17.9,14,5,3,1.1,9,3.2
携帯電話の購入所別,インターネット販売,107,100,22,20.6,24,22.4,36,33.6,14,13.1,3,2.8,3,2.8,5,4.7
携帯電話の購入所別,その他,43,100,10,23.3,12,27.9,13,30.2,6,14,1,2.3,1,2.3,0,0
携帯電話の購入所別,わからない,28,100,12,42.9,3,10.7,2,7.1,2,7.1,3,10.7,4,14.3,2,7.1
フィルタリングサービスの加入状況別,加入している,538,100,99,18.4,130,24.2,168,31.2,92,17.1,23,4.3,9,1.7,17,3.2
フィルタリングサービスの加入状況別,加入している,521,100,100,19.2,138,26.5,160,30.7,79,15.2,26,5,8,1.5,10,1.9
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,181,100,41,22.7,42,23.2,59,32.6,26,14.4,5,2.8,3,1.7,5,2.8
フィルタリングサービスの加入状況別,わからない,247,100,62,25.1,49,19.8,69,27.9,33,13.4,15,6.1,10,4,9,3.6
利用制限サービスの加入状況別,加入している,365,100,49,13.4,77,21.1,121,33.2,75,20.5,22,6,6,1.6,15,4.1
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,165,100,26,15.8,41,24.8,59,35.8,26,15.8,5,3,4,2.4,4,2.4
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,350,100,52,14.9,90,25.7,117,33.4,59,16.9,17,4.9,8,2.3,7,2
利用制限サービスの加入状況別,わからない,87,100,16,18.4,21,24.1,22,25.3,13,14.9,9,10.3,3,3.4,3,3.4
利用状況の管理状態別,利用状況の把握及び監督もできている,548,100,110,20.1,127,23.2,175,31.9,79,14.4,24,4.4,13,2.4,20,3.6
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,638,100,124,19.4,156,24.5,196,30.7,115,18,29,4.5,9,1.4,9,1.4
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,202,100,38,18.8,48,23.8,60,29.7,28,13.9,13,6.4,7,3.5,8,4
利用状況の管理状態別,子供の利用状況に関心がない,94,100,29,30.9,26,27.7,23,24.5,8,8.5,3,3.2,1,1.1,4,4.3
利用状況の管理状態別,その他,5,100,1,20,2,40,2,40,0,0,0,0,0,0,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,469,100,89,19,119,25.4,149,31.8,71,15.1,20,4.3,8,1.7,13,2.8
説明・学習経験別,インターネットで調べた,480,100,69,14.4,119,24.8,161,33.5,84,17.5,27,5.6,6,1.3,14,2.9
説明・学習経験別,学校から配布される資料等を読んだ,536,100,90,16.8,115,21.5,174,32.5,100,18.7,27,5,10,1.9,20,3.7
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,327,100,54,16.5,73,22.3,103,31.5,54,16.5,22,6.7,10,3.1,11,3.4
説明・学習経験別,知識のある知人から説明を受けた,72,100,14,19.4,18,25,18,25,12,16.7,6,8.3,3,4.2,1,1.4
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,26,23,25,22.1,32,28.3,15,13.3,7,6.2,2,1.8,6,5.3
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,6,16.2,7,18.9,10,27,5,13.5,3,8.1,2,5.4,4,10.8
説明・学習経験別,特に説明をうけたり学習したりしたことはない,336,100,86,25.6,84,25,98,29.2,33,9.8,16,4.8,8,2.4,11,3.3
説明・学習経験別,その他,9,100,0,0,1,11.1,0,0,4,44.4,3,33.3,1,11.1,0,0
