区分１,区分２,度数計,割合計,知っていた_度数,知っていた_割合,知らなかった_度数,知らなかった_割合
全体,全体,1500,100,1216,81.1,284,18.9
児童・生徒別,小学生,500,100,409,81.8,91,18.2
児童・生徒別,中学生,500,100,404,80.8,96,19.2
児童・生徒別,高校生,500,100,403,80.6,97,19.4
子供の性別,男子,763,100,613,80.3,150,19.7
子供の性別,女子,737,100,603,81.8,134,18.2
児童・生徒×子供の性別,小学生男子,236,100,193,81.8,43,18.2
児童・生徒×子供の性別,小学生女子,264,100,216,81.8,48,18.2
児童・生徒×子供の性別,中学生男子,262,100,207,79,55,21
児童・生徒×子供の性別,中学生女子,238,100,197,82.8,41,17.2
児童・生徒×子供の性別,高校生男子,265,100,213,80.4,52,19.6
児童・生徒×子供の性別,高校生女子,235,100,190,80.9,45,19.1
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,774,81.2,179,18.8
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,70,83.3,14,16.7
携帯電話の購入所別,家電量販店,282,100,226,80.1,56,19.9
携帯電話の購入所別,インターネット販売,109,100,97,89,12,11
携帯電話の購入所別,その他,43,100,33,76.7,10,23.3
携帯電話の購入所別,わからない,29,100,16,55.2,13,44.8
フィルタリングサービスの加入状況別,加入している,539,100,480,89.1,59,10.9
フィルタリングサービスの加入状況別,加入している,523,100,427,81.6,96,18.4
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,144,77.8,41,22.2
フィルタリングサービスの加入状況別,わからない,253,100,165,65.2,88,34.8
利用制限サービスの加入状況別,加入している,366,100,338,92.3,28,7.7
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,145,86.8,22,13.2
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,306,87.2,45,12.8
利用制限サービスの加入状況別,わからない,87,100,59,67.8,28,32.2
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,470,85.5,80,14.5
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,541,84.7,98,15.3
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,152,73.1,56,26.9
利用状況の管理状態別,子供の利用状況に関心がない,98,100,49,50,49,50
利用状況の管理状態別,その他,5,100,4,80,1,20
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,416,88.3,55,11.7
説明・学習経験別,インターネットで調べた,482,100,409,84.9,73,15.1
説明・学習経験別,学校から配布される資料等を読んだ,537,100,481,89.6,56,10.4
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,287,87,43,13
説明・学習経験別,知識のある知人から説明を受けた,74,100,59,79.7,15,20.3
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,101,89.4,12,10.6
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,28,75.7,9,24.3
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,252,74.1,88,25.9
説明・学習経験別,その他,9,100,9,100,0,0
