区分１,区分２,度数計,割合計,友達が使用していると、つられて使用してしまうから_度数,友達が使用していると、つられて使用してしまうから_割合,ルールが厳しすぎるから_度数,ルールが厳しすぎるから_割合,親と子供で決めたいルールが異なるから_度数,親と子供で決めたいルールが異なるから_割合,親が子供を見張るようなことができない（したくない）から_度数,親が子供を見張るようなことができない（したくない）から_割合,その他_度数,その他_割合
全体,全体,222,100,86,38.7,26,11.7,58,26.1,92,41.4,11,5
児童・生徒別,小学生,50,100,17,34,9,18,14,28,20,40,5,10
児童・生徒別,中学生,115,100,46,40,7,6.1,28,24.3,49,42.6,5,4.3
児童・生徒別,高校生,57,100,23,40.4,10,17.5,16,28.1,23,40.4,1,1.8
子供の性別,男子,129,100,45,34.9,15,11.6,36,27.9,56,43.4,8,6.2
子供の性別,女子,93,100,41,44.1,11,11.8,22,23.7,36,38.7,3,3.2
児童・生徒×子供の性別,小学生男子,28,100,8,28.6,4,14.3,8,28.6,12,42.9,3,10.7
児童・生徒×子供の性別,小学生女子,22,100,9,40.9,5,22.7,6,27.3,8,36.4,2,9.1
児童・生徒×子供の性別,中学生男子,72,100,27,37.5,5,6.9,18,25,32,44.4,4,5.6
児童・生徒×子供の性別,中学生女子,43,100,19,44.2,2,4.7,10,23.3,17,39.5,1,2.3
児童・生徒×子供の性別,高校生男子,29,100,10,34.5,6,20.7,10,34.5,12,41.4,1,3.4
児童・生徒×子供の性別,高校生女子,28,100,13,46.4,4,14.3,6,21.4,11,39.3,0,0
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,134,100,49,36.6,15,11.2,35,26.1,62,46.3,6,4.5
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,20,100,7,35,4,20,3,15,7,35,3,15
携帯電話の購入所別,家電量販店,42,100,19,45.2,4,9.5,16,38.1,14,33.3,0,0
携帯電話の購入所別,インターネット販売,15,100,7,46.7,2,13.3,1,6.7,6,40,0,0
携帯電話の購入所別,その他,8,100,2,25,1,12.5,1,12.5,3,37.5,2,25
携帯電話の購入所別,わからない,3,100,2,66.7,0,0,2,66.7,0,0,0,0
フィルタリングサービスの加入状況別,加入している,88,100,34,38.6,6,6.8,21,23.9,41,46.6,4,4.5
フィルタリングサービスの加入状況別,加入している,78,100,34,43.6,13,16.7,19,24.4,29,37.2,4,5.1
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,21,100,3,14.3,6,28.6,9,42.9,8,38.1,1,4.8
フィルタリングサービスの加入状況別,わからない,35,100,15,42.9,1,2.9,9,25.7,14,40,2,5.7
利用制限サービスの加入状況別,加入している,71,100,26,36.6,5,7,19,26.8,35,49.3,4,5.6
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,34,100,14,41.2,7,20.6,8,23.5,8,23.5,1,2.9
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,56,100,25,44.6,7,12.5,18,32.1,19,33.9,3,5.4
利用制限サービスの加入状況別,わからない,14,100,8,57.1,0,0,2,14.3,6,42.9,1,7.1
利用状況の管理状態別,利用状況の把握及び監督もできている,32,100,14,43.8,2,6.3,9,28.1,7,21.9,2,6.3
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,133,100,56,42.1,16,12,36,27.1,57,42.9,4,3
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,49,100,16,32.7,6,12.2,11,22.4,23,46.9,5,10.2
利用状況の管理状態別,子供の利用状況に関心がない,7,100,0,0,2,28.6,2,28.6,4,57.1,0,0
利用状況の管理状態別,その他,1,100,0,0,0,0,0,0,1,100,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,65,100,33,50.8,10,15.4,17,26.2,25,38.5,4,6.2
説明・学習経験別,インターネットで調べた,86,100,39,45.3,14,16.3,26,30.2,26,30.2,4,4.7
説明・学習経験別,学校から配布される資料等を読んだ,95,100,44,46.3,10,10.5,25,26.3,37,38.9,4,4.2
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,65,100,29,44.6,11,16.9,18,27.7,32,49.2,2,3.1
説明・学習経験別,知識のある知人から説明を受けた,13,100,8,61.5,0,0,4,30.8,7,53.8,0,0
説明・学習経験別,販売店等から詳しく説明をうけた,18,100,9,50,0,0,5,27.8,8,44.4,1,5.6
説明・学習経験別,公共施設などで開催された講座に参加した,9,100,5,55.6,3,33.3,5,55.6,5,55.6,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,33,100,10,30.3,1,3,8,24.2,18,54.5,2,6.1
説明・学習経験別,その他,0,0,0,0,0,0,0,0,0,0,0,0
