区分１,区分２,度数計,割合計,未就学時_度数,未就学時_割合,小学１年生～２年生_度数,小学１年生～２年生_割合,小学３年生～４年生_度数,小学３年生～４年生_割合,小学５年生～６年生_度数,小学５年生～６年生_割合,中学１年生_度数,中学１年生_割合,中学２年生_度数,中学２年生_割合,中学３年生_度数,中学３年生_割合,高校１年生_度数,高校１年生_割合,高校２年生_度数,高校２年生_割合,高校３年生_度数,高校３年生_割合
全体,全体,1104,100,8,0.7,29,2.6,85,7.7,238,21.6,311,28.2,88,8,119,10.8,201,18.2,12,1.1,13,1.2
児童・生徒別,小学生,209,100,7,3.3,22,10.5,63,30.1,117,56,0,0,0,0,0,0,0,0,0,0,0,0
児童・生徒別,中学生,425,100,1,0.2,5,1.2,15,3.5,91,21.4,232,54.6,44,10.4,37,8.7,0,0,0,0,0,0
児童・生徒別,高校生,470,100,0,0,2,0.4,7,1.5,30,6.4,79,16.8,44,9.4,82,17.4,201,42.8,12,2.6,13,2.8
子供の性別,男子,571,100,5,0.9,18,3.2,42,7.4,102,17.9,160,28,54,9.5,63,11,112,19.6,6,1.1,9,1.6
子供の性別,女子,104,100,4,3.8,12,11.5,28,26.9,60,57.7,0,0,0,0,0,0,0,0,0,0,0,0
児童・生徒×子供の性別,小学生男子,105,100,3,2.9,10,9.5,35,33.3,57,54.3,0,0,0,0,0,0,0,0,0,0,0,0
児童・生徒×子供の性別,小学生女子,218,100,1,0.5,4,1.8,9,4.1,34,15.6,122,56,28,12.8,20,9.2,0,0,0,0,0,0
児童・生徒×子供の性別,中学生男子,207,100,0,0,1,0.5,6,2.9,57,27.5,110,53.1,16,7.7,17,8.2,0,0,0,0,0,0
児童・生徒×子供の性別,中学生女子,249,100,0,0,2,0.8,5,2,8,3.2,38,15.3,26,10.4,43,17.3,112,45,6,2.4,9,3.6
児童・生徒×子供の性別,高校生男子,221,100,0,0,0,0,2,0.9,22,10,41,18.6,18,8.1,39,17.6,89,40.3,6,2.7,4,1.8
児童・生徒×子供の性別,高校生女子,533,100,3,0.6,11,2.1,43,8.1,136,25.5,151,28.3,34,6.4,56,10.5,89,16.7,6,1.1,4,0.8
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,651,100,2,0.3,20,3.1,43,6.6,134,20.6,193,29.6,56,8.6,75,11.5,118,18.1,3,0.5,7,1.1
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,69,100,1,1.4,2,2.9,6,8.7,22,31.9,22,31.9,5,7.2,3,4.3,7,10.1,1,1.4,0,0
携帯電話の購入所別,家電量販店,222,100,1,0.5,3,1.4,19,8.6,45,20.3,62,27.9,16,7.2,21,9.5,45,20.3,5,2.3,5,2.3
携帯電話の購入所別,インターネット販売,104,100,1,1,3,2.9,9,8.7,25,24,25,24,6,5.8,14,13.5,21,20.2,0,0,0,0
携帯電話の購入所別,その他,34,100,1,2.9,1,2.9,7,20.6,7,20.6,8,23.5,1,2.9,3,8.8,4,11.8,2,5.9,0,0
携帯電話の購入所別,わからない,24,100,2,8.3,0,0,1,4.2,5,20.8,1,4.2,4,16.7,3,12.5,6,25,1,4.2,1,4.2
フィルタリングサービスの加入状況別,加入している,454,100,2,0.4,13,2.9,41,9,111,24.4,138,30.4,32,7,49,10.8,60,13.2,5,1.1,3,0.7
フィルタリングサービスの加入状況別,加入している,429,100,5,1.2,12,2.8,30,7,87,20.3,112,26.1,39,9.1,45,10.5,88,20.5,4,0.9,7,1.6
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,25,100,0,0,1,4,4,16,5,20,6,24,1,4,1,4,5,20,1,4,1,4
フィルタリングサービスの加入状況別,わからない,196,100,1,0.5,3,1.5,10,5.1,35,17.9,55,28.1,16,8.2,24,12.2,48,24.5,2,1,2,1
利用制限サービスの加入状況別,加入している,366,100,1,0.3,9,2.5,32,8.7,104,28.4,116,31.7,27,7.4,36,9.8,36,9.8,3,0.8,2,0.5
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,1,0.6,9,5.4,14,8.4,34,20.4,52,31.1,16,9.6,14,8.4,25,15,1,0.6,1,0.6
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,3,0.9,6,1.7,16,4.6,64,18.2,88,25.1,30,8.5,49,14,89,25.4,4,1.1,2,0.6
利用制限サービスの加入状況別,わからない,87,100,0,0,3,3.4,6,6.9,18,20.7,23,26.4,8,9.2,5,5.7,21,24.1,1,1.1,2,2.3
利用状況の管理状態別,利用状況の把握及び監督もできている,334,100,2,0.6,14,4.2,37,11.1,99,29.6,90,26.9,24,7.2,26,7.8,38,11.4,1,0.3,3,0.9
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,520,100,2,0.4,6,1.2,35,6.7,100,19.2,153,29.4,46,8.8,61,11.7,106,20.4,7,1.3,4,0.8
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,176,100,1,0.6,5,2.8,9,5.1,31,17.6,54,30.7,14,8,20,11.4,36,20.5,2,1.1,4,2.3
利用状況の管理状態別,子供の利用状況に関心がない,70,100,2,2.9,4,5.7,4,5.7,8,11.4,14,20,4,5.7,10,14.3,20,28.6,2,2.9,2,2.9
利用状況の管理状態別,その他,4,100,1,25,0,0,0,0,0,0,0,0,0,0,2,50,1,25,0,0,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,330,100,3,0.9,9,2.7,24,7.3,70,21.2,96,29.1,29,8.8,34,10.3,58,17.6,4,1.2,3,0.9
説明・学習経験別,インターネットで調べた,366,100,3,0.8,13,3.6,27,7.4,82,22.4,105,28.7,31,8.5,34,9.3,61,16.7,6,1.6,4,1.1
説明・学習経験別,学校から配布される資料等を読んだ,401,100,3,0.7,8,2,33,8.2,92,22.9,128,31.9,35,8.7,35,8.7,65,16.2,0,0,2,0.5
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,262,100,2,0.8,7,2.7,14,5.3,60,22.9,78,29.8,23,8.8,32,12.2,42,16,3,1.1,1,0.4
説明・学習経験別,知識のある知人から説明を受けた,58,100,1,1.7,4,6.9,7,12.1,13,22.4,11,19,4,6.9,7,12.1,9,15.5,2,3.4,0,0
説明・学習経験別,販売店等から詳しく説明をうけた,90,100,0,0,3,3.3,7,7.8,24,26.7,24,26.7,13,14.4,7,7.8,10,11.1,2,2.2,0,0
説明・学習経験別,公共施設などで開催された講座に参加した,28,100,0,0,1,3.6,4,14.3,8,28.6,6,21.4,2,7.1,3,10.7,4,14.3,0,0,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,249,100,3,1.2,5,2,20,8,47,18.9,70,28.1,15,6,26,10.4,58,23.3,2,0.8,3,1.2
説明・学習経験別,その他,5,100,0,0,0,0,0,0,0,0,2,40,0,0,1,20,1,20,0,0,1,20
