区分１,区分２,度数計,割合計,高額の料金を請求されてしまう_度数,高額の料金を請求されてしまう_割合,スマートフォンに依存してしまう_度数,スマートフォンに依存してしまう_割合,有害なサイトを閲覧するかもしれない_度数,有害なサイトを閲覧するかもしれない_割合,出会い系アプリ等で、知らない人と知り合いになれてしまう_度数,出会い系アプリ等で、知らない人と知り合いになれてしまう_割合,SNSを利用し、友達とトラブルになる_度数,SNSを利用し、友達とトラブルになる_割合,自分の写真をアップして、トラブルに巻き込まれる_度数,自分の写真をアップして、トラブルに巻き込まれる_割合,不安なことはない_度数,不安なことはない_割合,その他_度数,その他_割合
全体,全体,1104,100,279,25.3,611,55.3,372,33.7,358,32.4,382,34.6,219,19.8,194,17.6,6,0.5
児童・生徒別,小学生,209,100,63,30.1,116,55.5,94,45,87,41.6,88,42.1,52,24.9,25,12,1,0.5
児童・生徒別,中学生,425,100,102,24,247,58.1,144,33.9,131,30.8,170,40,93,21.9,63,14.8,4,0.9
児童・生徒別,高校生,470,100,114,24.3,248,52.8,134,28.5,140,29.8,124,26.4,74,15.7,106,22.6,1,0.2
子供の性別,男子,571,100,157,27.5,312,54.6,199,34.9,164,28.7,174,30.5,92,16.1,96,16.8,4,0.7
子供の性別,女子,533,100,122,22.9,299,56.1,173,32.5,194,36.4,208,39,127,23.8,98,18.4,2,0.4
児童・生徒×子供の性別,小学生男子,104,100,31,29.8,50,48.1,41,39.4,30,28.8,35,33.7,16,15.4,17,16.3,0,0
児童・生徒×子供の性別,小学生女子,105,100,32,30.5,66,62.9,53,50.5,57,54.3,53,50.5,36,34.3,8,7.6,1,1
児童・生徒×子供の性別,中学生男子,218,100,64,29.4,128,58.7,86,39.4,67,30.7,84,38.5,44,20.2,25,11.5,4,1.8
児童・生徒×子供の性別,中学生女子,207,100,38,18.4,119,57.5,58,28,64,30.9,86,41.5,49,23.7,38,18.4,0,0
児童・生徒×子供の性別,高校生男子,249,100,62,24.9,134,53.8,72,28.9,67,26.9,55,22.1,32,12.9,54,21.7,0,0
児童・生徒×子供の性別,高校生女子,221,100,52,23.5,114,51.6,62,28.1,73,33,69,31.2,42,19,52,23.5,1,0.5
