区分１,区分２,度数計,割合計,iOS（iPhone）_度数,iOS（iPhone）_割合,Android_度数,Android_割合,その他_度数,その他_割合
全体,全体,1104,100,640,58,472,42.8,9,0.8
児童・生徒別,小学生,209,100,93,44.5,118,56.5,4,1.9
児童・生徒別,中学生,425,100,227,53.4,199,46.8,3,0.7
児童・生徒別,高校生,470,100,320,68.1,155,33,2,0.4
子供の性別,男子,571,100,324,56.7,252,44.1,5,0.9
子供の性別,女子,533,100,316,59.3,220,41.3,4,0.8
児童・生徒×子供の性別,小学生男子,104,100,49,47.1,56,53.8,1,1
児童・生徒×子供の性別,小学生女子,105,100,44,41.9,62,59,3,2.9
児童・生徒×子供の性別,中学生男子,218,100,109,50,109,50,3,1.4
児童・生徒×子供の性別,中学生女子,207,100,118,57,90,43.5,0,0
児童・生徒×子供の性別,高校生男子,249,100,166,66.7,87,34.9,1,0.4
児童・生徒×子供の性別,高校生女子,221,100,154,69.7,68,30.8,1,0.5
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,651,100,420,64.5,237,36.4,5,0.8
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,69,100,39,56.5,31,44.9,0,0
携帯電話の購入所別,家電量販店,222,100,128,57.7,96,43.2,1,0.5
携帯電話の購入所別,インターネット販売,104,100,27,26,77,74,1,1
携帯電話の購入所別,その他,34,100,18,52.9,17,50,0,0
携帯電話の購入所別,わからない,24,100,8,33.3,14,58.3,2,8.3
フィルタリングサービスの加入状況別,加入している,454,100,239,52.6,217,47.8,3,0.7
フィルタリングサービスの加入状況別,加入している,429,100,268,62.5,170,39.6,2,0.5
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,25,100,15,60,8,32,2,8
フィルタリングサービスの加入状況別,わからない,196,100,118,60.2,77,39.3,2,1
利用制限サービスの加入状況別,加入している,366,100,182,49.7,186,50.8,2,0.5
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,102,61.1,68,40.7,1,0.6
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,228,65,131,37.3,0,0
利用制限サービスの加入状況別,わからない,87,100,59,67.8,28,32.2,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,334,100,174,52.1,161,48.2,4,1.2
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,520,100,308,59.2,220,42.3,2,0.4
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,176,100,114,64.8,61,34.7,3,1.7
利用状況の管理状態別,子供の利用状況に関心がない,70,100,42,60,28,40,0,0
利用状況の管理状態別,その他,4,100,2,50,2,50,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,330,100,197,59.7,142,43,2,0.6
説明・学習経験別,インターネットで調べた,366,100,203,55.5,168,45.9,5,1.4
説明・学習経験別,学校から配布される資料等を読んだ,401,100,224,55.9,183,45.6,2,0.5
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,262,100,159,60.7,108,41.2,1,0.4
説明・学習経験別,知識のある知人から説明を受けた,58,100,38,65.5,24,41.4,1,1.7
説明・学習経験別,販売店等から詳しく説明をうけた,90,100,51,56.7,42,46.7,1,1.1
説明・学習経験別,公共施設などで開催された講座に参加した,28,100,20,71.4,12,42.9,2,7.1
説明・学習経験別,特に説明をうけたり学習したりしたことはない,249,100,152,61,98,39.4,1,0.4
説明・学習経験別,その他,5,100,2,40,3,60,0,0
