区分１,区分２,度数計,割合計,未就学時_度数,未就学時_割合,小学１年生～２年生_度数,小学１年生～２年生_割合,小学３年生～４年生_度数,小学３年生～４年生_割合,小学５年生～６年生_度数,小学５年生～６年生_割合,中学１年生_度数,中学１年生_割合,中学２年生_度数,中学２年生_割合,中学３年生_度数,中学３年生_割合,高校１年生_度数,高校１年生_割合,高校２年生_度数,高校２年生_割合,高校３年生_度数,高校３年生_割合
全体,全体,412,100,11,2.7,161,39.1,123,29.9,68,16.5,26,6.3,6,1.5,6,1.5,9,2.2,0,0,2,0.5
児童・生徒別,小学生,298,100,8,2.7,148,49.7,102,34.2,40,13.4,0,0,0,0,0,0,0,0,0,0,0,0
児童・生徒別,中学生,82,100,1,1.2,10,12.2,18,22,23,28,21,25.6,5,6.1,4,4.9,0,0,0,0,0,0
児童・生徒別,高校生,32,100,2,6.3,3,9.4,3,9.4,5,15.6,5,15.6,1,3.1,2,6.3,9,28.1,0,0,2,6.3
子供の性別,男子,198,100,6,3,68,34.3,60,30.3,36,18.2,14,7.1,5,2.5,3,1.5,5,2.5,0,0,1,0.5
子供の性別,女子,214,100,5,2.3,93,43.5,63,29.4,32,15,12,5.6,1,0.5,3,1.4,4,1.9,0,0,1,0.5
児童・生徒×子供の性別,小学生男子,133,100,4,3,62,46.6,46,34.6,21,15.8,0,0,0,0,0,0,0,0,0,0,0,0
児童・生徒×子供の性別,小学生女子,165,100,4,2.4,86,52.1,56,33.9,19,11.5,0,0,0,0,0,0,0,0,0,0,0,0
児童・生徒×子供の性別,中学生男子,48,100,1,2.1,5,10.4,12,25,12,25,11,22.9,4,8.3,3,6.3,0,0,0,0,0,0
児童・生徒×子供の性別,中学生女子,34,100,0,0,5,14.7,6,17.6,11,32.4,10,29.4,1,2.9,1,2.9,0,0,0,0,0,0
児童・生徒×子供の性別,高校生男子,17,100,1,5.9,1,5.9,2,11.8,3,17.6,3,17.6,1,5.9,0,0,5,29.4,0,0,1,5.9
児童・生徒×子供の性別,高校生女子,15,100,1,6.7,2,13.3,1,6.7,2,13.3,2,13.3,0,0,2,13.3,4,26.7,0,0,1,6.7
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,309,100,6,1.9,127,41.1,92,29.8,49,15.9,18,5.8,4,1.3,4,1.3,8,2.6,0,0,1,0.3
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,16,100,0,0,8,50,3,18.8,3,18.8,1,6.3,1,6.3,0,0,0,0,0,0,0,0
携帯電話の購入所別,家電量販店,62,100,2,3.2,22,35.5,21,33.9,11,17.7,4,6.5,0,0,1,1.6,1,1.6,0,0,0,0
携帯電話の購入所別,インターネット販売,9,100,1,11.1,0,0,4,44.4,3,33.3,1,11.1,0,0,0,0,0,0,0,0,0,0
携帯電話の購入所別,その他,10,100,1,10,4,40,2,20,1,10,1,10,0,0,1,10,0,0,0,0,0,0
携帯電話の購入所別,わからない,6,100,1,16.7,0,0,1,16.7,1,16.7,1,16.7,1,16.7,0,0,0,0,0,0,1,16.7
フィルタリングサービスの加入状況別,加入している,90,100,4,4.4,24,26.7,25,27.8,22,24.4,10,11.1,2,2.2,0,0,3,3.3,0,0,0,0
フィルタリングサービスの加入状況別,加入している,101,100,4,4,33,32.7,28,27.7,17,16.8,9,8.9,3,3,2,2,4,4,0,0,1,1
