区分１,区分２,度数計,割合計,加入している_度数,加入している_割合,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロ_度数,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロ_割合,加入していないし、特段の制限も設けていない_度数,加入していないし、特段の制限も設けていない_割合,わからない_度数,わからない_割合
全体,全体,971,100,366,37.7,167,17.2,351,36.1,87,9
児童・生徒別,小学生,178,100,95,53.4,39,21.9,35,19.7,9,5.1
児童・生徒別,中学生,382,100,177,46.3,69,18.1,103,27,33,8.6
児童・生徒別,高校生,411,100,94,22.9,59,14.4,213,51.8,45,10.9
子供の性別,男子,496,100,198,39.9,82,16.5,175,35.3,41,8.3
子供の性別,女子,475,100,168,35.4,85,17.9,176,37.1,46,9.7
児童・生徒×子供の性別,小学生男子,86,100,52,60.5,17,19.8,14,16.3,3,3.5
児童・生徒×子供の性別,小学生女子,92,100,43,46.7,22,23.9,21,22.8,6,6.5
児童・生徒×子供の性別,中学生男子,194,100,97,50,37,19.1,43,22.2,17,8.8
児童・生徒×子供の性別,中学生女子,188,100,80,42.6,32,17,60,31.9,16,8.5
児童・生徒×子供の性別,高校生男子,216,100,49,22.7,28,13,118,54.6,21,9.7
児童・生徒×子供の性別,高校生女子,195,100,45,23.1,31,15.9,95,48.7,24,12.3
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,579,100,239,41.3,102,17.6,183,31.6,55,9.5
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,63,100,25,39.7,10,15.9,27,42.9,1,1.6
携帯電話の購入所別,家電量販店,196,100,71,36.2,30,15.3,74,37.8,21,10.7
携帯電話の購入所別,インターネット販売,93,100,24,25.8,19,20.4,48,51.6,2,2.2
携帯電話の購入所別,その他,28,100,4,14.3,6,21.4,16,57.1,2,7.1
携帯電話の購入所別,わからない,12,100,3,25,0,0,3,25,6,50
フィルタリングサービスの加入状況別,加入している,416,100,317,76.2,62,14.9,25,6,12,2.9
フィルタリングサービスの加入状況別,加入している,402,100,29,7.2,75,18.7,278,69.2,20,5
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,19,100,3,15.8,7,36.8,7,36.8,2,10.5
フィルタリングサービスの加入状況別,わからない,134,100,17,12.7,23,17.2,41,30.6,53,39.6
利用制限サービスの加入状況別,加入している,366,100,366,100,0,0,0,0,0,0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,0,0,167,100,0,0,0,0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,0,0,0,0,351,100,0,0
利用制限サービスの加入状況別,わからない,87,100,0,0,0,0,0,0,87,100
利用状況の管理状態別,利用状況の把握及び監督もできている,307,100,141,45.9,57,18.6,88,28.7,21,6.8
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,484,100,187,38.6,89,18.4,171,35.3,37,7.6
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,142,100,29,20.4,16,11.3,76,53.5,21,14.8
利用状況の管理状態別,子供の利用状況に関心がない,36,100,7,19.4,5,13.9,16,44.4,8,22.2
利用状況の管理状態別,その他,2,100,2,100,0,0,0,0,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,311,100,121,38.9,68,21.9,100,32.2,22,7.1
説明・学習経験別,インターネットで調べた,342,100,142,41.5,77,22.5,106,31,17,5
説明・学習経験別,学校から配布される資料等を読んだ,378,100,172,45.5,66,17.5,112,29.6,28,7.4
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,246,100,91,37,54,22,80,32.5,21,8.5
説明・学習経験別,知識のある知人から説明を受けた,53,100,21,39.6,13,24.5,16,30.2,3,5.7
説明・学習経験別,販売店等から詳しく説明をうけた,80,100,46,57.5,14,17.5,18,22.5,2,2.5
説明・学習経験別,公共施設などで開催された講座に参加した,22,100,9,40.9,4,18.2,8,36.4,1,4.5
説明・学習経験別,特に説明をうけたり学習したりしたことはない,195,100,54,27.7,11,5.6,99,50.8,31,15.9
説明・学習経験別,その他,3,100,1,33.3,0,0,2,66.7,0,0
