区分１,区分２,度数計,割合計,ＳＮＳ　※LINE、Facebook など_度数,ＳＮＳ　※LINE、Facebook など_割合,ＳＮＳ（動画形式）　※Youtube、ツイキャス など_度数,ＳＮＳ（動画形式）　※Youtube、ツイキャス など_割合,ゲーム_度数,ゲーム_割合,学習用_度数,学習用_割合,その他_度数,その他_割合,アプリは利用していない_度数,アプリは利用していない_割合,わからない_度数,わからない_割合
全体,全体,1104,100,886,80.3,576,52.2,630,57.1,214,19.4,12,1.1,44,4,89,8.1
児童・生徒別,小学生,209,100,136,65.1,99,47.4,117,56,40,19.1,2,1,20,9.6,11,5.3
児童・生徒別,中学生,425,100,359,84.5,210,49.4,246,57.9,78,18.4,5,1.2,14,3.3,29,6.8
児童・生徒別,高校生,470,100,391,83.2,267,56.8,267,56.8,96,20.4,5,1.1,10,2.1,49,10.4
子供の性別,男子,571,100,440,77.1,293,51.3,364,63.7,110,19.3,6,1.1,25,4.4,50,8.8
子供の性別,女子,533,100,446,83.7,283,53.1,266,49.9,104,19.5,6,1.1,19,3.6,39,7.3
児童・生徒×子供の性別,小学生男子,104,100,59,56.7,54,51.9,60,57.7,19,18.3,1,1,11,10.6,7,6.7
児童・生徒×子供の性別,小学生女子,105,100,77,73.3,45,42.9,57,54.3,21,20,1,1,9,8.6,4,3.8
児童・生徒×子供の性別,中学生男子,218,100,177,81.2,94,43.1,138,63.3,41,18.8,1,0.5,8,3.7,16,7.3
児童・生徒×子供の性別,中学生女子,207,100,182,87.9,116,56,108,52.2,37,17.9,4,1.9,6,2.9,13,6.3
児童・生徒×子供の性別,高校生男子,249,100,204,81.9,145,58.2,166,66.7,50,20.1,4,1.6,6,2.4,27,10.8
児童・生徒×子供の性別,高校生女子,221,100,187,84.6,122,55.2,101,45.7,46,20.8,1,0.5,4,1.8,22,10
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,651,100,536,82.3,355,54.5,384,59,130,20,5,0.8,28,4.3,44,6.8
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,69,100,54,78.3,36,52.2,42,60.9,15,21.7,1,1.4,0,0,6,8.7
携帯電話の購入所別,家電量販店,222,100,177,79.7,119,53.6,127,57.2,42,18.9,3,1.4,8,3.6,18,8.1
携帯電話の購入所別,インターネット販売,104,100,85,81.7,51,49,52,50,20,19.2,2,1.9,5,4.8,6,5.8
携帯電話の購入所別,その他,34,100,24,70.6,12,35.3,18,52.9,7,20.6,1,2.9,3,8.8,3,8.8
携帯電話の購入所別,わからない,24,100,10,41.7,3,12.5,7,29.2,0,0,0,0,0,0,12,50
フィルタリングサービスの加入状況別,加入している,454,100,383,84.4,231,50.9,270,59.5,92,20.3,4,0.9,26,5.7,12,2.6
フィルタリングサービスの加入状況別,加入している,429,100,370,86.2,257,59.9,269,62.7,94,21.9,7,1.6,13,3,14,3.3
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,25,100,11,44,8,32,9,36,4,16,0,0,3,12,3,12
フィルタリングサービスの加入状況別,わからない,196,100,122,62.2,80,40.8,82,41.8,24,12.2,1,0.5,2,1,60,30.6
利用制限サービスの加入状況別,加入している,366,100,331,90.4,198,54.1,247,67.5,80,21.9,4,1.1,0,0,0,0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,149,89.2,107,64.1,102,61.1,46,27.5,3,1.8,0,0,0,0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,327,93.2,230,65.5,234,66.7,74,21.1,5,1.4,0,0,0,0
利用制限サービスの加入状況別,わからない,87,100,79,90.8,41,47.1,47,54,14,16.1,0,0,0,0,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,334,100,276,82.6,167,50,185,55.4,78,23.4,5,1.5,17,5.1,10,3
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,520,100,445,85.6,302,58.1,329,63.3,110,21.2,5,1,14,2.7,22,4.2
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,176,100,134,76.1,89,50.6,94,53.4,21,11.9,2,1.1,6,3.4,28,15.9
利用状況の管理状態別,子供の利用状況に関心がない,70,100,29,41.4,16,22.9,20,28.6,3,4.3,0,0,5,7.1,29,41.4
利用状況の管理状態別,その他,4,100,2,50,2,50,2,50,2,50,0,0,2,50,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,330,100,293,88.8,213,64.5,218,66.1,86,26.1,4,1.2,8,2.4,11,3.3
説明・学習経験別,インターネットで調べた,366,100,305,83.3,209,57.1,233,63.7,90,24.6,6,1.6,7,1.9,17,4.6
説明・学習経験別,学校から配布される資料等を読んだ,401,100,346,86.3,238,59.4,256,63.8,107,26.7,6,1.5,17,4.2,6,1.5
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,262,100,228,87,168,64.1,174,66.4,77,29.4,2,0.8,12,4.6,4,1.5
説明・学習経験別,知識のある知人から説明を受けた,58,100,47,81,35,60.3,32,55.2,17,29.3,1,1.7,0,0,5,8.6
説明・学習経験別,販売店等から詳しく説明をうけた,90,100,68,75.6,49,54.4,54,60,21,23.3,2,2.2,3,3.3,7,7.8
説明・学習経験別,公共施設などで開催された講座に参加した,28,100,22,78.6,16,57.1,14,50,8,28.6,1,3.6,1,3.6,5,17.9
説明・学習経験別,特に説明をうけたり学習したりしたことはない,249,100,184,73.9,103,41.4,114,45.8,31,12.4,3,1.2,13,5.2,41,16.5
説明・学習経験別,その他,5,100,3,60,2,40,3,60,2,40,0,0,0,0,2,40
