区分１,区分２,度数計,割合計,子供から相談があった_度数,子供から相談があった_割合,子供の様子がおかしいため質問した等、コミュニケーションをとる上で発見した_度数,子供の様子がおかしいため質問した等、コミュニケーションをとる上で発見した_割合,子供の携帯電話等を見た、請求書が届いたこと等により発見した_度数,子供の携帯電話等を見た、請求書が届いたこと等により発見した_割合,学校や子供の友人等、第三者・第三機関から連絡や相談があった_度数,学校や子供の友人等、第三者・第三機関から連絡や相談があった_割合,その他_度数,その他_割合
全体,全体,242,100,118,48.8,91,37.6,44,18.2,30,12.4,7,2.9
児童・生徒別,小学生,68,100,31,45.6,31,45.6,12,17.6,3,4.4,3,4.4
児童・生徒別,中学生,92,100,42,45.7,31,33.7,21,22.8,17,18.5,4,4.3
児童・生徒別,高校生,82,100,45,54.9,29,35.4,11,13.4,10,12.2,0,0
子供の性別,男子,132,100,58,43.9,50,37.9,31,23.5,15,11.4,6,4.5
子供の性別,女子,110,100,60,54.5,41,37.3,13,11.8,15,13.6,1,0.9
児童・生徒×子供の性別,小学生男子,39,100,19,48.7,17,43.6,6,15.4,0,0,2,5.1
児童・生徒×子供の性別,小学生女子,29,100,12,41.4,14,48.3,6,20.7,3,10.3,1,3.4
児童・生徒×子供の性別,中学生男子,55,100,18,32.7,21,38.2,19,34.5,10,18.2,4,7.3
児童・生徒×子供の性別,中学生女子,37,100,24,64.9,10,27,2,5.4,7,18.9,0,0
児童・生徒×子供の性別,高校生男子,38,100,21,55.3,12,31.6,6,15.8,5,13.2,0,0
児童・生徒×子供の性別,高校生女子,44,100,24,54.5,17,38.6,5,11.4,5,11.4,0,0
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,149,100,71,47.7,56,37.6,25,16.8,19,12.8,5,3.4
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,20,100,11,55,8,40,6,30,3,15,0,0
携帯電話の購入所別,家電量販店,49,100,21,42.9,20,40.8,10,20.4,6,12.2,1,2
携帯電話の購入所別,インターネット販売,19,100,13,68.4,5,26.3,2,10.5,2,10.5,1,5.3
携帯電話の購入所別,その他,5,100,2,40,2,40,1,20,0,0,0,0
携帯電話の購入所別,わからない,0,0,0,0,0,0,0,0,0,0,0,0
フィルタリングサービスの加入状況別,加入している,108,100,55,50.9,49,45.4,16,14.8,12,11.1,3,2.8
フィルタリングサービスの加入状況別,加入している,95,100,50,52.6,32,33.7,17,17.9,12,12.6,1,1.1
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,21,100,5,23.8,4,19,8,38.1,4,19,2,9.5
フィルタリングサービスの加入状況別,わからない,18,100,8,44.4,6,33.3,3,16.7,2,11.1,1,5.6
利用制限サービスの加入状況別,加入している,76,100,41,53.9,34,44.7,7,9.2,13,17.1,3,3.9
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,53,100,21,39.6,23,43.4,18,34,3,5.7,1,1.9
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,59,100,34,57.6,16,27.1,6,10.2,11,18.6,2,3.4
利用制限サービスの加入状況別,わからない,7,100,3,42.9,3,42.9,0,0,1,14.3,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,66,100,36,54.5,30,45.5,7,10.6,8,12.1,2,3
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,132,100,65,49.2,53,40.2,23,17.4,16,12.1,1,0.8
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,36,100,13,36.1,8,22.2,11,30.6,5,13.9,4,11.1
利用状況の管理状態別,子供の利用状況に関心がない,8,100,4,50,0,0,3,37.5,1,12.5,0,0
利用状況の管理状態別,その他,0,0,0,0,0,0,0,0,0,0,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,92,100,52,56.5,37,40.2,17,18.5,9,9.8,4,4.3
説明・学習経験別,インターネットで調べた,122,100,56,45.9,57,46.7,29,23.8,14,11.5,3,2.5
説明・学習経験別,学校から配布される資料等を読んだ,103,100,51,49.5,43,41.7,17,16.5,17,16.5,3,2.9
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,57,100,26,45.6,30,52.6,17,29.8,11,19.3,2,3.5
説明・学習経験別,知識のある知人から説明を受けた,18,100,11,61.1,11,61.1,7,38.9,6,33.3,1,5.6
説明・学習経験別,販売店等から詳しく説明をうけた,28,100,15,53.6,14,50,8,28.6,5,17.9,2,7.1
説明・学習経験別,公共施設などで開催された講座に参加した,11,100,8,72.7,8,72.7,5,45.5,3,27.3,1,9.1
説明・学習経験別,特に説明をうけたり学習したりしたことはない,18,100,13,72.2,2,11.1,0,0,3,16.7,0,0
説明・学習経験別,その他,1,100,1,100,0,0,0,0,0,0,0,0
