区分１,区分２,度数計,割合計,子供を信用しており、ルールを作らなくても、子供が適正な利用をしているから_度数,子供を信用しており、ルールを作らなくても、子供が適正な利用をしているから_割合,ルールを作っても、守れないから_度数,ルールを作っても、守れないから_割合,ルールを作ろうとしても、子供とケンカになってしまうから_度数,ルールを作ろうとしても、子供とケンカになってしまうから_割合,話し合ってルールを作る時間がないから_度数,話し合ってルールを作る時間がないから_割合,ルール作りが推奨されていること自体を知らなかったから_度数,ルール作りが推奨されていること自体を知らなかったから_割合,どんなルールを作ればいいのかよく分からないから_度数,どんなルールを作ればいいのかよく分からないから_割合,親も自由に使いたいから、ルールを決めたくない_度数,親も自由に使いたいから、ルールを決めたくない_割合,機能が少ない携帯電話（キッズ携帯等）だから_度数,機能が少ない携帯電話（キッズ携帯等）だから_割合,その他_度数,その他_割合
全体,全体,425,100,211,49.6,65,15.3,23,5.4,10,2.4,5,1.2,31,7.3,16,3.8,96,22.6,9,2.1
児童・生徒別,小学生,128,100,41,32,6,4.7,2,1.6,6,4.7,1,0.8,6,4.7,3,2.3,71,55.5,2,1.6
児童・生徒別,中学生,96,100,43,44.8,17,17.7,10,10.4,1,1,2,2.1,9,9.4,5,5.2,17,17.7,3,3.1
児童・生徒別,高校生,201,100,127,63.2,42,20.9,11,5.5,3,1.5,2,1,16,8,8,4,8,4,4,2
子供の性別,男子,216,100,102,47.2,31,14.4,11,5.1,6,2.8,3,1.4,13,6,12,5.6,57,26.4,7,3.2
子供の性別,女子,209,100,109,52.2,34,16.3,12,5.7,4,1.9,2,1,18,8.6,4,1.9,39,18.7,2,1
児童・生徒×子供の性別,小学生男子,65,100,18,27.7,3,4.6,0,0,4,6.2,0,0,2,3.1,2,3.1,41,63.1,2,3.1
児童・生徒×子供の性別,小学生女子,63,100,23,36.5,3,4.8,2,3.2,2,3.2,1,1.6,4,6.3,1,1.6,30,47.6,0,0
児童・生徒×子供の性別,中学生男子,46,100,18,39.1,7,15.2,7,15.2,0,0,1,2.2,4,8.7,3,6.5,11,23.9,3,6.5
児童・生徒×子供の性別,中学生女子,50,100,25,50,10,20,3,6,1,2,1,2,5,10,2,4,6,12,0,0
児童・生徒×子供の性別,高校生男子,105,100,66,62.9,21,20,4,3.8,2,1.9,2,1.9,7,6.7,7,6.7,5,4.8,2,1.9
