区分１,区分２,度数計,割合計,子どもを信用しており不要だから_度数,子どもを信用しており不要だから_割合,子どもが有害情報を含むアプリをダウンロードしないよう、保護者として適切に管理でき_度数,子どもが有害情報を含むアプリをダウンロードしないよう、保護者として適切に管理でき_割合,利用制限サービスの利用方法が分からない_度数,利用制限サービスの利用方法が分からない_割合,利用制限サービスの必要性が分からない_度数,利用制限サービスの必要性が分からない_割合,子どもに利用制限サービスの設定をしないようにせがまれて、仕方なく_度数,子どもに利用制限サービスの設定をしないようにせがまれて、仕方なく_割合,利用制限サービス自体を知らない_度数,利用制限サービス自体を知らない_割合,無料サービスのものがあることを知らず、お金がかかると思った_度数,無料サービスのものがあることを知らず、お金がかかると思った_割合,購入時に説明を受けなかったから_度数,購入時に説明を受けなかったから_割合,その他_度数,その他_割合
全体,全体,518,100,227,43.8,114,22,57,11,17,3.3,21,4.1,23,4.4,26,5,21,4.1,12,2.3
児童・生徒別,小学生,74,100,22,29.7,23,31.1,8,10.8,3,4.1,3,4.1,6,8.1,3,4.1,4,5.4,2,2.7
児童・生徒別,中学生,172,100,65,37.8,47,27.3,21,12.2,4,2.3,7,4.1,8,4.7,9,5.2,5,2.9,6,3.5
児童・生徒別,高校生,272,100,140,51.5,44,16.2,28,10.3,10,3.7,11,4,9,3.3,14,5.1,12,4.4,4,1.5
子供の性別,男子,257,100,110,42.8,50,19.5,25,9.7,11,4.3,12,4.7,14,5.4,12,4.7,14,5.4,9,3.5
子供の性別,女子,261,100,117,44.8,64,24.5,32,12.3,6,2.3,9,3.4,9,3.4,14,5.4,7,2.7,3,1.1
児童・生徒×子供の性別,小学生男子,31,100,9,29,11,35.5,2,6.5,1,3.2,1,3.2,3,9.7,1,3.2,2,6.5,1,3.2
児童・生徒×子供の性別,小学生女子,43,100,13,30.2,12,27.9,6,14,2,4.7,2,4.7,3,7,2,4.7,2,4.7,1,2.3
児童・生徒×子供の性別,中学生男子,80,100,27,33.8,19,23.8,9,11.3,1,1.3,6,7.5,5,6.3,4,5,3,3.8,6,7.5
児童・生徒×子供の性別,中学生女子,92,100,38,41.3,28,30.4,12,13,3,3.3,1,1.1,3,3.3,5,5.4,2,2.2,0,0
児童・生徒×子供の性別,高校生男子,146,100,74,50.7,20,13.7,14,9.6,9,6.2,5,3.4,6,4.1,7,4.8,9,6.2,2,1.4
児童・生徒×子供の性別,高校生女子,126,100,66,52.4,24,19,14,11.1,1,0.8,6,4.8,3,2.4,7,5.6,3,2.4,2,1.6
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,285,100,126,44.2,70,24.6,24,8.4,8,2.8,13,4.6,12,4.2,15,5.3,12,4.2,5,1.8
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,37,100,21,56.8,5,13.5,6,16.2,3,8.1,0,0,0,0,0,0,2,5.4,0,0
携帯電話の購入所別,家電量販店,104,100,49,47.1,13,12.5,18,17.3,3,2.9,7,6.7,4,3.8,5,4.8,2,1.9,3,2.9
携帯電話の購入所別,インターネット販売,67,100,25,37.3,17,25.4,8,11.9,1,1.5,1,1.5,4,6,5,7.5,2,3,4,6
携帯電話の購入所別,その他,22,100,5,22.7,8,36.4,1,4.5,2,9.1,0,0,2,9.1,1,4.5,3,13.6,0,0
携帯電話の購入所別,わからない,3,100,1,33.3,1,33.3,0,0,0,0,0,0,1,33.3,0,0,0,0,0,0
フィルタリングサービスの加入状況別,加入している,87,100,31,35.6,29,33.3,12,13.8,1,1.1,2,2.3,3,3.4,3,3.4,3,3.4,3,3.4
フィルタリングサービスの加入状況別,加入している,353,100,173,49,68,19.3,32,9.1,14,4,14,4,15,4.2,19,5.4,11,3.1,7,2
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,14,100,1,7.1,4,28.6,6,42.9,0,0,2,14.3,0,0,0,0,0,0,1,7.1
フィルタリングサービスの加入状況別,わからない,64,100,22,34.4,13,20.3,7,10.9,2,3.1,3,4.7,5,7.8,4,6.3,7,10.9,1,1.6
利用制限サービスの加入状況別,加入している,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,39,23.4,66,39.5,23,13.8,3,1.8,8,4.8,9,5.4,12,7.2,3,1.8,4,2.4
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,188,53.6,48,13.7,34,9.7,14,4,13,3.7,14,4,14,4,18,5.1,8,2.3
利用制限サービスの加入状況別,わからない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,145,100,69,47.6,44,30.3,4,2.8,6,4.1,1,0.7,6,4.1,5,3.4,4,2.8,6,4.1
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,260,100,106,40.8,62,23.8,32,12.3,6,2.3,14,5.4,13,5,12,4.6,12,4.6,3,1.2
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,92,100,40,43.5,7,7.6,19,20.7,4,4.3,5,5.4,3,3.3,8,8.7,3,3.3,3,3.3
利用状況の管理状態別,子供の利用状況に関心がない,21,100,12,57.1,1,4.8,2,9.5,1,4.8,1,4.8,1,4.8,1,4.8,2,9.5,0,0
利用状況の管理状態別,その他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,168,100,74,44,45,26.8,18,10.7,3,1.8,8,4.8,8,4.8,7,4.2,3,1.8,2,1.2
説明・学習経験別,インターネットで調べた,183,100,61,33.3,57,31.1,22,12,5,2.7,10,5.5,10,5.5,9,4.9,6,3.3,3,1.6
説明・学習経験別,学校から配布される資料等を読んだ,178,100,76,42.7,49,27.5,20,11.2,7,3.9,7,3.9,2,1.1,8,4.5,4,2.2,5,2.8
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,134,100,49,36.6,36,26.9,15,11.2,7,5.2,5,3.7,4,3,8,6,5,3.7,5,3.7
説明・学習経験別,知識のある知人から説明を受けた,29,100,8,27.6,7,24.1,5,17.2,2,6.9,1,3.4,2,6.9,1,3.4,2,6.9,1,3.4
説明・学習経験別,販売店等から詳しく説明をうけた,32,100,11,34.4,9,28.1,6,18.8,2,6.3,2,6.3,0,0,1,3.1,1,3.1,0,0
説明・学習経験別,公共施設などで開催された講座に参加した,12,100,4,33.3,1,8.3,3,25,0,0,3,25,1,8.3,0,0,0,0,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,110,100,63,57.3,12,10.9,7,6.4,6,5.5,1,0.9,5,4.5,6,5.5,8,7.3,2,1.8
説明・学習経験別,その他,2,100,0,0,1,50,0,0,1,50,0,0,0,0,0,0,0,0,0,0
