公金支出情報（平成３０年度　給与関係費等）,,,,,,,,,,
,,,,,,,（単位：円）,,,
,給料,手当及び退職給付費,賃金及び報酬,法定福利費,報償費,災害補償費,総計,,,
平成30年04月,"731,135,064","1,602,079,995","32,792,396","220,705,229","250,126",0,"2,586,962,810",,,
平成30年05月,"733,672,035","264,995,364","21,598,185","201,592,210","1,189,397",0,"1,223,047,191",,,
平成30年06月,"731,921,756","2,260,537,654","21,598,274","542,192,816","1,235,083",0,"3,557,485,583",,,
平成30年07月,"733,066,580","277,701,916","21,474,708","210,092,780","1,492,643",0,"1,243,828,627",,,
平成30年08月,"733,489,602","278,146,851","21,408,821","200,063,408","1,328,134",0,"1,234,436,816",,,
平成30年09月,"733,368,866","261,590,745","21,580,987","483,721,157","1,135,840",0,"1,501,397,595",,,
平成30年10月,"733,812,621","539,046,605","33,259,043","205,681,009","1,226,543",0,"1,513,025,821",,,
平成30年11月,"732,260,611","286,606,563","21,994,516","199,142,505","1,233,307",0,"1,241,237,502",,,
平成30年12月,"731,277,749","2,490,035,098","21,897,695","582,332,428","1,210,017",0,"3,826,752,987",,,
平成31年01月,"730,428,531","306,968,894","21,671,470","223,956,770","1,371,687",0,"1,284,397,352",,,
平成31年02月,"729,694,808","331,029,985","21,421,634","198,382,905","1,290,623",0,"1,281,819,955",,,
平成31年03月,"728,877,810","311,956,783","21,766,440","198,615,039","2,023,890",0,"1,263,239,962",,,
総計,"8,783,006,033","9,210,696,453","282,464,169","3,466,478,256","14,987,290",0,"21,757,632,201",,,
