"年月[西暦]","施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"202304","歯科室　ｔｈｅ　ｂｒｕｓｈ","東京都港区赤坂五丁目1番35号","1階","03-6441-2850","2023/4/6","歯科、矯正歯科、小児歯科、歯科口腔外科","35.673917","139.736047"
"202304","赤坂さくら歯科クリニック","東京都港区赤坂五丁目4番6号","赤坂三辻ビル5階","03-6807-4817","2023/4/1","歯科、小児歯科、矯正歯科、歯科口腔外科","35.672202","139.736034"
"202304","医療法人社団杏林会　青山外苑矯正歯科","東京都港区北青山二丁目7番22号","H・T・神宮外苑ビル4階","03-3404-0418","2023/4/21","矯正歯科、歯科","35.670843","139.717058"
"202304","東京新橋歯科口腔外科","東京都港区新橋四丁目26番4号","愛場新橋タワー6階","03-6403-1441","2023/4/1","歯科口腔外科","35.664085","139.755525"
"202304","伊皿子おおね歯科医院","東京都港区高輪一丁目5番21号","ルート高輪ビル1階","03-5421-4182","2023/4/3","歯科、矯正歯科、小児歯科、歯科口腔外科","35.641024","139.73756"
"202305","パルフェクリニック歯科医科","東京都港区北青山三丁目11番7号","AOビル3階","03-6452-6035","2023/5/31","歯科、小児歯科、歯科口腔外科、矯正歯科、内科","35.663812","139.710655"
"202305","ＬＩＮＯ　ＤＥＮＴＡＬ　ＯＦＦＩＣＥ","東京都港区南青山一丁目26番4号","六本木ダイヤビル2階","03-5843-0113","2023/5/1","歯科、小児歯科、歯科口腔外科、矯正歯科","35.666789","139.727303"
"202305","ルーチェＭＰ矯正歯科","東京都港区南青山五丁目5番4号","ルーチェ南青山A棟B1F","03-6427-4688","2023/4/15","矯正歯科","35.663280","139.713516"
"202305","けやき坂ゆみ歯科医院","東京都港区南青山七丁目14番6号","南青山TCビル4階","03-6427-3253","2023/5/21","歯科、小児歯科、歯科口腔外科","35.656733","139.717955"
"202306","十番歯科","東京都港区麻布十番一丁目11番7号","カニエビル3階",,"2023/6/30","歯科、矯正歯科、歯科口腔外科、小児歯科","35.655780","139.736852"
"202306","ドルミーレデンタルオフィス表参道","東京都港区北青山三丁目5番40号","YCビル2 1階","03-6804-3228","2023/6/24","歯科、小児歯科、矯正歯科、歯科口腔外科","35.666756","139.711733"
"202306","芝ポーラ歯科","東京都港区芝二丁目6番3号","三宅ビル1階","03-6453-6365","2023/6/2","歯科、矯正歯科、小児歯科、歯科口腔外科","35.652891","139.750698"
"202306","田町芝浦おだなか歯科クリニック","東京都港区芝浦一丁目14番7号","ソレア1階101号室","03-6665-8681","2023/6/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.646934","139.752831"
"202306","富沢歯科医院","東京都港区白金台二丁目11番8号","永昌高輪台ビル4階","03-5447-5711","2023/6/1","歯科、矯正歯科","35.632516","139.730637"
"202306","医療法人社団矢澤歯科医院","東京都港区西新橋一丁目17番10号","正明冨士ビル4階","03-3591-1961","2023/6/1","歯科","35.667318","139.753569"
"202306","虎ノ門西新橋ナカモト歯科クリニック","東京都港区西新橋一丁目22番10号","西新橋アネックスビル1階","03-3580-6070","2023/6/1","歯科、矯正歯科","35.667929","139.751692"
"202306","麻布デンティスト歯科・口腔外科","東京都港区東麻布一丁目17番7号","TheWealth麻布1・2階",,"2023/6/6","歯科、小児歯科、歯科口腔外科、矯正歯科","35.656217","139.743308"
"202307","みつこ歯科医院","東京都港区赤坂二丁目9番11号","オリックス赤坂2丁目ビル地下2階 302号室 ","03-6441-3789","2023/7/1","歯科、歯科口腔外科、矯正歯科","35.671072","139.740973"
"202307","東京浜松町大西歯科クリニック","東京都港区海岸一丁目2番3号","汐留芝離宮ビルディング地下1階","03-3432-1084","2023/7/1","歯科、矯正歯科、歯科口腔外科","35.656996","139.758739"
"202307","汐留高橋歯科医院","東京都港区東新橋二丁目5番14号","MSK新橋ビル1階","03-6274-6442","2023/7/1","歯科、歯科口腔外科、小児歯科、矯正歯科","35.662911","139.757631"
"202307","ＡＲＴＩＳＡＮ　ＤＥＮＴＡＬ　ＯＦＦＩＣＥ　Ｏｍｏｔｅｓａｎｄｏ","東京都港区南青山三丁目13番22号","善光堂ビル4階",,"2023/7/10","歯科口腔外科、小児歯科、矯正歯科、歯科","35.665741","139.713440"
"202307","ホワイトスマイルクリニック","東京都港区六本木四丁目3番11号","六本木ユニハウス221号","03-6803-8720","2023/6/20","歯科","35.666070","139.733868"
"202308","浜松町歯科・矯正治療院","東京都港区海岸一丁目10番30号","アトレ竹芝タワー棟3階","03-5422-1291","2023/8/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.655884","139.762831"
"202308","ルポール　デンタルクリニック","東京都港区白金台五丁目13番31号","白金台MHテラス102・103号室","03-6455-7310","2023/8/4","歯科、矯正歯科、小児歯科、歯科口腔外科","35.637925","139.722218"
