市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,区登録年度,国登録年度,,
131202,0000000001,東京都　,練馬区,八丁堀三吉囃子,ハッチョウボリサンキチバヤシ,,,区登録無形民俗文化財,,,東京都練馬区旭町地域,,,,,,,,,八丁堀三吉囃子保存会,,,,,,,,,,,,https://www.city.nerima.tokyo.jp/kankomoyoshi/annai/rekishiwoshiru/rekishibunkazai/bunkazai/bhayashi.html,,1989,,,
131202,0000000002,東京都　,練馬区,本覚寺の版木〈非公開〉,ホンガクジノハンギ,,,区登録有形民俗文化財,,,東京都練馬区旭町1-26,,35.764561,139.621394,,,,,,本覚寺,,,,,,,,,,,,https://www.city.nerima.tokyo.jp/kankomoyoshi/annai/rekishiwoshiru/rekishibunkazai/bunkazai/hongakuji.html,,2012,,,
131202,0000000003,東京都　,練馬区,丸彫聖観音立像廻国供養塔,マルボリショウカンノンリュウゾウカイコククヨウトウ,,,区登録有形民俗文化財,,,東京都練馬区旭町2-28,,35.773035,139.626716,,,,,,練馬区,,,,,,,,,,,,https://www.city.nerima.tokyo.jp/kankomoyoshi/annai/rekishiwoshiru/rekishibunkazai/bunkazai/b1107.html,,1999,,,
131202,0000000004,東京都　,練馬区,小美濃英男家文書〈非公開〉,オミノヒデオケモンジョ,,,区登録有形文化財・区指定有形文化財,美術工芸品,,東京都練馬区大泉学園町2,,,,,,,,,個人,2000-01-26,,,,,,,,,,,https://www.city.nerima.tokyo.jp/kankomoyoshi/annai/rekishiwoshiru/rekishibunkazai/bunkazai/b0703.html,,1995,,,
131202,0000000005,東京都　,練馬区,旧大泉村役場跡,キュウオオイズミムラヤクバアト,,,区登録史跡,,,東京都練馬区大泉学園町2-2,,35.754467,139.584362,,,,,,練馬区,,,,,,,,,,,,https://www.city.nerima.tokyo.jp/kankomoyoshi/annai/rekishiwoshiru/rekishibunkazai/bunkazai/b048.html,,1989,,,
131202,0000000006,東京都　,練馬区,力持ち惣兵衛の馬頭観音,チカラモチソウベエノバトウカンノン,,,区登録有形民俗文化財,,,東京都練馬区大泉学園町2-27地先,,35.755912,139.584190,,,,,,個人,,,,,,,,,,,,https://www.city.nerima.tokyo.jp/kankomoyoshi/annai/rekishiwoshiru/rekishibunkazai/bunkazai/b040.html,,1995,,,
131202,0000000007,東京都　,練馬区,中里囃子,ナカザトバヤシ,,,区登録無形民俗文化財,,,東京都練馬区大泉町地域,,,,,,,,,中里囃子連,,,,,,,,,,,,https://www.city.nerima.tokyo.jp/kankomoyoshi/annai/rekishiwoshiru/rekishibunkazai/bunkazai/bhayashi.html,,1993,,,
131202,0000000008,東京都　,練馬区,カタクリ群落,カタクリグンラク,,,区登録天然記念物,,,東京都練馬区大泉町1-6,,35.764592,139.608034,,,,,,練馬区,,,,,,,,,,,,https://www.city.nerima.tokyo.jp/kankomoyoshi/annai/rekishiwoshiru/rekishibunkazai/bunkazai/b053.html,,1989,,,
131202,0000000009,東京都　,練馬区,中里の富士塚,ナカザトノフジヅカ,,,区登録有形民俗文化財・区指定有形民俗文化財,,,東京都練馬区大泉町1-44,,35.767382,139.606514,,,,,,中里富士講（管理者）,1991-02-12,,,,,,,,,,,https://www.city.nerima.tokyo.jp/kankomoyoshi/annai/rekishiwoshiru/rekishibunkazai/bunkazai/b017.html,,1986,,,
131202,0000000010,東京都　,練馬区,尾張殿鷹場碑,オワリドノタカバヒ,,,区登録有形文化財,美術工芸品,,東京都練馬区大泉町3-16,,35.765875,139.599791,,,,,,練馬区,,,,,,,,,,,,https://www.city.nerima.tokyo.jp/kankomoyoshi/annai/rekishiwoshiru/rekishibunkazai/bunkazai/b029.html,,1989,,,
131202,0000000011,東京都　,練馬区,伊賀衆奉納の水盤・鳥居,イガシュウホウノウノスイバン・トリイ,,,区登録有形文化財・区指定有形文化財,建造物,,東京都練馬区大泉町5-15,,35.758389,139.594667,,,,,,氷川神社,2003-02-17,,,,,,,,,,,https://www.city.nerima.tokyo.jp/kankomoyoshi/annai/rekishiwoshiru/rekishibunkazai/bunkazai/b028.html,,1988,,,
