年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1104かつお(生)(100g)/円,1116かつお(たたき)(100g)/円,1105かれい(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(輸入品)(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(バラ)(100g)/円,1212豚肉(もも)(100g)/円,1221鶏肉(100g)/円,1241レバー(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきだけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1513レモン(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(輸入品)(1kg)/円,1516いよかん(1kg)/円,1517しらぬひ(1kg)/円,1521なし(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541かき(果物)(1kg)/円,1551もも(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成27年７月,2015,7,401,112,86,171,188,154,278,109,66,586,259,102,271,318,124,...,221,858,267,223,192,135,131,167,995,266,900,437,150,701,1923,564,474,1009,188,385,799,302,2032,744,1493,1335,1791,491,498,666,608,774,1662,970,495,667,...,801,...,771,327,481,...,...,...,1372,2187,...,939,314,522,...,2458,240,884,193,214,306
平成27年８月,2015,8,401,112,95,226,190,169,280,116,111,588,258,105,287,320,127,...,220,850,260,224,191,137,132,188,1249,290,729,504,149,673,1705,597,437,904,199,431,828,320,1601,761,1530,1350,1987,465,488,549,593,824,1757,611,510,656,770,...,...,776,306,457,...,...,601,1132,1447,...,916,356,617,...,...,244,877,192,227,296
平成27年８月上旬,2015,8上,396,104,96,205,186,147,...,107,88,579,247,96,...,...,...,...,...,...,...,...,...,...,...,169,1162,261,717,480,...,666,1741,...,...,...,184,...,...,329,1792,...,...,1300,1758,463,473,561,584,805,...,621,...,...,711,...,...,...,...,...,...,...,601,1147,1595,...,864,327,564,...,...,243,...,190,215,299
平成27年８月中旬,2015,8中,391,103,89,242,194,171,280,118,85,578,260,106,287,320,127,...,220,850,260,224,191,137,132,198,1242,293,699,535,149,646,1675,597,437,904,200,431,828,316,1584,761,1530,1362,1963,474,482,531,594,813,1757,615,510,656,787,...,...,776,306,457,...,...,608,1113,1400,...,914,338,620,...,...,245,877,193,232,294
平成27年８月下旬,2015,8下,415,128,101,232,190,188,...,124,160,605,268,112,...,...,...,...,...,...,...,...,...,...,...,197,1343,315,770,497,...,707,1700,...,...,...,211,...,...,314,1426,...,...,1387,2240,458,510,555,601,854,...,597,...,...,811,...,...,...,...,...,...,...,593,1136,1347,...,968,401,667,...,...,245,...,193,232,295
平成27年９月上旬,2015,9上,396,127,88,196,195,147,...,117,122,596,246,91,...,...,...,...,...,...,...,...,...,...,...,207,1346,292,651,526,...,897,1659,...,...,...,211,...,...,275,1200,...,...,1230,2280,479,758,582,715,849,...,896,...,...,589,...,707,...,...,...,...,...,564,1251,1235,...,1003,...,...,...,...,245,...,188,217,304
平成27年９月中旬,2015,9中,373,112,121,207,196,176,294,120,115,588,255,96,285,319,126,...,223,890,269,223,196,135,134,221,1359,290,653,619,149,848,1796,555,343,809,204,418,817,264,1167,755,1502,1201,2200,467,731,587,781,812,1898,960,555,690,569,...,763,787,323,437,...,...,512,1265,1206,...,1008,...,...,...,...,235,863,188,219,306
銘柄改正年月,,,,,,,H27.1,,,,,,,,,,,,,,,H27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H27.1,,,,,,,,,,H27.1,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成27年９月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
