総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素原材料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,(参考)生産財(1)+(2),(参考)投資財注3)
品目数,,,1213,912,301,76,617,420,104,19,74,520,153,367,73,294,693,260
ウエイト,,,1000,789.64,210.36,98.445,516.205,336.324,59.252,63.731,56.898,385.35,104.397,280.953,70.923,210.03,614.65,164.423
平成22年平均,2010,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
平成23年平均,2011,,102.7,101.5,107.5,118.6,102.4,101.5,102,109.6,100.7,99.1,97.6,99.6,92.7,101.9,105,99.2
平成24年平均,2012,,102,100.6,107.2,120,101.5,98.7,101,116.9,100.9,98.1,97.3,98.4,87.5,102.1,104.4,98.6
平成25年平均,2013,,106.2,101.9,122.7,135.9,105.2,101.4,105.1,128,102.5,100.1,98.4,100.7,86.8,105.4,110.1,100.8
平成26年平均,2014,,108.2,102.9,128,138.3,108,103.2,109.1,136.2,103.3,100.8,99.3,101.4,86,106.6,112.8,102.8
平成21年度平均,2009,,99,99.8,95.7,90.6,99.1,99.2,99.6,95.3,101.5,101.1,101.3,101.1,103.8,100.1,97.8,100.7
平成22年度平均,2010,,100.4,100.2,101.2,103.7,100.4,100.3,100.5,101.7,99.7,99.6,99.2,99.7,97.9,100.3,100.9,99.7
平成23年度平均,2011,,103,101.6,108.3,121.1,102.6,101.2,102.1,112.2,100.9,98.9,97.5,99.4,91.2,102.1,105.6,99.2
平成24年度平均,2012,,102.5,100.5,110.1,122.9,101.8,98.8,101.3,118.5,101.2,98.3,97.4,98.7,87.1,102.6,105.2,98.8
平成25年度平均,2013,,107.1,102.4,125.1,138,106.2,102,106.6,131.3,102.7,100.4,98.6,101.1,86.5,106,111.3,101.5
平成26年2月,2014,2,108.1,102.8,127.8,140.7,107.4,103,108.8,133.5,102.8,100.7,98.7,101.4,86,106.6,112.7,102.4
平成26年3月,2014,3,108,102.8,127.5,139.6,107.4,102.8,108.7,134.4,102.8,100.8,99,101.5,86,106.7,112.5,102.5
平成26年4月,2014,4,108,102.9,127,139.3,107.6,102.6,109.1,136.6,103.3,100.5,98.8,101.1,86,106.2,112.7,102.5
平成26年5月,2014,5,107.9,103.1,126,137.8,107.9,102.6,109,138.3,103.4,100.4,98.8,100.9,85.8,106,112.7,102.5
平成26年6月,2014,6,108.1,103.2,126.3,138.2,108,102.8,109.1,139,103.4,100.5,98.9,101,85.8,106.2,112.9,102.6
平成26年7月,2014,7,108.3,103.6,126,137.7,108.6,103,109,142.3,103.4,100.4,98.6,101.1,85.7,106.3,113.3,102.4
平成26年8月,2014,8,108.4,103.5,126.8,137.8,108.7,103.3,109,141.3,103.6,100.5,98.9,101.1,85.6,106.3,113.3,102.6
平成26年9月,2014,9,108.9,103.4,129.5,139.7,108.9,103.8,109.2,140.3,103.6,101.1,99.4,101.7,85.8,107.1,113.8,103
平成26年10月,2014,10,107.9,102.6,128,136.1,107.7,103.2,109.5,133.9,103.1,101,99.8,101.4,85.3,106.8,112.3,103.3
平成26年11月,2014,11,108.5,102.3,131.6,137.5,108.1,104.1,109.6,132.2,103.4,101.6,100.4,102,86.4,107.3,112.8,103.7
平成26年12月,2014,12,107.6,101.8,129.4,131.8,107.5,103.9,109.8,128.4,103.3,101.5,100.7,101.8,86.8,106.8,111.4,104
平成27年1月,2015,1,104.8,100.4,121.5,117.9,105.4,101.9,109.4,122.2,103.7,100.7,100.6,100.7,86.6,105.5,107.4,103.8
平成27年2月注1),2015,2,103.5,100.4,115.1,106.7,104.9,101.3,109.3,121.8,103.2,100.8,100.7,100.8,86.5,105.6,105.2,103.9
前月比(%),,,-1.2,0,-5.3,-9.5,-0.5,-0.6,-0.1,-0.3,-0.5,0.1,0.1,0.1,-0.1,0.1,-2,0.1
前年同月比(%),,,-4.3,-2.3,-9.9,-24.2,-2.3,-1.7,0.5,-8.8,0.4,0.1,2,-0.6,0.6,-0.9,-6.7,1.5
,,,,,,,,,,,,,,,,,,
東京の物価／平成27年3月,,,,,,,,,,,,,,,,,,
参考表３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,
注 1)  最新月の数値は速報値のため、後日訂正される場合がある。,,,,,,,,,,,,,,,,,,
注 2)　平成22年（2010年）基準から、従来の「加工食品」を「食料品・飲料・たばこ・飼料」に変更したほか、従来の類別「一般機器」「精密機器」を類別「はん用機器」「生産用機器」「業務用機器」「その他工業製品」に組み替えている。,,,,,,,,,,,,,,,,,,
注 3)  投資財：(3)＋(4)＋素原材料内建設用材料,,,,,,,,,,,,,,,,,,
