年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1104かつお(生)(100g)/円,1116かつお(たたき)(100g)/円,1105かれい(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(輸入品)(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(バラ)(100g)/円,1212豚肉(もも)(100g)/円,1221鶏肉(100g)/円,1241レバー(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきだけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1513レモン(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(輸入品)(1kg)/円,1516いよかん(1kg)/円,1517しらぬひ(1kg)/円,1521なし(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541かき(果物)(1kg)/円,1551もも(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成27年６月上旬,2015,6上,391,91,90,233,191,138,...,110,67,584,251,106,...,...,...,...,...,...,...,...,...,...,...,216,797,337,815,430,...,680,1796,...,...,...,166,...,...,293,1789,...,...,1630,1989,402,471,657,672,817,...,860,...,...,...,659,...,...,...,...,...,...,...,2137,...,...,...,438,772,...,3728,239,...,189,217,310
平成27年６月中旬,2015,6中,390,106,84,250,203,167,266,101,68,575,244,109,282,320,118,...,222,864,264,224,196,135,131,167,794,302,756,366,148,755,1858,534,443,923,150,431,801,298,2245,770,1518,1516,1880,444,452,639,645,748,1678,846,488,657,...,656,...,754,398,499,...,...,...,1892,...,...,...,398,708,...,3144,235,861,190,215,303
平成27年６月下旬,2015,6下,385,102,87,176,196,128,...,91,67,593,262,106,...,...,...,...,...,...,...,...,...,...,...,181,774,294,768,381,...,734,2021,...,...,...,163,...,...,296,2568,...,...,1416,1875,457,507,626,627,770,...,830,...,...,...,711,...,...,...,...,...,...,...,1703,...,...,...,350,628,...,2251,234,...,189,214,302
平成27年７月上旬,2015,7上,399,110,88,173,194,152,...,101,66,567,251,98,...,...,...,...,...,...,...,...,...,...,...,171,901,261,899,401,...,733,1940,...,...,...,179,...,...,288,2116,...,...,1254,1841,497,502,658,633,740,...,972,...,...,...,768,...,...,...,...,...,...,...,1546,2273,...,976,315,522,...,2396,231,...,196,217,307
平成27年７月中旬,2015,7中,402,119,89,174,189,149,278,116,65,601,251,107,271,318,124,...,221,858,267,223,192,135,131,160,1012,266,942,421,150,703,1920,564,474,1009,190,385,799,303,1987,744,1493,1293,1775,500,495,695,603,769,1662,974,495,667,...,816,...,771,327,481,...,...,...,1350,2258,...,914,318,528,...,2591,241,884,194,212,308
銘柄改正年月,,,,,,,H27.1,,,,,,H26.7,,,,,,,,,H27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H27.1,,,,,,,,,,H27.1,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成27年７月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
