年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1104かつお(生)(100g)/円,1116かつお(たたき)(100g)/円,1105かれい(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(輸入品)(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(バラ)(100g)/円,1212豚肉(もも肉)(100g)/円,1221鶏肉(100g)/円,1241レバー(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきだけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1513レモン(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(輸入品)(1kg)/円,1516いよかん(1kg)/円,1517しらぬひ(1kg)/円,1521なし(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541かき(果物)(1kg)/円,1551もも(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成27年１月,2015,1,425,118,100,...,...,164,289,109,72,590,286,85,304,341,127,379,231,822,257,219,191,137,128,229,1012,133,571,827,151,750,2339,449,313,601,154,297,745,242,977,775,1431,...,2238,489,742,873,663,1161,1814,...,630,854,...,435,590,644,419,441,476,...,...,...,...,...,...,...,...,1770,...,224,859,189,218,318
平成27年２月,2015,2,411,137,104,...,...,165,280,114,71,586,276,86,299,334,127,360,227,814,262,226,200,135,130,202,824,136,510,576,152,654,1956,506,316,593,170,286,809,245,1016,733,1467,...,2219,457,678,874,696,1193,1858,...,570,794,...,447,600,699,413,498,430,794,...,...,...,...,...,...,...,1753,...,224,878,188,217,323
平成27年２月上旬,2015,2上,405,126,120,...,...,164,...,127,71,579,274,90,...,...,...,369,...,...,...,...,...,...,...,216,840,135,510,587,...,660,2107,...,...,...,167,...,...,245,972,...,...,...,2179,470,704,889,693,1231,...,...,...,...,...,448,590,...,...,...,429,849,...,...,...,...,...,...,...,1788,...,219,...,190,219,321
平成27年２月中旬,2015,2中,410,141,111,...,...,161,280,109,70,591,279,90,299,334,127,360,227,814,262,226,200,135,130,202,832,134,519,588,152,671,1847,506,316,593,179,286,809,244,1024,733,1467,...,2176,446,690,904,673,1202,1858,...,570,794,...,428,611,699,413,498,424,791,...,...,...,...,...,...,...,1715,...,227,878,188,218,329
平成27年２月下旬,2015,2下,418,144,83,...,...,168,...,106,72,587,274,76,...,...,...,350,...,...,...,...,...,...,...,187,800,138,501,552,...,633,1915,...,...,...,166,...,...,245,1052,...,...,...,2302,456,641,830,723,1147,...,...,...,...,...,464,598,...,...,...,438,741,...,...,...,...,...,...,...,1755,...,227,...,187,214,319
平成27年３月上旬,2015,3上,407,114,78,264,189,181,...,117,69,563,276,99,...,...,...,353,...,...,...,...,...,...,...,172,754,142,520,547,...,637,1778,...,...,...,166,...,...,242,1041,...,...,...,2168,434,668,796,726,1089,...,1226,...,...,...,451,589,...,...,...,419,649,...,...,...,...,...,...,...,1682,...,228,...,185,214,324
平成27年３月中旬,2015,3中,408,133,86,239,183,170,282,119,68,593,280,105,289,334,116,352,229,845,260,225,194,136,130,153,739,157,498,493,150,640,1795,493,324,610,160,283,830,241,1049,752,1482,...,2238,424,697,821,773,1111,1760,1194,513,713,...,454,623,731,414,494,435,637,...,...,...,...,...,...,...,1690,...,236,827,188,218,327
銘柄改正年月,,,,,,,H27.1,,,,,,H26.7,,,,,,,,,H27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H27.1,,,,,,,,,,H27.1,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成27年３月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
