年月,西暦（年）,月,消費者物価指数(平成22年=100）/全国,消費者物価指数(平成22年=100）/東京都区部,戦前基準指数(昭和9～11年=1)/企業物価指数,注1)消費水準指数全国(平成22年=100）/二人以上の世帯,注1)消費水準指数全国(平成22年=100）/二人以上の世帯のうち勤労者世帯,東京都生計分析調査（勤労者世帯）/実収入（円）,東京都生計分析調査（勤労者世帯）/消費支出（円）,東京都生計分析調査（勤労者世帯）/注3)/平均消費性向（％）,東京都生計分析調査（勤労者世帯）/注4)/公共的料金負担率（％）,注2)実質賃金指数東京都/調査産業計
平成6年平均,1994,,101.2,103.8,693.7,107.9,106.7,669665,395193,70.9,27,-
平成7年平均,1995,,101.1,103.5,687.2,107.5,106.5,648892,380868,70.7,27.8,-
平成8年平均,1996,,101.2,103.5,688,108,107.3,629627,379877,72.6,28.5,-
平成9年平均,1997,,103.1,104.9,698.4,108.1,107.8,655940,386106,71.7,28.9,-
平成10年平均,1998,,103.7,105.7,687.5,105.8,106,656646,377118,69.2,27.4,-
平成11年平均,1999,,103.4,105.3,664.3,104.7,103.9,642848,366762,68.5,28.2,-
平成12年平均,2000,,102.7,104.2,664.2,103.9,103.4,643946,372835,69.7,28.9,-
平成13年平均,2001,,101.9,103.1,658,102.8,103,628068,364721,69.8,29.5,-
平成14年平均,2002,,101,102.1,645.7,103,102.5,633711,361608,68.2,29.4,-
平成15年平均,2003,,100.7,101.6,637.3,102.3,101.5,583065,355982,73.2,29.8,-
平成16年平均,2004,,100.7,101.5,644.7,102.6,102.9,596372,362122,72.7,30.1,-
平成17年平均,2005,,100.4,101,665,102.6,103,578340,352303,72.8,29.5,-
平成18年平均,2006,,100.7,101.1,692.7,100.5,100,585818,350664,72.4,29.5,102.6
平成19年平均,2007,,100.7,101.2,711.9,101.4,100.7,574514,346256,73,29.9,103.7
平成20年平均,2008,,102.1,102.2,736.6,99.5,99.3,581293,343972,72.4,29.2,103.8
平成21年平均,2009,,100.7,101,664.4,99.7,99.4,598723,359096,74.1,29.1,99.2
平成22年平均,2010,,100,100,668.5,100,100,615748,363141,73.2,28.4,100
平成23年平均,2011,,99.7,99.5,680.9,97.9,97.3,565071,337458,73.8,30.2,99.8
平成24年平均,2012,,99.7,99,674.4,98.8,98.6,575440,348158,75.2,29.6,99.4
平成25年平均,2013,,100,99.1,711.1,100.2,100,578628,363721,78.2,30,99.7
平成26年平均,2014,,102.8,101.4,735.5,97.4,96.9,585636,353261,75.8,28.7,97.1
平成25年6月,2013,6,99.8,98.9,707.2,94.5,94.5,832662,371202,56.3,27.2,-
平成25年7月,2013,7,100,99,713,96.8,95.3,643942,378071,74.8,26.6,-
平成25年8月,2013,8,100.3,99.3,710.8,96,95.8,520428,364945,86.2,25.6,-
平成25年9月,2013,9,100.6,99.5,716.4,97.5,99.6,490718,374207,96,33.1,-
平成25年10月,2013,10,100.7,99.6,713.6,97.6,96.7,516001,336365,80.5,33,-
平成25年11月,2013,11,100.8,99.7,717.6,96.9,95,493430,350728,88.9,26.4,-
平成25年12月,2013,12,100.9,99.7,726.6,112.2,109.3,976594,384054,48.1,26.6,-
平成26年1月,2014,1,100.7,99.3,728.9,100,99.6,510311,338772,82.7,30.2,79.4
