年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1104かつお(生)(100g)/円,1116かつお(たたき)(100g)/円,1105かれい(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(輸入品)(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(バラ)(100g)/円,1212豚肉(もも)(100g)/円,1221鶏肉(100g)/円,1241レバー(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきだけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1513レモン(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(輸入品)(1kg)/円,1516いよかん(1kg)/円,1517しらぬひ(1kg)/円,1521なし(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541かき(果物)(1kg)/円,1551もも(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成27年３月,2015,3,411,121,79,246,186,169,282,116,70,570,268,100,289,334,116,354,229,845,260,225,194,136,130,169,779,167,497,511,150,664,1817,493,324,610,157,283,830,240,1051,752,1482,...,2262,420,665,797,766,1080,1760,1209,513,713,...,465,656,731,414,494,452,645,...,...,...,...,...,...,...,1655,...,233,827,187,215,325
平成27年３月上旬,2015,3上,407,114,78,264,189,181,...,117,69,563,276,99,...,...,...,353,...,...,...,...,...,...,...,172,754,142,520,547,...,637,1778,...,...,...,166,...,...,242,1041,...,...,...,2168,434,668,796,726,1089,...,1226,...,...,...,451,589,...,...,...,419,649,...,...,...,...,...,...,...,1682,...,228,...,185,214,324
平成27年３月中旬,2015,3中,408,133,86,239,183,170,282,119,68,593,280,105,289,334,116,352,229,845,260,225,194,136,130,153,739,157,498,493,150,640,1795,493,324,610,160,283,830,241,1049,752,1482,...,2238,424,697,821,773,1111,1760,1194,513,713,...,454,623,731,414,494,435,637,...,...,...,...,...,...,...,1690,...,236,827,188,218,327
平成27年３月下旬,2015,3下,418,117,74,236,185,155,...,112,71,554,247,97,...,...,...,356,...,...,...,...,...,...,...,181,845,204,472,494,...,715,1878,...,...,...,143,...,...,235,1063,...,...,...,2380,403,629,773,799,1040,...,1206,...,...,...,489,756,...,...,...,502,649,...,...,...,...,...,...,...,1592,...,234,...,189,213,324
平成27年４月上旬,2015,4上,397,126,87,279,187,139,...,125,66,589,269,101,...,...,...,...,...,...,...,...,...,...,...,230,840,223,495,482,...,794,1883,...,...,...,175,...,...,233,1114,...,...,...,2122,415,557,701,766,1038,...,1160,...,...,...,490,...,...,...,...,...,689,...,...,...,...,...,...,...,1463,...,236,...,191,213,327
平成27年４月中旬,2015,4中,412,135,83,257,187,139,291,102,67,582,249,96,290,321,113,...,222,848,266,221,193,136,130,268,916,274,623,521,149,961,2218,510,358,619,199,401,839,245,1347,727,1507,...,2287,427,644,865,748,1065,1715,1046,501,709,...,503,...,750,380,499,...,699,...,...,...,...,...,...,...,1514,...,241,945,193,216,324
銘柄改正年月,,,,,,,H27.1,,,,,,H26.7,,,,,,,,,H27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H27.1,,,,,,,,,,H27.1,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成27年４月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
