総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素原材料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,(参考)生産財(1)+(2),(参考)投資財注3)
品目数,,,1213,912,301,76,617,420,104,19,74,520,153,367,73,294,693,260
ウエイト,,,1000,789.64,210.36,98.445,516.205,336.324,59.252,63.731,56.898,385.35,104.397,280.953,70.923,210.03,614.65,164.423
平成22年平均,2010,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
平成23年平均,2011,,102.7,101.5,107.5,118.6,102.4,101.5,102,109.6,100.7,99.1,97.6,99.6,92.7,101.9,105,99.2
平成24年平均,2012,,102,100.6,107.2,120,101.5,98.7,101,116.9,100.9,98.1,97.3,98.4,87.5,102.1,104.4,98.6
平成25年平均,2013,,106.2,101.9,122.7,135.9,105.2,101.4,105.1,128,102.5,100.1,98.4,100.7,86.8,105.4,110.1,100.9
平成26年平均,2014,,108.2,102.9,127.9,138.3,107.9,103.2,109.2,136.2,103.2,100.8,99.4,101.4,86.1,106.5,112.8,102.9
平成22年度平均,2010,,100.4,100.2,101.2,103.7,100.4,100.3,100.5,101.7,99.7,99.6,99.2,99.7,97.9,100.3,100.9,99.7
平成23年度平均,2011,,103,101.6,108.3,121.1,102.6,101.2,102.1,112.2,100.9,98.9,97.5,99.4,91.2,102.1,105.6,99.2
平成24年度平均,2012,,102.5,100.5,110.1,122.9,101.8,98.8,101.3,118.5,101.2,98.3,97.4,98.7,87.1,102.6,105.2,98.8
平成25年度平均,2013,,107.1,102.4,125,138,106.2,102,106.7,131.3,102.7,100.4,98.7,101.1,86.5,106,111.3,101.6
平成26年度平均,2014,,107.2,102.3,125.3,130.8,107.3,102.8,109.3,133.3,103.3,100.8,99.8,101.2,86.2,106.3,111.1,103.2
平成26年5月,2014,5,107.9,103.1,125.9,137.8,107.8,102.6,109.1,138.3,103.4,100.4,98.9,100.9,86.1,106,112.6,102.6
平成26年6月,2014,6,108.1,103.3,126.2,138.3,108,102.7,109.2,139,103.3,100.5,98.9,101,86,106.1,112.9,102.6
平成26年7月,2014,7,108.3,103.6,125.9,137.7,108.6,103,109,142.2,103.2,100.4,98.7,101.1,85.8,106.2,113.2,102.5
平成26年8月,2014,8,108.4,103.5,126.7,137.8,108.6,103.3,109,141.2,103.4,100.5,99,101.1,85.8,106.3,113.3,102.6
平成26年9月,2014,9,108.9,103.5,129.4,139.7,108.9,103.8,109.5,140.3,103.5,101.1,99.5,101.7,85.9,107,113.8,103.1
平成26年10月,2014,10,107.9,102.5,127.9,136.1,107.6,103.1,109.5,133.9,103,100.9,99.8,101.4,85.5,106.7,112.2,103.3
平成26年11月,2014,11,108.5,102.3,131.6,137.5,108,104,109.6,132.2,103.3,101.6,100.7,102,86.6,107.2,112.7,103.9
平成26年12月,2014,12,107.6,101.8,129.3,131.8,107.5,103.9,109.8,128.4,103.4,101.5,100.9,101.7,86.9,106.7,111.4,104.1
平成27年1月,2015,1,104.8,100.4,121.4,117.9,105.4,101.8,109.4,122.2,103.7,100.7,100.8,100.7,86.7,105.5,107.4,103.9
平成27年2月,2015,2,103.4,100.3,114.8,105.9,104.9,101.2,109.3,121.9,103,100.7,100.7,100.7,86.6,105.5,105,103.8
平成27年3月,2015,3,104,100.6,116.9,109.4,105.2,101.4,109.3,123.5,103.2,101.1,100.8,101.2,86.6,106.1,105.9,103.9
平成27年4月,2015,4,103.6,100.7,114.5,104.3,105.3,101.4,109.8,123.4,103,101.3,101,101.4,86.9,106.3,105.1,104.2
平成27年5月注1),2015,5,104.1,101,115.4,105.3,105.7,101.7,109.8,125.3,103.1,101.6,101.2,101.8,87,106.7,105.6,104.4
前月比(%),,,0.5,0.3,0.8,1,0.4,0.3,0,1.5,0.1,0.3,0.2,0.4,0.1,0.4,0.5,0.2
前年同月比(%),,,-3.5,-2,-8.3,-23.6,-1.9,-0.9,0.6,-9.4,-0.3,1.2,2.3,0.9,1,0.7,-6.2,1.8
,,,,,,,,,,,,,,,,,,
東京の物価／平成27年6月,,,,,,,,,,,,,,,,,,
参考表３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,
注 1)  最新月の数値は速報値のため、後日訂正される場合がある。,,,,,,,,,,,,,,,,,,
注 2)　平成22年（2010年）基準から、従来の「加工食品」を「食料品・飲料・たばこ・飼料」に変更したほか、従来の類別「一般機器」「精密機器」を類別「はん用機器」「生産用機器」「業務用機器」「その他工業製品」に組み替えている。,,,,,,,,,,,,,,,,,,
注 3)  投資財：(3)＋(4)＋素原材料内建設用材料,,,,,,,,,,,,,,,,,,
