年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1104かつお(生)(100g)/円,1116かつお(たたき)(100g)/円,1105かれい(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(輸入品)(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(バラ)(100g)/円,1212豚肉(もも肉)(100g)/円,1221鶏肉(100g)/円,1241レバー(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきだけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1513レモン(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(輸入品)(1kg)/円,1516いよかん(1kg)/円,1517しらぬひ(1kg)/円,1521なし(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541かき(果物)(1kg)/円,1551もも(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成26年11月,2014,11,406,100,109,...,...,142,279,112,76,588,252,76,287,325,126,398,223,829,253,259,194,138,129,122,687,134,428,323,151,461,1763,449,313,591,117,306,882,244,886,765,1383,...,2139,414,600,609,624,728,1665,...,548,792,...,420,493,662,288,425,...,...,...,...,...,433,...,...,...,...,...,218,859,181,208,309
平成26年12月,2014,12,407,115,117,...,...,150,282,117,75,573,274,91,301,329,124,382,224,827,256,269,196,138,130,158,784,112,488,550,152,502,2027,450,309,577,120,290,807,241,952,765,1401,...,2386,518,708,812,629,830,1799,...,595,789,...,413,510,657,386,425,...,...,...,...,...,549,...,...,...,1930,...,219,848,188,218,335
平成26年12月上旬,2014,12上,404,121,122,...,...,137,...,125,75,579,263,89,...,...,...,375,...,...,...,...,...,...,...,142,681,109,441,393,...,417,1859,...,...,...,114,...,...,244,937,...,...,...,2367,505,628,726,605,736,...,...,...,...,...,404,503,...,...,...,...,...,...,...,...,481,...,...,...,1824,...,219,...,182,206,321
平成26年12月中旬,2014,12中,424,105,116,...,...,156,282,115,77,581,279,90,301,329,124,390,224,827,256,269,196,138,130,137,718,110,449,506,152,452,1980,450,309,577,112,290,807,246,916,765,1401,...,2367,512,671,800,620,774,1799,...,595,789,...,404,503,657,386,425,...,...,...,...,...,511,...,...,...,1756,...,219,848,184,206,331
平成26年12月下旬,2014,12下,393,118,113,...,...,157,...,111,73,558,280,94,...,...,...,383,...,...,...,...,...,...,...,196,954,116,574,750,...,638,2243,...,...,...,133,...,...,232,1004,...,...,...,2424,538,826,910,661,979,...,...,...,...,...,432,523,...,...,...,...,...,...,...,...,656,...,...,...,2209,...,220,...,197,241,353
平成27年１月上旬,2015,1上,432,141,98,...,...,148,...,112,72,577,292,87,...,...,...,391,...,...,...,...,...,...,...,217,1175,134,615,935,...,773,2403,...,...,...,158,...,...,240,1039,...,...,...,2336,505,794,917,680,1146,...,...,...,...,...,436,574,...,...,...,498,...,...,...,...,...,...,...,...,1861,...,227,...,190,221,325
平成27年１月中旬,2015,1中,433,117,98,...,...,181,289,105,72,601,287,89,304,341,127,376,231,822,257,219,191,137,128,230,968,133,566,826,151,750,2380,449,313,601,155,297,745,242,954,775,1431,...,2248,496,709,859,655,1172,1814,...,630,854,...,429,603,644,419,441,470,...,...,...,...,...,...,...,...,1688,...,226,859,189,215,315
銘柄改正年月,,,,,,,H27.1,,,,,,H26.7,H26.1,,,,,H26.1,,,H27.1,,,,,,,,,H26.1,,H26.1,,,,,,,,,,H26.1,H26.1,H26.1,,,,,H26.1,H26.1,H27.1,H26.1,H26.1,,,,,,,,H27.1,,,,,,,,H26.1,H26.1,H26.1,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成27年１月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
