年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,理容所 Barber,美容所  Beauty salon,クリーニング所 Dry-cleaner,公衆浴場 Public baths／総数 Total,公衆浴場 Public baths／普通 General,公衆浴場 Public baths／その他 Others,温泉利用施設 Hot springs,旅館等  Hotels and inns／総数 Total,旅館等 Hotels and inns／ホテル hotels,旅館等 Hotels and inns／旅館 Japanese-style hotels & inns (ryokan),旅館等 Hotels and inns／簡易宿所 Budget hotel,旅館等  Hotels and inns／下宿 Boarding houses and lodgings,常設興行場 Entertainment places／総数 Total,常設興行場 Entertainment places／映画館 Cinemas,常設興行場 Entertainment places／スポーツ施設 Sports center,常設興行場 Entertainment places／その他 Others,プール Swimming pool
平成24,2012,0,13000,,東京都,Tokyo-to,8763,19783,10960,2243,740,1503,257,2893,684,1230,962,17,841,296,37,508,2875
平成25,2013,0,13000,,東京都,Tokyo-to,8603,20396,10770,2179,707,1472,248,2851,680,1204,951,16,846,299,36,511,2866
平成26,2014,0,13000,,東京都,Tokyo-to,8488,21028,10536,2110,659,1451,241,2846,675,1194,963,14,839,286,35,518,2859
平成27,2015,0,13000,,東京都,Tokyo-to,8365,21566,10397,2082,618,1464,245,2883,682,1209,978,14,872,306,35,531,2838
平成28,2016,0,13000,,東京都,Tokyo-to,8256,22064,10221,2060,593,1467,253,3010,693,1246,1058,13,861,288,35,538,2852
平成28,2016,1,13100,,区部,All ku,5985,16998,8014,1662,538,1124,118,2034,564,972,485,13,678,214,21,443,1954
平成28,2016,2,13101,1,千代田区,Chiyoda-ku,157,194,213,36,5,31,3,88,48,28,12,-,63,16,1,46,37
平成28,2016,2,13102,2,中央区,Chuo-ku,163,662,265,52,9,43,1,127,66,43,18,-,38,14,-,24,32
平成28,2016,2,13103,3,港区,Minato-ku,186,1140,475,133,5,128,6,154,74,58,22,-,55,13,1,41,85
平成28,2016,2,13104,4,新宿区,Shinjuku-ku,279,998,491,100,25,75,4,257,34,170,46,7,103,48,2,53,100
