項目階層,項目,Item,平成2５年度 Fiscal year 2013／実数 Value,平成25年度 Fiscal year 2013／構成比 Percentage Distribution (%),平成25年度 Fiscal year 2013／対前年度増加率 Percent changes from previous fiscal year (%),平成26年度 Fiscal year 2014／実数 Value,平成26年度 Fiscal year 2014／構成比 Percentage Distribution (%),平成26年度 Fiscal year 2014／対前年度増加率 Percent changes from previous fiscal year (%)
0,都民雇用者報酬,Prefectural compensation of employees,33535.5,55.4,-1.9,34097.8,56.4,1.7
1,賃金・俸給,Wages and salaries,25910.9,42.8,-1.8,25996.2,43,0.3
1,雇主の社会負担,Employers' social contributions,7624.6,12.6,-1.9,8101.6,13.4,6.3
3,雇主の現実社会負担,Employers' actual social contributions,5062.1,8.4,1.9,5290.9,8.8,4.5
3,雇主の帰属社会負担,Employers' imputed social contributions,2562.5,4.2,-8.6,2810.6,4.7,9.7
0,財産所得 (非企業部門）,Property income (unincorporated enterprises),4943.9,8.2,9.9,5433.6,9,9.9
3,受取,Receivable,7750.7,12.8,7.4,8338,13.8,7.6
3,支払,Payable,2806.8,4.6,3.2,2904.4,4.8,3.5
1,一般政府,General government,-1442.8,-2.4,6.2,-1360.2,-2.3,5.7
3,受取,Receivable,1193.5,2,17.6,1351.4,2.2,13.2
3,支払,Payable,2636.4,4.4,3.3,2711.6,4.5,2.9
1,家計,Households,6350.5,10.5,5.8,6755.3,11.2,6.4
2,利子,Interest,2874.5,4.7,14.7,2919,4.8,1.6
3,受取,Receivable,3040.2,5,13.9,3106.4,5.1,2.2
3,支払 (消費者負債利子),Payable (consumer debt interest),165.8,0.3,1.7,187.4,0.3,13
2,配当 (受取）,Dividends， receivable,1501.5,2.5,-7.8,1612.1,2.7,7.4
2,保険契約者に帰属する財産所得 ,Properties income attributed to insurance policy holders，receivable,1452.7,2.4,4.9,1536.4,2.5,5.8
2,賃貸料 (受取),Rent， receivable,521.9,0.9,8.4,687.6,1.1,31.8
1,対家計民間非営利団体,Private non-profit institutions serving households,36.2,0.1,0,38.6,0.1,6.5
3,受取,Receivable,40.9,0.1,0.6,44,0.1,7.5
3,支払,Payable,4.7,0,5.1,5.4,0,15
0,企業所得 (法人企業の分配所得受払後）,Entrepreneurial income (after receivable and payable of distributed income of corporations),22062.2,36.4,9.7,20884.1,34.6,-5.3
1,民間法人企業,Private corporations,13850.4,22.9,12.7,12731.7,21.1,-8.1
1,公的企業,Public corporations,2584.5,4.3,5.5,2714.9,4.5,5
1,個人企業,Private unincorporated enterprises ,5627.3,9.3,4.9,5437.6,9,-3.4
3,農林水産業,Agriculture， forestry and fishing,1.3,0,155.1,0,0,-101.8
3,その他の産業 (非農林水・非金融),Others,1599.3,2.6,18.8,1461,2.4,-8.6
3,持ち家,Imputed service of owner-occupied dwellings,4026.7,6.7,0.3,3976.6,6.6,-1.2
0,都民所得（要素費用表示）,Prefectural income(at factor cost),60541.6,100,3,60415.5,100,-0.2
0,生産・輸入品に課される税 (控除) 補助金,Taxes on production and imports less subsidies,4823.5,8,3,5033.4,8.3,4.4
0,都民所得 (市場価格表示),Prefectural income (at market prices),65365.1,108,3,65448.9,108.3,0.1
0,（参考）民間法人企業所得（受払前）,Entrepreneurial income of private corporations (before receivable and payable),14491.9,23.9,10.6,13946.9,23.1,-3.8
,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,
16-3  都民所得の分配 (名目) (平成25，26年度) 16-3  DISTRIBUTION OF PREFECTURAL INCOME (AT CURRENT PRICES) ( Fiscal Years 2013 and 2014),,,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」Source: Bureau of General Affairs， TMG,,,,,,,,
項目階層（0:大項目　1:中項目　2:小項目　3:項目）,,,,,,,,
