品目,Item,区分,Classification,項番 Item number,区分,Classification,銘柄,Specification,単位,Unit,マーク Mark,28年平均 2016 Av.,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月 Oct.,11月 Nov.,12月 Dec.
食料,Food,穀類,Cereals,1,うるち米,Non-glutinous rice,国内産，精米，単一原料米(産地，品種及び産年が同一のもの)袋入り(5kg入り)コシヒカリを除く,"Domestic， polished， single ingredient (those area， year of production and variety are the same)， in bag (5kg)， excluding ""Koshihikari""",1袋,1 bag,,2019,1990,1980,2008,2005,1994,1985,1991,1980,2019,2079,2086,2107
食料,Food,穀類,Cereals,2,食パン,White bread,普通品,Ordinary quality,1kg,1kg,,435,430,434,436,437,437,437,437,435,437,435,436,433
食料,Food,穀類,Cereals,3,カップ麺,Cup noodles,中華タイプ，内容量77g入り，「カップヌードル」,"Chinese type， net 77g， ""Cup Noodle""",1個,1 cup,※ 1月 Jan.,153,153,154,153,153,152,154,153,154,154,151,154,151
食料,Food,魚介類,Fish & seafood,1,まぐろ,Tuna fish,めばち 又は きはだ，刺身用，さく，赤身,"Big-eyed tuna or Yellowfin tuna， for  ""Sashimi""， not sliced， lean",100g,100g,,398,413,404,400,390,382,384,377,392,402,408,409,413
食料,Food,魚介類,Fish & seafood,2,あじ,Horse mackerel,まあじ，丸(長さ約15cm以上）,Jack mackerel， whole (about 15cm or more in length),100g,100g,,104,116,101,93,89,92,99,95,117,124,117,106,99
食料,Food,魚介類,Fish & seafood,3,いか,Cuttlefish,するめいか，丸,Sagittated calamary， whole,100g,100g,,119,93,97,108,111,121,114,109,117,121,138,147,154
食料,Food,肉類,Meats,1,牛肉,Beef ,国産品，ロース,Domestic，loin,100g,100g,,898,886,888,876,882,912,920,911,907,914,899,896,882
食料,Food,肉類,Meats,2,豚肉,Pork,もも（黒豚を除く）,Legs (excluding Berkshire),100g,100g,,195,194,196,199,194,196,197,196,194,194,197,193,195
食料,Food,肉類,Meats,3,鶏肉,Chicken,ブロイラー，もも肉,Broiler， legs,100g,100g,,135,137,135,136,133,137,136,137,134,133,135,134,138
食料,Food,肉類,Meats,4,ハム,Ham,ロースハム， ＪＡＳ格付けなし， 普通品,Ham (Loin)， not Japanese Agricultural Standard (JAS) certified， ordinary quality,100g,100g,,219,220,219,221,218,218,218,220,219,220,219,219,215
食料,Food,乳卵類,Dairy products & eggs,1,牛乳,Fresh milk ,牛乳，店頭売り，紙容器入り（1000mL入り）,Fresh milk， sold in stores， in carton （1000mL）,1本,1 carton,,224,224,224,224,224,222,224,224,225,227,224,225,223
食料,Food,乳卵類,Dairy products & eggs,2,鶏卵,Hen eggs,白色卵，Ｌｻｲｽﾞ，ﾊﾟｯｸ詰（10個入り)   ,White eggs，size L，packed (10 eggs),1パック,1 pack,,242,241,244,246,245,246,240,236,232,236,243,246,255
食料,Food,野菜・海草,Vegetables & seaweeds,1,キャベツ,Cabbage,,,1kg,1kg,,193,125,138,159,210,207,190,148,133,166,261,346,233
食料,Food,野菜・海草,Vegetables & seaweeds,2,だいこん,Radishes,　　　　　　　　　　　　　　　　　　　　　,,1kg,1kg,,186,118,139,146,188,167,164,213,201,231,253,246,164
食料,Food,野菜・海草,Vegetables & seaweeds,3,豆腐,"""Tofu""，bean curd",木綿豆腐，並,"""Momen-tofu""，ordinary quality",1kg,1kg,,253,256,254,257,260,257,253,252,253,251,249,249,250
食料,Food,果物,Fruits,1,りんご,Apples ,ふじ， 1個  200～400g ,”Fuji”，200-400g each   ,1kg,1kg,,590,498,533,529,575,653,716,728,...,...,...,556,520
食料,Food,果物,Fruits,2,みかん,Mandarin oranges,温州みかん(ﾊｳｽみかんを除く)，1個 70～130g,"""Satsuma mandarins (excluding greenhouse stuff)""， 70 - 130g each",1kg,1kg,,665,659,747,877,...,...,...,...,...,632,565,577,601
