年次,Year,原因,Cause,総件数 Accidents total,死傷者数 Killed or injured／総数 Total,死傷者数 Killed or injured／死者 Killed,死傷者数 Killed or injured／重傷者 Serious injury,死傷者数 Killed or injured／軽傷者 Minor injury
平成24,2012,総数,Total,47202,54784,154,400,54230
平成25,2013,総数,Total,41825,48780,145,286,48349
平成26,2014,総数,Total,37005,43191,157,220,42814
平成27,2015,総数,Total,34084,39890,130,227,39533
平成28,2016,総数,Total,32283,37840,141,310,37389
平成28,2016,信号無視,Ignoring traffic light signals,863,1077,15,28,1034
平成28,2016,通行区分違反,Lane violation,42,50,3,1,46
平成28,2016,最高速度違反,Speed violation,6,21,4,1,16
平成28,2016,横断等禁止違反,Crossing， etc. violation,28,31,1,3,27
平成28,2016,車間距離不保持,Tailgating,74,113,-,-,113
平成28,2016,進路変更禁止違反,Lane change violation ,26,35,1,-,34
平成28,2016,通行妨害,Obstruction of traffic ,1,1,-,-,1
平成28,2016,追越違反,Overtaking violation,31,35,1,-,34
平成28,2016,右折違反,Right turn violation,10,10,-,-,10
平成28,2016,左折違反,Left turn violation,46,49,-,1,48
平成28,2016,優先通行妨害等,Obstruction of priority lanes， etc.,99,122,6,6,110
平成28,2016,交差点安全進行義務違反,Violation of duty to use caution at intersections,4732,5141,14,53,5074
平成28,2016,歩行者妨害等,Obstruction of pedestrians， etc.,1124,1142,13,26,1103
平成28,2016,横断自転車妨害等,Obstruction of crossing bicycles， etc.,222,228,-,1,227
平成28,2016,徐行場所違反,Slow down violation ,41,43,-,-,43
平成28,2016,指定場所一時不停止等,Stop sign， etc. violation,651,779,5,15,759
平成28,2016,酒酔い運転,Driving while intoxicated,10,14,-,1,13
平成28,2016,過労・薬物,Driving while drowsy or under the influence of drugs,38,51,-,-,51
平成28,2016,安全運転義務違反,Violation of safe driving obligations,23345,27944,77,161,27706
平成28,2016,安全不確認ドア開放等,Opening of door without checking for safety， etc.,344,351,-,2,349
平成28,2016,その他,Others,516,559,1,8,550
平成28,2016,調査不能,Cause undetermined,34,44,-,3,41
,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,
20-13  車両がわの事故原因による人身事故発生件数及び死傷者数 （平成24～28年) 20-13 TRAFFIC ACCIDENTS CAUSED BY VEHICLES RESULTING IN INJURY OR DEATH AND PERSONS KILLED OR INJURED IN THE ACCIDENTS ( 2012-2016 ),,,,,,,,
注 1) 総件数，死傷者数とも第1当事者からみた数である。,,,,,,,,
2) 第1当事者とは，過失（違反）がより重いか又は過失（違反）が同程度の場合にあっては，被害がより小さい方の当事者をいう。,,,,,,,,
3) 調査不能とは，違反行為の種別が不明な場合をいう。,,,,,,,,
"Note: 1) ""Accidents total"" and ""Killed or injured"" are counted from the first party perspective.",,,,,,,,
2) The party whose degree of negligence (violation) is more serious than the other party is the first party. When the degree of negligence (violation) is the same， the party that suffers less damage is the first party.,,,,,,,,
"3) ""Cause undetermined"" refers to cases for which the kind of violation committed is unknown.",,,,,,,,
資料：警視庁総務部文書課 「警視庁の統計」 Source: Metropolitan Police Department， TMG,,,,,,,,
