年次,Year,月次 ,Month,調査産業計 Industries covered,鉱業，採石業，砂利採取業 Mining and quarruing of stone and gravel,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
平成24,2012,平均,Average,100.9,87.7,104.3,100.8,100.9,102.6,99.4,99.7,99.5,98.4,102.4,104.1,101.2,98.6,98.9,92.5,102.7
平成25,2013,平均,Average,98.8,52.2,100,99.5,97.3,101,95.6,98.9,98.5,96.8,101.3,96.4,98.5,93,96.4,97,101.9
平成26,2014,平均,Average,97.9,18.4,97.3,98.9,98.4,100.3,93.1,98.5,98.2,98.9,99.2,89.9,99,90.3,96.8,98.2,102.6
平成27,2015,平均,Average,98.1,-,102.6,98.7,99.5,99.3,97.4,98.7,97.9,99.2,95,88.5,95.2,91.5,97.9,101.4,102.3
平成28,2016,平均,Average,97.4,-,103.7,98.3,101.7,98.9,96.8,96.7,97.5,99.1,94.2,89.3,92.5,94.1,95.9,99.6,100.8
平成28,2016,1,Jan.,91.9,-,93.7,91,94.3,93.2,93,92.5,92.7,92.3,85.7,87.9,88,83.7,92.7,93.6,97.1
平成28,2016,2,Feb.,96.7,-,104.8,98,101.3,97.3,95.1,95.8,94,98.8,95,88.6,89.2,96.6,96.2,99.7,100.2
平成28,2016,3,Mar.,101.3,-,110.9,102.7,111.2,103.8,99,99.4,102.7,103.8,98.2,91.1,94.9,94.7,99.6,104.2,105.5
平成28,2016,4,Apr.,101.5,-,107.4,103.5,105.3,102.7,99.4,100.7,101.5,102.6,99.1,91.6,95.8,100,101.2,101.2,103.6
平成28,2016,5,May,93,-,93.1,93,95.3,94,93,88.7,94.5,94.6,91.8,90.2,95.7,96,93,95,96
平成28,2016,6,June,100.9,-,108.6,102.1,104.3,103.8,99.4,97,101.8,102.8,99.6,91.8,95,105.5,99.2,105.8,102.9
平成28,2016,7,July,99.5,-,107.7,102.1,101.4,100.9,99.1,99.9,98.3,100.9,95.8,90.2,93.5,95.4,97.3,95.8,101.8
平成28,2016,8,Aug.,95.6,-,97.3,93.8,107.4,99.4,97.3,96.8,97.8,97.6,93.1,88.4,94.2,77.1,95.7,99.4,99.5
平成28,2016,9,Sept.,96.9,-,103.5,97.5,100.5,97.8,96.5,97.2,96.4,99.3,91.2,86.1,92.5,95.4,96.2,97.6,100.8
平成28,2016,10,Oct.,96.9,-,105.6,98.5,101.8,98.3,96,96.7,97.1,99.5,92.2,88.1,91.3,96.6,93,100.2,100
平成28,2016,11,Nov.,98.4,-,106.5,100.5,100.2,99,97.3,99,96.2,98.8,96.6,87.6,90.7,100,94.6,100.1,102.4
平成28,2016,12,Dec.,95.9,-,105.6,96.9,97.1,97,96.4,96.8,96.5,98,91.8,90.2,88.9,87.7,92.5,102.6,99.6
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,,
7-11  産業別常用労働者労働時間指数 (総実労働時間) (平成24～28年) 7-11  HOURS WORKED INDICES OF REGULAR WORKERS BY INDUSTRY ( TOTAL HOURS WORKED ) ( 2012-2016 ),,,,,,,,,,,,,,,,,,,,
「毎月勤労統計地方調査」 による。 本表は，常用労働者30人以上の事業所約1700カ所を対象とした第1種事業所調査の結果である。,,,,,,,,,,,,,,,,,,,,
Data are based on the Monthly Labor Prefectural Survey . In this table，figures are as of 1700 establishments with 30 or more regular workers. ,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
（平成22年平均＝100）  (2010 average＝100),,,,,,,,,,,,,,,,,,,,
