地域階層,地域コード,項番 Item number,地域,District,マーク Mark,総数 Total,交通事故 Traffic accidents,火災事故 Fire accidents,運動競技事故 Sports accidents,自然災害事故 Natural disasters accidents,水難事故 Drowning accidents,労働災害事故 Labor accidents,一般負傷 General injuries,自損行為 Self-inflicted injuries,加害 Assault,急病 Acute illness,転院搬送 Transported to a different hospital,医師搬送 Doctor transport,資器材等輸送 Transport of equipment， etc.,その他 Other responses
0,13000,,総数,Tokyo-to,,777382,51019,3425,5423,17,950,4789,134257,5091,7136,511673,43692,504,229,9177
1,13100,,区部,All ku,,572696,36321,2583,3611,12,772,3551,98786,3590,5756,379619,30418,422,182,7073
2,13101,1,千代田区,Chiyoda-ku,,14156,899,89,95,-,2,169,2763,33,142,9231,599,12,-,122
2,13102,2,中央区,Chuo-ku,,13277,1078,71,59,1,15,204,2226,62,120,8745,544,1,-,151
2,13103,3,港区,Minato-ku,,23373,1703,150,98,1,10,266,4141,105,380,15297,941,4,-,277
2,13104,4,新宿区,Shinjuku-ku,,34040,1670,170,240,-,12,234,5817,222,606,22593,1953,7,-,516
2,13105,5,文京区,Bunkyo-ku,,12202,672,58,116,-,6,82,2076,63,80,7331,1591,11,-,116
2,13106,6,台東区,Taito-ku,,18984,1100,69,63,-,34,118,3650,114,311,12630,622,1,-,272
2,13107,7,墨田区,Sumida-ku,,17262,1088,63,85,-,34,80,2802,97,183,11318,1294,11,-,207
2,13108,8,江東区,Koto-ku,,28856,1916,99,293,-,57,292,4559,148,230,19121,1553,23,137,428
2,13109,9,品川区,Shinagawa-ku ,,22200,1235,120,129,-,25,140,3927,121,153,14974,1118,6,1,251
2,13110,10,目黒区,Meguro-ku,,13257,950,68,116,1,9,68,2508,93,91,8513,681,18,4,137
2,13111,11,大田区,Ota-ku ,,39981,2605,171,237,-,75,267,6998,216,307,26624,1967,13,6,495
2,13112,12,世田谷区,Setagaya-ku,,41999,2810,168,429,-,27,222,7671,284,258,27471,2104,89,9,457
2,13113,13,渋谷区,Shibuya-ku,,19924,1277,97,187,-,9,180,3513,90,302,13031,937,24,20,257
2,13114,14,中野区,Nakano-ku,,17427,944,86,58,1,16,54,3055,130,168,11856,772,7,1,279
2,13115,15,杉並区,Suginami-ku,,26730,1811,132,171,-,19,126,4968,175,177,17530,1127,49,2,443
2,13116,16,豊島区,Toshima-ku,,21164,955,114,118,-,17,133,3691,140,339,14415,879,12,-,351
2,13117,17,北区,Kita-ku,,21205,1001,96,125,-,30,101,3697,139,216,14438,1100,-,-,262
2,13118,18,荒川区,Arakawa-ku ,,13045,581,41,48,2,26,65,2203,94,132,8692,994,33,-,134
2,13119,19,板橋区,Itabashi-ku,,31697,2060,126,153,1,35,134,5028,218,286,21397,1870,23,-,366
2,13120,20,練馬区,Nerima-ku,,35043,2257,139,182,3,43,113,5937,243,237,23483,2030,17,-,359
2,13121,21,足立区,Adachi-ku,,42767,3181,192,220,2,87,221,6869,322,398,28038,2776,36,1,424
2,13122,22,葛飾区,Katsushika-ku,,27577,1957,113,151,-,86,105,4530,198,252,18417,1497,6,-,265
2,13123,23,江戸川区,Edogawa-ku ,,36530,2571,151,238,-,98,177,6157,283,388,24474,1469,19,1,504
3,,,消防事務受託地区,Entrusted districts,,204460,14651,838,1811,5,174,1238,35469,1500,1368,132047,13138,82,36,2103
3,,,その他,Others,※,226,47,4,1,-,4,-,2,1,12,7,136,-,11,1
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,
20-19  地域別種類別救急件数 （平成28年） 20-19  EMERGENCY CASES BY DISTRICT AND KIND ( 2016 ),,,,,,,,,,,,,,,,,,,,
この表は， 区部及び消防事務受託地区で， 東京消防庁が扱った件数である。,,,,,,,,,,,,,,,,,,,,
Figures refer to the number of cases handled by the Tokyo Fire Department in the special ward (ku) area and entrusted districts.,,,,,,,,,,,,,,,,,,,,
注) ※東京消防庁管轄区域以外の地域をいう。,,,,,,,,,,,,,,,,,,,,
Note: ※Districts outside the jurisdiction of the Tokyo Fire Department.,,,,,,,,,,,,,,,,,,,,
資料：東京消防庁企画調整部企画課 Source: Tokyo Fire Department,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部　2:区市町村　3:消防事務受託地区・その他),,,,,,,,,,,,,,,,,,,,
