年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／調停成立 Successful conciliation,既済 Disposed／調停不成立 Unsuccessful conciliation,既済 Disposed／取下 Withdrawal,既済 Disposed／合意に相当する審判 Adjudication equivalent to agreement,既済 Disposed／調停に代わる審判 Adjudication in lieu of conciliation,既済 Disposed／調停をしないもの Non-conciliation,既済 Disposed／その他 Others,未済 Pending,異議 Objection／合意に相当する審判 Adjudication equivalent to agreement,異議 Objection／調停に代わる審判 Adjudication in lieu of conciliation
平成27,2015,0,,総数,Total,"22,913","7,433","15,480","15,025","7,807","3,016","2,726",262,683,129,402,"7,888",2,103
平成28,2016,0,,総数,Total,"23,415","7,888","15,527","15,506","8,049","3,255","2,656",294,679,138,435,"7,909",1,151
平成28,2016,1,,別表第二調停事件総数,Total number of domestic relations conciliation cases stipulated in Appended Table 2 of the Domestic Relations Case Procedure Act,"13,463","4,681","8,782","8,641","5,075","1,085","1,474",-,579,82,346,"4,822",-,147
平成28,2016,2,1,夫婦の同居・協力扶助,Cohabitation， cooperation， and mutual assistance between husband and wife,30,9,21,19,2,10,6,-,-,-,1,11,-,-
平成28,2016,2,2,婚姻費用の分担,Sharing of living expenses arising from marriage,"3,914","1,151","2,763","2,741","1,775",333,398,-,121,7,107,"1,173",-,57
平成28,2016,2,3,子の監護者の指定その他の処分,Designation of a child custodian and other dispositions,"5,001","1,683","3,318","3,306","1,906",489,520,-,179,24,188,"1,695",-,62
平成28,2016,3,,うち監護者の指定,(of which) Designation of a child custodian,420,142,278,294,95,72,77,-,10,1,39,126,-,-
平成28,2016,3,,うち養育費請求,(of which) Claim for child support payments,"1,936",493,"1,443","1,411",913,158,150,-,122,11,57,525,-,34
平成28,2016,3,,うち面会交流,(of which) Visitation and contacts,"2,390",964,"1,426","1,434",863,205,250,-,41,11,64,956,-,28
平成28,2016,3,,うち子の引渡し,(of which) Surrender of child custody ,251,84,167,164,35,52,42,-,6,1,28,87,-,-
平成28,2016,2,4,財産の分与に関する処分,Disposition regarding the distribution of property,339,133,206,216,116,48,34,-,12,1,5,123,-,2
平成28,2016,2,5,祭祀の承継者の指定,Appointment of a successor of rights relating to rituals,48,19,29,33,12,10,4,-,5,-,2,15,-,1
平成28,2016,2,6,離縁後の親権者の指定,Designation of person who is to have parental authority upon dissolution of adoptive relationship,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成28,2016,2,7,親権者の指定又は変更,Designation or change of person having parental authority,646,115,531,494,293,37,121,-,26,8,9,152,-,4
平成28,2016,2,8,扶養に関する処分,Disposition on support,122,37,85,78,26,18,28,-,2,2,2,44,-,1
平成28,2016,2,9,遺産の分割に関する処分など,Disposition on division of estate， etc. ,"3,085","1,435","1,650","1,561",815,117,339,-,223,38,29,"1,524",-,19
平成28,2016,2,10,寄与分を定める処分,Disposition to determine an heir's contributory portion,128,61,67,74,43,14,13,-,1,2,1,54,-,1
平成28,2016,2,11,請求すべき按分割合に関する処分,Disposition regarding the pro rata share to be requested,150,38,112,119,87,9,11,-,10,-,2,31,-,-
平成28,2016,2,12,生活保護法77条2項の事件,Cases under Article 77， Paragraph 2 of the Public Assistance Act,-,-,-,-,-,-,-,-,-,-,-,-,-,-
