年度末,End of fiscal year,地域階層,地域コード,地域,District,マーク Mark,総数 Total,都営住宅 Metropolitan housing,福祉住宅等 Welfare housing etc. 2),都民住宅 Tokyo Metropolitan Tomin housing／都施行 Built by TMG,都民住宅 Tokyo Metropolitan Tomin housing／その他 Others,区市町村住宅 Municipal housing 4)／公営 Public,区市町村住宅 Municipal housing 4)／その他 Others,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／都施行 Built by TMG,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／区市施行 Built by municipalities,公社一般賃貸住宅 Tokyo Metropolitan Public Housing Corporation housing,都市機構賃貸住宅 Urban Renaissance Agency housing 1)
平成25,2013,0,13000,総数,Tokyo-to,,550809,255585,511,3891,27408,21241,10129,60,1052,63213,167719
平成26,2014,0,13000,総数,Tokyo-to,,549671,255563,484,3890,25771,21523,9863,60,1123,64202,167192
平成27,2015,0,13000,総数,Tokyo-to,,545524,255620,468,3875,22587,21595,9274,60,1143,63622,167280
平成28,2016,0,13000,総数,Tokyo-to,,538881,253622,451,3875,17571,21842,8747,60,1133,64949,166631
平成28,2016,1,13100,区部,All ku,,337557,163076,56,1907,14345,13898,8181,26,1057,32430,102581
平成28,2016,2,13101,千代田区,Chiyoda-ku,,1526,292,-,14,44,424,408,-,144,150,50
平成28,2016,2,13102,中央区,Chuo-ku,,8685,1453,-,-,363,130,1190,-,75,479,4995
平成28,2016,2,13103,港区,Minato-ku,,10424,4830,-,175,449,273,714,-,-,859,3124
平成28,2016,2,13104,新宿区,Shinjuku-ku,,10213,7111,-,4,232,989,510,-,-,311,1056
平成28,2016,2,13105,文京区,Bunkyo-ku,,2262,561,-,1,156,225,213,-,-,264,842
平成28,2016,2,13106,台東区,Taito-ku,,1901,921,-,-,324,196,301,-,-,-,159
平成28,2016,2,13107,墨田区,Sumida-ku,,11855,6588,-,122,960,388,423,-,61,269,3044
平成28,2016,2,13108,江東区,Koto-ku,,44633,20116,-,352,1771,570,78,-,-,5016,16730
平成28,2016,2,13109,品川区,Shinagawa-ku,,10283,3440,-,27,460,388,1147,-,147,544,4130
平成28,2016,2,13110,目黒区,Meguro-ku,,2776,652,-,119,206,697,280,-,-,-,822
平成28,2016,2,13111,大田区,Ota-ku,,14574,6509,29,94,1043,1663,618,-,-,1395,3223
平成28,2016,2,13112,世田谷区,Setagaya-ku,,19587,5947,-,1,276,1453,682,-,-,5405,5823
平成28,2016,2,13113,渋谷区,Shibuya-ku,,4026,2441,-,-,94,460,95,-,-,130,806
平成28,2016,2,13114,中野区,Nakano-ku,,5455,2255,-,12,347,546,124,-,20,1949,202
平成28,2016,2,13115,杉並区,Suginami-ku,,6406,3131,-,3,314,1176,148,-,-,774,860
平成28,2016,2,13116,豊島区,Toshima-ku,,3571,1345,-,-,167,380,265,-,85,146,1183
平成28,2016,2,13117,北区,Kita-ku,5),28902,13586,-,76,549,872,191,-,8,1011,12609
平成28,2016,2,13118,荒川区,Arakawa-ku,,6696,4070,-,131,538,86,265,-,-,85,1521
平成28,2016,2,13119,板橋区,Itabashi-ku,,26589,10839,21,30,918,664,309,-,-,2682,11126
平成28,2016,2,13120,練馬区,Nerima-ku,,22707,12432,-,98,1559,889,71,26,-,1642,5990
平成28,2016,2,13121,足立区,Adachi-ku,,47154,30090,-,411,1218,800,77,-,73,2240,12245
平成28,2016,2,13122,葛飾区,Katsushika-ku,,20543,11694,6,54,1038,564,52,-,240,116,6779
平成28,2016,2,13123,江戸川区,Edogawa-ku,,26789,12773,-,183,1319,65,20,-,204,6963,5262
平成28,2016,1,13200,市部,All shi,,198516,89568,0,1951,3226,6671,421,34,76,32519,64050
平成28,2016,2,13201,八王子市,Hachioji-shi,,24909,10792,-,608,502,1492,-,-,-,3197,8318
平成28,2016,2,13202,立川市,Tachikawa-shi,,12498,5085,-,58,495,545,5,-,-,1352,4958
平成28,2016,2,13203,武蔵野市,Musashino-shi,,4479,1966,-,2,143,199,105,-,-,-,2064
平成28,2016,2,13204,三鷹市,Mitaka-shi,,7003,3825,-,85,242,129,26,-,-,-,2696
平成28,2016,2,13205,青梅市,Ome-shi,,2178,405,-,16,-,749,-,-,-,1008,-
平成28,2016,2,13206,府中市,Fuchu-shi,,6663,4421,-,44,163,679,153,-,-,-,1203
平成28,2016,2,13207,昭島市,Akishima-shi,,6711,4151,-,16,20,20,13,-,-,991,1500
平成28,2016,2,13208,調布市,Chofu-shi,,8692,4367,-,82,214,275,15,-,-,670,3069
平成28,2016,2,13209,町田市,Machida-shi,,27406,8065,-,125,170,548,7,-,-,9830,8661
平成28,2016,2,13210,小金井市,Koganei-shi,,2807,654,-,-,70,179,20,-,-,1282,602
平成28,2016,2,13211,小平市,Kodaira-shi,,8180,5470,-,14,177,27,11,-,-,21,2460
平成28,2016,2,13212,日野市,Hino-shi,,9919,2883,-,8,122,651,2,12,17,906,5318
平成28,2016,2,13213,東村山市,Higashimurayama-shi,,8240,5686,-,35,49,91,-,-,-,622,1757
平成28,2016,2,13214,国分寺市,Kokubunji-shi,,2987,1687,-,3,421,20,13,-,-,-,843
平成28,2016,2,13215,国立市,Kunitachi-shi,,4886,2020,-,470,0,-,-,-,-,-,2396
平成28,2016,2,13218,福生市,Fussa-shi,,3610,757,-,2,24,324,5,-,-,1634,864
平成28,2016,2,13219,狛江市,Komae-shi,,2662,1801,-,-,17,45,3,-,-,786,10
平成28,2016,2,13220,東大和市,Higashiyamato-shi,,5205,3078,-,3,-,29,1,-,-,2094,-
平成28,2016,2,13221,清瀬市,Kiyose-shi,,7226,3769,-,40,-,133,1,-,13,1140,2130
平成28,2016,2,13222,東久留米市,Higashikurume-shi,,7775,2609,-,9,29,-,1,22,46,2865,2194
平成28,2016,2,13223,武蔵村山市,Musashimurayama-shi,,4467,4229,-,1,-,24,-,-,-,-,213
平成28,2016,2,13224,多摩市,Tama-shi,,12814,4770,-,4,-,112,1,-,-,1630,6297
平成28,2016,2,13225,稲城市,Inagi-shi,,4539,1240,-,146,91,10,-,-,-,1650,1402
平成28,2016,2,13227,羽村市,Hamura-shi,,1321,349,-,1,-,131,-,-,-,-,840
平成28,2016,2,13228,あきる野市,Akiruno-shi,,211,-,-,-,-,211,-,-,-,-,-
平成28,2016,2,13229,西東京市,Nishitokyo-shi,,11128,5489,-,179,277,48,39,-,-,841,4255
平成28,2016,1,13300,郡部,All gun,,1300,978,0,17,0,206,99,0,0,0,0
平成28,2016,2,13303,瑞穂町,Mizuho-machi,,1067,978,-,17,-,72,-,-,-,-,-
平成28,2016,2,13305,日の出町,Hinode-machi,,67,-,-,-,-,67,-,-,-,-,-
平成28,2016,2,13308,奥多摩町,Okutama-machi,,101,-,-,-,-,44,57,-,-,-,-
平成28,2016,2,13307,檜原村,Hinohara-mura,,65,-,-,-,-,23,42,-,-,-,-
平成28,2016,1,13350,島部,All islands,,1506,-,393,-,-,1067,46,-,-,-,-
平成28,2016,0,99999,*都外,Out of Tokyo-to,3),2,-,2,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,
3-5  都営・区市町村・公社・都市機構等賃貸住宅管理戸数 （平成25～28年度末） ,,,,,,,,,,,,,,,,,
注 1) ２市以上にまたがる都市再生機構の各団地は，それぞれの戸数の多くが所在する市に統一集計した。 ,,,,,,,,,,,,,,,,,
2) 福祉住宅等には引揚者住宅及び小笠原住宅を含む。 ,,,,,,,,,,,,,,,,,
3) *神奈川県相模原市所在の引揚者住宅。 ,,,,,,,,,,,,,,,,,
4) 区市町村住宅の内訳は，公営：公営住宅，借上公営住宅 ／その他：特定公共賃貸住宅，特定優良賃貸住宅，改良住宅，区市町村単独住宅等。 ,,,,,,,,,,,,,,,,,
資料：都都市整備局総務部企画経理課「事業概要」 ,,,,,,,,,,,,,,,,,
3-5 RENTAL HOUSING UNITS BY TYPE OF MANAGEMENT ( End of Fiscal Year 2013-2016 ） ,,,,,,,,,,,,,,,,,
Note: 1) Figures for Urban Renaissance Agency residences straddling two or more cities are included in the city where the majority of the residential units are located. ,,,,,,,,,,,,,,,,,
　　     2) Welfare housing etc. includes repatriation housing and Ogasawara housing. ,,,,,,,,,,,,,,,,,
　　     3)  * Repatriation housing located in Kanagawa prefecture. ,,,,,,,,,,,,,,,,,
"　　     4) Municipal housing's ""public"" is public housing and leased public housing， and ""others"" include specified public rental housing， specified good quality rental housing， upgraded housing， and housing buil twithout state subsidies.",,,,,,,,,,,,,,,,,
　　Source: Bureau of Urban Development，TMG,,,,,,,,,,,,,,,,,
