地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,消防職海事職 Firefighting and maritime services,企業職 Public enterprise employees,技能労務職 Vocational labor,教育職 Educational services,臨時職員 Temporary employees
0,13300,郡部,All gun,555,456,41,5,7,28,-,-,-,15,3,-
1,13303,瑞穂町,Mizuho-machi,213,187,18,-,-,5,-,-,-,1,2,-
1,13305,日の出町,Hinode-machi,154,136,12,-,-,-,-,-,-,5,1,-
1,13307,檜原村,Hinohara-mura,60,44,4,1,1,6,-,-,-,4,-,-
1,13308,奥多摩町,Okutama-machi,128,89,7,4,6,17,-,-,-,5,-,-
0,13350,島部,All islands,929,514,37,14,23,57,96,63,81,44,-,-
1,13361,大島町,Oshima-machi,179,107,8,-,2,6,23,22,6,5,-,-
1,13362,利島村,Toshima-mura,25,18,-,1,-,2,4,-,-,-,-,-
1,13363,新島村,Niijima-mura,118,72,3,2,6,13,12,5,-,5,-,-
1,13364,神津島村,Kozushima-mura,71,51,4,1,2,7,5,-,-,1,-,-
1,13381,三宅村,Miyake-mura,116,69,4,2,3,9,6,13,8,2,-,-
1,13382,御蔵島村,Mikurajima-mura,28,16,1,1,-,1,2,-,-,7,-,-
1,13401,八丈町,Hachijo-machi,245,100,13,-,2,4,27,23,67,9,-,-
1,13402,青ヶ島村,Aogashima-mura,24,14,-,1,-,-,1,-,-,8,-,-
1,13421,小笠原村,Ogasawara-mura,123,67,4,6,8,15,16,-,-,7,-,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,
22-5  職員数 (4) 町村 (平成28年4月1日) 22-5  GOVERNMENT EMPLOYEES (4) MACHI AND MURA ( Apr. 1， 2016 ),,,,,,,,,,,,,,,
注) 教育職には、教育長、小・中学校教員は含まない。,,,,,,,,,,,,,,,
Note: Education services figures do not include the Director General ( Office of Education ) or teachers of elementary and junior high schools.,,,,,,,,,,,,,,,
資料：都総務局行政部区政課・市町村課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
地域階層（0:郡部・島部　1:区市町村）,,,,,,,,,,,,,,,
