年次,Year,地域階層,地域コード,地域,District,施設数 Facilities／総数 Total,施設数 Facilities／公立 Public,施設数 Facilities／私立 Private,児童定員 Capacity／総数 Total,児童定員 Capacity／公立 Public,児童定員 Capacity／私立 Private,入所児童数 Children enrolled／総数 Total,入所児童数 Children enrolled／公立 Public,入所児童数 Children enrolled／私立 Private
平成24,2012,0,13000,東京都,Tokyo-to,1855,954,901,186698,96547,90151,185263,94596,90667
平成25,2013,0,13000,東京都,Tokyo-to,1915,948,967,193757,96850,96907,193150,95318,97832
平成26,2014,0,13000,東京都,Tokyo-to,2019,935,1084,203170,96036,107134,202008,95034,106974
平成27,2015,0,13000,東京都,Tokyo-to,2184,914,1270,216699,94584,122115,213259,93796,119463
平成28,2016,0,13000,東京都,Tokyo-to,2342,901,1441,230334,94154,136180,225334,92958,132376
平成28,2016,1,13100,区部,All ku,1587,720,867,154119,76285,77834,149819,75532,74287
平成28,2016,2,13101,千代田区,Chiyoda-ku,12,6,6,987,487,500,934,519,415
平成28,2016,2,13102,中央区,Chuo-ku,41,16,25,3586,1702,1884,3355,1682,1673
平成28,2016,2,13103,港区,Minato-ku,51,19,32,4727,2680,2047,4318,2577,1741
平成28,2016,2,13104,新宿区,Shinjuku-ku,47,18,29,5293,2225,3068,4782,2081,2701
平成28,2016,2,13105,文京区,Bunkyo-ku,50,20,30,3771,1910,1861,3634,1865,1769
平成28,2016,2,13106,台東区,Taito-ku,28,13,15,2438,1273,1165,2399,1253,1146
平成28,2016,2,13107,墨田区,Sumida-ku,54,27,27,5134,2842,2292,4892,2673,2219
平成28,2016,2,13108,江東区,Koto-ku,98,44,54,10291,4542,5749,9917,4442,5475
平成28,2016,2,13109,品川区,Shinagawa-ku,83,45,38,7600,4612,2988,7679,4876,2803
平成28,2016,2,13110,目黒区,Meguro-ku,39,22,17,3613,2279,1334,3542,2246,1296
平成28,2016,2,13111,大田区,Ota-ku,108,47,61,10830,5621,5209,10650,5551,5099
平成28,2016,2,13112,世田谷区,Setagaya-ku,131,49,82,12386,4771,7615,12439,5140,7299
平成28,2016,2,13113,渋谷区,Shibuya-ku,36,18,18,3371,1668,1703,3296,1636,1660
平成28,2016,2,13114,中野区,Nakano-ku,48,20,28,4496,1886,2610,4321,1901,2420
平成28,2016,2,13115,杉並区,Suginami-ku,81,43,38,7315,4029,3286,7258,4079,3179
平成28,2016,2,13116,豊島区,Toshima-ku,47,22,25,4387,2340,2047,4167,2395,1772
平成28,2016,2,13117,北区,Kita-ku,69,41,28,6714,4476,2238,6448,4343,2105
平成28,2016,2,13118,荒川区,Arakawa-ku,42,23,19,4676,2699,1977,4682,2800,1882
平成28,2016,2,13119,板橋区,Itabashi-ku,107,40,67,9755,3804,5951,9835,3765,6070
平成28,2016,2,13120,練馬区,Nerima-ku,132,60,72,12665,6621,6044,12058,6327,5731
平成28,2016,2,13121,足立区,Adachi-ku,101,47,54,10141,4909,5232,9896,4773,5123
平成28,2016,2,13122,葛飾区,Katsushika-ku,92,43,49,9490,4842,4648,9024,4604,4420
平成28,2016,2,13123,江戸川区,Edogawa-ku,90,37,53,10453,4067,6386,10293,4004,6289
平成28,2016,1,13200,市部,All shi,725,166,559,73744,16673,57071,73455,16574,56881
平成28,2016,2,13201,八王子市,Hachioji-shi,99,16,83,10625,1430,9195,10729,1451,9278
