年度,Fiscal year,地域階層,地域コード,地域,District,ポンプ所揚水量 Water pumped at pumping station／総数 Total 1) (1000 m3),ポンプ所揚水量 Water pumped at pumping station／中継送水量 Water relayed (1000 m3),ポンプ所揚水量 Water pumped at pumping station／放水量 Water discharged (1000 m3),下水処理量 Treated sewage (1000 m3),汚泥量 Sludge (1000 m3),脱水汚泥量 Dehydrated sludge (t),汚泥焼却量 Incinerated sludge (t),処理区域面積 Sewage treatment area (ha)
平成26,2014,0,13000,総数,Tokyo-to,828035,726464,97585,2027769,74681,1176200,1143666,96841
平成27,2015,0,13000,総数,Tokyo-to,808798,724276,81294,2022111,73063,1191583,1162667,96842
平成28,2016,0,13000,総数,Tokyo-to,788855,714591,71061,1989012,74124,1202565,1162195,97724
平成28,2016,1,13100,区部,All ku,787101,712837,71061,1645322,61102,938561,898191,56227
平成28,2016,2,,流域下水道,Regional sewerage system,1754,1754,-,343690,13022,264004,264004,41497
,,,,,,,,,,,,,
6-9  下 水 の 処 理 状 況 （平成26～28年度） ,,,,,,,,,,,,,
6-9  SEWAGE TREATMENT ( Fiscal Years 2014-2016 ) ,,,,,,,,,,,,,
第6-8表頭注参照       See headnote，Table6-8.,,,,,,,,,,,,,
注 1) 総数には，雨水貯留量も含む。 ,,,,,,,,,,,,,
2) 流域下水道 「野川処理区」 の下水は，森ヶ崎水再生センター （区部） へ導入している。                 a) Regional sewerage system ,,,,,,,,,,,,,
Note: 1) Includes volume of stored rainwater.　 ,,,,,,,,,,,,,
"2) Sewage of the regional sewerage system ""Nogawa treatment district"" is sent to Morigasaki Water Reclamation Center (all ku). ",,,,,,,,,,,,,
資料：都下水道局総務部広報サービス課      Source: Bureau of Sewerage，TMG,,,,,,,,,,,,,
