年度,Fiscal year,月次,Month,受給者実人員 Beneficiaries／総数 Total,受給者実人員 Beneficiaries／男 Male,受給者実人員 Beneficiaries／女 Female,雇用保険支給金額 Benefits paid／総数Total,雇用保険支給金額 Benefits paid／男Male,雇用保険支給金額 Benefits paid／女Female,1人1か月当たり平均支給金額 (円) Average monthly benefits per person (yen)
平成24,2012,,,53328,24484,28843,85692443,43339843,42352599,133907
平成25,2013,,,48312,21775,26537,78145371,39013395,39131975,134792
平成26,2014,,,42338,18227,24111,67412261,32035998,35376263,132686
平成27,2015,,,40175,17166,23009,64676787,30501446,34175342,134156
平成28,2016,,,36764,15452,21312,58360087,27008902,31351185,132284
平成28,2016,4,Apr.,34580,15077,19503,4528055,2144864,2383191,130944
平成28,2016,5,May,36468,15589,20879,4723791,2247375,2476416,129532
平成28,2016,6,June,38824,16411,22413,5158390,2420033,2738358,132866
平成28,2016,7,July,38303,16008,22295,4826759,2208100,2618659,126015
平成28,2016,8,Aug.,41534,17087,24447,5748361,2644041,3104320,138401
平成28,2016,9,Sept.,38946,16084,22862,5099941,2316366,2783575,130949
平成28,2016,10,Oct.,38388,15832,22556,5142844,2317985,2824859,133970
平成28,2016,11,Nov.,36127,14888,21239,4860751,2208168,2652583,134546
平成28,2016,12,Dec.,35241,14815,20426,4106909,1889937,2216972,116538
平成29,2017,1,Jan.,35342,15002,20340,5321482,2492509,2828973,150571
平成29,2017,2,Feb.,33581,14256,19325,4112128,1918651,2193477,122454
平成29,2017,3,Mar.,33839,14377,19462,4730678,2200875,2529803,139800
7-4  雇用保険 （一般） 支給状況 （平成24～28年度）,,,,,,,,,,
PAYMENT OF （ GENERAL ） EMPLOYMENT INSURANCE BENEFITS ( Fiscal Years 2012-2016 ) ,,,,,,,,,,
（単位　金額　千円）   (In thousands of yen),,,,,,,,,,
,,,,,,,,,,
  注) 年度別「受給者実人員」 は月平均である。,,,,,,,,,,
Ｎote: Fiscal year “Beneficiaries” are monthly averages. ,,,,,,,,,,
資料：東京労働局          Source: Tokyo Labor Bureau ,,,,,,,,,,
