年度,Fiscal year,地域階層,地域コード,項番 Item number,地域,District,ごみ Refuse volume／排出量 Discharged／総計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／可燃ごみ Combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量Volume collected and carried-in／不燃ごみ Non-combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／粗大ごみ Large-sized refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／資源ごみ Recyclable refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Collected and carried-in refuse／有害ごみ Toxic refuse (t),ごみ Refuse volume／排出量 Discharged／集団回収量 Group-collection recyclables (t),ごみ Refuse volume／排出量 Discharged／ピックアップ回収量 Recyclables recovered from refuse (t),ごみ Refuse volume／中間処分量 Intermediate disposal／焼却 Incinerated (t),ごみ Refuse volume／中間処分量 Intermediate disposal／その他 Others (t),ごみ Refuse volume／最終処分量 Final disposal (t),ごみ Refuse volume／総資源化量 Total recycled amount (t),し尿 Human waste／排出量 Discharged (kl),し尿 Human waste／処分量 Disposed (kl)
平成25,2013,0,13000,,東京都,Tokyo-to,4571648,4280859,3450917,142231,91560,594625,1527,290789,…,3566119,866616,355498,1068760,98768,98768
平成26,2014,0,13000,,東京都,Tokyo-to,4517456,4229251,3428197,128123,84801,586574,1556,272749.8352,15455,3539411,840003,351805,1046412,95579,95579
平成27,2015,0,13000,,東京都,Tokyo-to,4519537,4221729,3427232,120069,85920,586849,1659,277360,20447,3545833,851584,370681,1040447,92051,92051
平成27,2015,1,13100,,区部,All ku　,3335651,3117444,2668917,58245,56822,333460,-,197761,20447,2719866,499330,365487,593576,15115,15115
平成27,2015,2,13101,1,千代田区,Chiyoda-ku ,21530,20591,15326,640,475,4150,-,939,-,…,…,…,…,…,…
平成27,2015,2,13102,2,中央区,Chuo-ku,46966,42311,32565,1470,1322,6953,-,4645,10,…,…,…,…,…,…
平成27,2015,2,13103,3,港区,Minato-ku ,76273,69410,50049,1620,2058,15684,-,6121,743,…,…,…,…,…,…
平成27,2015,2,13104,4,新宿区,Shinjuku-ku,93154,86741,68089,2253,2335,14063,-,6150,264,…,…,…,…,…,…
平成27,2015,2,13105,5,文京区,Bunkyo-ku ,57653,52076,40689,1666,1254,8467,-,5143,434,…,…,…,…,…,…
平成27,2015,2,13106,6,台東区,Taito-ku ,56266,51067,40541,2729,1357,6440,-,5195,5,…,…,…,…,…,…
平成27,2015,2,13107,7,墨田区,Sumida-ku,68827,62656,51586,1951,1766,7353,-,6171,-,…,…,…,…,…,…
