年度,Fiscal year,地域階層,地域コード,地域,District,総数 Total,大気汚染 Air pollution,水質汚濁 Water pollution,土壌汚染 Soil pollution,騒音 Noises,振動 Vibration,地盤沈下 Ground subsidence,悪臭 Offensive odors,典型7公害以外計 Other pollution
平成24,2012,0,13000,東京都,Tokyo-to,7388,1447,75,15,3334,509,2,988,1018
平成25,2013,0,13000,東京都,Tokyo-to,7043,1342,70,9,3160,521,1,873,1067
平成26,2014,0,13000,東京都,Tokyo-to,7025,1339,58,11,3423,475,1,817,901
平成27,2015,0,13000,東京都,Tokyo-to,6641,1265,56,5,3238,463,2,802,810
平成28,2016,0,13000,東京都,Tokyo-to,6408,1199,41,6,2944,518,-,888,812
平成28,2016,1,13100,区部,All ku,3756,478,2,4,2079,424,-,486,283
平成28,2016,2,13101,千代田区,Chiyoda-ku,182,8,-,-,106,14,-,31,23
平成28,2016,2,13102,中央区,Chuo-ku,138,6,-,-,96,3,-,30,3
平成28,2016,2,13103,港区,Minato-ku,182,16,-,-,135,9,-,13,9
平成28,2016,2,13104,新宿区,Shinjuku-ku,137,8,-,1,83,13,-,24,8
平成28,2016,2,13105,文京区,Bunkyo-ku,90,6,-,-,47,21,-,8,8
平成28,2016,2,13106,台東区,Taito-ku,130,17,-,-,42,10,-,6,55
平成28,2016,2,13107,墨田区,Sumida-ku,277,36,1,2,134,24,-,41,39
平成28,2016,2,13108,江東区,Koto-ku,117,28,-,-,56,1,-,32,-
平成28,2016,2,13109,品川区,Shinagawa-ku,148,14,-,1,81,12,-,18,22
平成28,2016,2,13110,目黒区,Meguro-ku,164,16,-,-,89,16,-,19,24
平成28,2016,2,13111,大田区,Ota-ku,183,19,1,-,89,31,-,24,19
平成28,2016,2,13112,世田谷区,Setagaya-ku,302,41,-,-,184,38,-,26,13
平成28,2016,2,13113,渋谷区,Shibuya-ku,88,9,-,-,52,16,-,10,1
平成28,2016,2,13114,中野区,Nakano-ku,58,5,-,-,37,11,-,5,-
平成28,2016,2,13115,杉並区,Suginami-ku,165,42,-,-,69,21,-,22,11
平成28,2016,2,13116,豊島区,Toshima-ku,127,16,-,-,77,22,-,12,-
平成28,2016,2,13117,北区,Kita-ku,162,20,-,-,93,34,-,14,1
平成28,2016,2,13118,荒川区,Arakawa-ku,64,7,-,-,18,2,-,13,24
平成28,2016,2,13119,板橋区,Itabashi-ku,185,27,-,-,112,26,-,16,4
平成28,2016,2,13120,練馬区,Nerima-ku,160,28,-,-,82,27,-,21,2
平成28,2016,2,13121,足立区,Adachi-ku,315,56,-,-,175,26,-,46,12
平成28,2016,2,13122,葛飾区,Katsushika-ku,120,18,-,-,57,20,-,20,5
平成28,2016,2,13123,江戸川区,Edogawa-ku,262,35,-,-,165,27,-,35,-
平成28,2016,1,13200,市部,All shi,2540,693,36,1,851,94,-,390,475
平成28,2016,2,13201,八王子市,Hachioji-shi,263,122,2,-,105,12,-,17,5
平成28,2016,2,13202,立川市,Tachikawa-shi,138,38,2,-,41,6,-,23,28
平成28,2016,2,13203,武蔵野市,Musashino-shi,77,8,-,-,44,13,-,12,-
平成28,2016,2,13204,三鷹市,Mitaka-shi,80,12,-,-,35,6,-,23,4
平成28,2016,2,13205,青梅市,Ome-shi,159,82,2,-,53,5,-,12,5
平成28,2016,2,13206,府中市,Fuchu-shi,124,47,-,-,49,3,-,21,4
平成28,2016,2,13207,昭島市,Akishima-shi,34,1,1,-,4,-,-,3,25
平成28,2016,2,13208,調布市,Chofu-shi,70,27,1,1,27,3,-,9,2
平成28,2016,2,13209,町田市,Machida-shi,229,93,-,-,80,17,-,34,5
平成28,2016,2,13210,小金井市,Koganei-shi,101,15,-,-,20,2,-,10,54
平成28,2016,2,13211,小平市,Kodaira-shi,87,25,-,-,41,4,-,17,-
平成28,2016,2,13212,日野市,Hino-shi,58,3,2,-,14,-,-,39,-
平成28,2016,2,13213,東村山市,Higashimurayama-shi,39,15,4,-,14,2,-,4,-
平成28,2016,2,13214,国分寺市,Kokubunji-shi,55,29,-,-,22,2,-,2,-
平成28,2016,2,13215,国立市,Kunitachi-shi,43,1,-,-,21,1,-,20,-
平成28,2016,2,13218,福生市,Fussa-shi,64,8,-,-,8,-,-,5,43
平成28,2016,2,13219,狛江市,Komae-shi,95,8,-,-,23,1,-,3,60
平成28,2016,2,13220,東大和市,Higashiyamato-shi,35,3,7,-,9,-,-,9,7
平成28,2016,2,13221,清瀬市,Kiyose-shi,90,36,2,-,18,2,-,8,24
平成28,2016,2,13222,東久留米市,Higashikurume-shi,50,14,7,-,24,1,-,1,3
平成28,2016,2,13223,武蔵村山市,Musashimurayama-shi,89,17,1,-,21,-,-,6,44
平成28,2016,2,13224,多摩市,Tama-shi,107,18,3,-,74,1,-,11,-
平成28,2016,2,13225,稲城市,Inagi-shi,145,-,2,-,26,-,-,60,57
平成28,2016,2,13227,羽村市,Hamura-shi,33,1,-,-,17,-,-,14,1
平成28,2016,2,13228,あきる野市,Akiruno-shi,175,47,-,-,20,-,-,8,100
平成28,2016,2,13229,西東京市,Nishitokyo-shi,100,23,-,-,41,13,-,19,4
平成28,2016,1,13300,郡部,All gun,112,28,3,1,14,-,-,12,54
平成28,2016,2,13303,瑞穂町,Mizuho-machi,66,12,2,1,11,-,-,11,29
平成28,2016,2,13305,日の出町,Hinode-machi,46,16,1,-,3,-,-,1,25
平成28,2016,2,13307,檜原村,Hinohara-mura,-,-,-,-,-,-,-,-,-
平成28,2016,2,13308,奥多摩町,Okutama-machi,-,-,-,-,-,-,-,-,-
平成28,2016,1,13350,島部,All islands,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,
19-11 公害の種類別苦情件数（平成24～平成28年度） 19-11 COMPLAINTS ABOUT POLLUTIONS BY KIND  ( Fiscal Years 2012-2016 ),,,,,,,,,,,,,,
資料：都環境局総務部総務課 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,
