年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成26,2014,13200,,市部,All shi,1457790,10505,170308,690236,117303,6433,3535,9100,140142,52327,166955,271,90264,410
平成27,2015,13200,,市部,All shi,1497851,11007,172946,714011,120472,6044,3323,11748,144411,54692,174939,406,83373,480
平成28,2016,13200,,市部,All shi,1515323,10318,177998,735515,121770,6086,3499,9093,143049,55317,167814,67,83565,1230
平成28,2016,13201,1,八王子市,Hachioji-shi,193944,765,18856,97281,16369,405,463,1698,20519,6779,18161,-,12648,-
平成28,2016,13202,2,立川市,Tachikawa-shi,73815,458,7786,36747,5235,544,279,364,7170,2428,8739,-,4064,-
平成28,2016,13203,3,武蔵野市,Musashino-shi,68486,457,13205,25987,10057,243,63,411,6321,2018,7828,-,1897,-
平成28,2016,13204,4,三鷹市,Mitaka-shi,68654,501,10198,33215,3976,158,151,410,5272,2236,7219,-,4087,1230
平成28,2016,13205,5,青梅市,Ome-shi,49128,409,5590,24637,4422,19,286,496,3869,1681,4631,28,3060,-
平成28,2016,13206,6,府中市,Fuchu-shi,106980,531,14493,47403,6236,545,106,387,13554,2969,16501,-,4254,-
平成28,2016,13207,7,昭島市,Akishima-shi,42505,361,4092,20761,3522,367,86,200,5117,1432,4465,-,2103,-
平成28,2016,13208,8,調布市,Chofu-shi,85795,492,11809,41102,5668,250,77,338,9348,3133,9996,-,3583,-
平成28,2016,13209,9,町田市,Machida-shi,139900,667,15918,73333,12649,319,293,785,9887,5182,14643,-,6222,-
平成28,2016,13210,10,小金井市,Koganei-shi,40219,360,5181,17830,4247,293,49,194,4390,1768,3236,-,2672,-
平成28,2016,13211,11,小平市,Kodaira-shi,61529,464,5997,32737,4823,208,113,171,4291,2228,7073,24,3399,-
平成28,2016,13212,12,日野市,Hino-shi,66282,399,6859,30350,5940,253,391,471,8866,2437,7276,4,3035,-
平成28,2016,13213,13,東村山市,Higashimurayama-shi,52875,350,4569,28491,3428,397,80,148,4604,1725,4929,-,4153,-
平成28,2016,13214,14,国分寺市,Kokubunji-shi,46817,341,7538,20101,3760,187,74,90,6343,1711,4520,-,2152,-
平成28,2016,13215,15,国立市,Kunitachi-shi,29277,313,2663,13991,1778,159,45,385,4475,1197,2719,-,1553,-
平成28,2016,13218,16,福生市,Fussa-shi,25577,275,3718,11556,2136,202,41,245,1575,2468,2565,-,795,-
平成28,2016,13219,17,狛江市,Komae-shi,26793,315,2643,13898,1792,73,36,81,2048,1292,2665,-,1951,-
平成28,2016,13220,18,東大和市,Higashiyamato-shi,33100,293,4267,16885,2203,41,47,129,1440,1153,5065,-,1578,-
平成28,2016,13221,19,清瀬市,Kiyose-shi,28839,286,3681,15984,1738,115,99,74,918,1015,3005,9,1915,-
平成28,2016,13222,20,東久留米市,Higashikurume-shi,39167,308,4100,20658,3000,205,120,252,2598,1711,3747,-,2468,-
平成28,2016,13223,21,武蔵村山市,Musashimurayama-shi,27752,274,2856,14758,1955,49,50,206,2695,960,2715,-,1232,-
平成28,2016,13224,22,多摩市,Tama-shi,52711,393,7042,25370,3833,260,63,325,3496,1849,7975,-,2105,-
平成28,2016,13225,23,稲城市,Inagi-shi,33886,309,2747,13723,2755,119,89,234,3972,1686,6133,-,2119,-
平成28,2016,13227,24,羽村市,Hamura-shi,23272,253,2921,10115,1944,138,31,317,2720,756,2883,-,1193,-
平成28,2016,13228,25,あきる野市,Akiruno-shi,29276,281,2727,12909,3194,176,289,470,2675,1165,2539,1,2852,-
平成28,2016,13229,26,西東京市,Nishitokyo-shi,68746,467,6541,35696,5108,363,78,214,4886,2335,6585,-,6474,-
平成26,2014,13300,,郡部,All gun,32660,487,4572,9961,2891,333,1508,1406,3934,1366,4564,178,1459,-
平成27,2015,13300,,郡部,All gun,32210,508,4944,10180,3034,328,1525,965,4585,1559,3144,25,1412,-
平成28,2016,13300,,郡部,All gun,32389,465,4850,10404,2959,329,1564,725,5221,1452,2967,27,1426,-
平成28,2016,13303,1,瑞穂町,Mizuho-machi,13845,168,1878,4878,1417,132,77,83,2482,669,1513,-,548,-
平成28,2016,13305,2,日の出町,Hinode-machi,8676,136,1141,3687,723,83,130,123,1025,390,667,9,563,-
平成28,2016,13307,3,檜原村,Hinohara-mura,3545,71,684,713,314,56,480,86,545,151,335,18,91,-
平成28,2016,13308,4,奥多摩町,Okutama-machi,6323,90,1146,1125,505,58,877,433,1170,243,452,-,224,-
平成26,2014,13350,,島部,All islands,38249,445,7581,5636,8930,441,2290,1784,3603,1297,2876,480,2762,125
平成27,2015,13350,,島部,All islands,37601,457,7512,5734,4993,453,2202,2356,3929,2498,3643,1072,2635,118
平成28,2016,13350,,島部,All islands,36814,422,9075,5779,5519,434,1998,1920,4059,1181,2874,688,2678,187
平成28,2016,13361,1,大島町,Oshima-machi,10142,79,2037,1562,1378,100,439,518,1576,233,783,661,686,90
